"adminid"	"bundle"	"ftype"	"admincode"	"name"	"fstatus"	"description"	"startdate"	"enddate"	"modified"	"permit_id"	"uid"	"status"	"module"	"feed_nid"	"dh_link_admin_reg_holder"	"dh_link_admin_dha_usafips"	"dh_link_admin_record_mgr_id"	"dh_link_admin_timeseries"	"dh_link_admin_reg_issuer"
"439590"	"permit"	"npdes_ip"	"VA0000281"	"NANOCHEMONICS HOLDINGS LLC"	"revoked"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1231390800"	"1329282000"	"1544216050"	"VA0000281"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439591"	"permit"	"npdes_ip"	"VA0000299"	"CELANESE ACETATE LLC"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1533096000"	"1680235200"	"1544216050"	"VA0000299"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439592"	"permit"	"npdes_ip"	"VA0000370"	"APCO - GLEN LYN"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1247284800"	"1404964800"	"1544216050"	"VA0000370"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439593"	"permit"	"npdes_ip"	"VA0000523"	"LHOIST NORTH AMERICA - KIMBALLTON PLANT"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1467345600"	"1625025600"	"1544216050"	"VA0000523"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439594"	"permit"	"npdes_ip"	"VA0001015"	"AMERICAN ELECTRIC POWER - CLINCH RIVER PLANT"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1467345600"	"1625025600"	"1544216050"	"VA0001015"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439595"	"permit"	"npdes_ip"	"VA0001201"	"GOODYEAR TIRE AND RUBBER CO - DANVILLE"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1099285200"	"1256961600"	"1544216051"	"VA0001201"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439596"	"permit"	"npdes_ip"	"VA0001309"	"CCP COMPOSITES US"	"revoked"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1336017600"	"1493697600"	"1544216051"	"VA0001309"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439597"	"permit"	"npdes_ip"	"VA0001333"	"KOPPERS INC"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1447477200"	"1604116800"	"1544216051"	"VA0001333"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439598"	"permit"	"npdes_ip"	"VA0001431"	"KINDER MORGAN SOUTHEAST TERMINALS LLC - ROANOKE"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1480222800"	"1635739200"	"1544216051"	"VA0001431"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439599"	"permit"	"npdes_ip"	"VA0001449"	"GUNNOE SAUSAGE COMPANY"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1416718800"	"1572494400"	"1544216051"	"VA0001449"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439600"	"permit"	"npdes_ip"	"VA0001473"	"WVWA - CARVINS COVE WATER FP"	"revoked"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1251432000"	"1409112000"	"1544216051"	"VA0001473"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439601"	"permit"	"npdes_ip"	"VA0001490"	"MOTIVA ENTERPRISES LLC - MONTVALE"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1437278400"	"1593489600"	"1544216051"	"VA0001490"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439602"	"permit"	"npdes_ip"	"VA0001554"	"HANESBRANDS INCORPORATED"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1269316800"	"1426996800"	"1544216052"	"VA0001554"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439603"	"permit"	"npdes_ip"	"VA0001589"	"RES DBA STEEL DYNAMICS ROANOKE BAR DIVISION"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1470024000"	"1625025600"	"1544216052"	"VA0001589"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439604"	"permit"	"npdes_ip"	"VA0001597"	"NORFOLK SOUTHERN RAILWAY CO - SHAFFERS CROSSING"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1440907200"	"1598673600"	"1544216052"	"VA0001597"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439605"	"permit"	"npdes_ip"	"VA0001678"	"APPAREL FABRICS PROPERTIES INC - HURT PLANT"	"revoked"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1112673600"	"1270353600"	"1544216052"	"VA0001678"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439606"	"permit"	"npdes_ip"	"VA0001767"	"PACTIV LLC-GROTTOES PLASTICS PLANT"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1451624400"	"1609390800"	"1544216052"	"VA0001767"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439607"	"permit"	"npdes_ip"	"VA0001872"	"JOINT BASIN CORPORATION - FAIRFAX TERMINAL COMPLEX"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1448946000"	"1606712400"	"1544216052"	"VA0001872"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439608"	"permit"	"npdes_ip"	"VA0001945"	"KINDER MORGAN SOUTHEAST TERMINALS LLC - NEWINGTON"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1375070400"	"1532750400"	"1544216053"	"VA0001945"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439609"	"permit"	"npdes_ip"	"VA0001961"	"ALMA PLANT"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1427860800"	"1580446800"	"1544216053"	"VA0001961"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439610"	"permit"	"npdes_ip"	"VA0001988"	"KINDER MORGAN SOUTHEAST TERMINALS LLC-NEWINGTON 2"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1448946000"	"1606712400"	"1544216053"	"VA0001988"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439611"	"permit"	"npdes_ip"	"VA0002071"	"DOMINION - POSSUM POINT POWER STATION"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1364961600"	"1522641600"	"1544216053"	"VA0002071"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439612"	"permit"	"npdes_ip"	"VA0002151"	"US MARINE CORPS - MCB QUANTICO - NREAB INDUSTRIAL"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1517461200"	"1675141200"	"1544216053"	"VA0002151"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439613"	"permit"	"npdes_ip"	"VA0002160"	"APPAREL AND ADVANCED TEXTILES LLC - WAYNESBORO"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1512104400"	"1669784400"	"1544216053"	"VA0002160"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439614"	"permit"	"npdes_ip"	"VA0002178"	"MERCK SHARP & DOHME CORP - ELKTON PLANT"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1483246800"	"1640926800"	"1544216053"	"VA0002178"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439615"	"permit"	"npdes_ip"	"VA0002194"	"ACCUTEC BLADES INC"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1467345600"	"1625025600"	"1544216054"	"VA0002194"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439616"	"permit"	"npdes_ip"	"VA0002283"	"MOTIVA ENTERPRISES LLC - FAIRFAX"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1374811200"	"1532491200"	"1544216054"	"VA0002283"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439617"	"permit"	"npdes_ip"	"VA0002313"	"VPGC LLC-HINTON"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1425186000"	"1582952400"	"1544216054"	"VA0002313"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439618"	"permit"	"npdes_ip"	"VA0002402"	"FORMER GENICOM - WAYNESBORO FACILITY"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1398916800"	"1556596800"	"1544216054"	"VA0002402"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439619"	"permit"	"npdes_ip"	"VA0002585"	"FCWA - LORTON WATER TREATMENT PLANT"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1451624400"	"1609390800"	"1544216054"	"VA0002585"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439620"	"permit"	"npdes_ip"	"VA0002623"	"FOOD PROCESSORS WATER COOPERAT"	"revoked"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1257048000"	"1414728000"	"1544216054"	"VA0002623"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439621"	"permit"	"npdes_ip"	"VA0002631"	"PERCY MILLER WATER TREATMENT P"	"revoked"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1259643600"	"1417323600"	"1544216055"	"VA0002631"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439622"	"permit"	"npdes_ip"	"VA0002666"	"GOOSE CREEK WATER TREATMENT PL"	"revoked"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1249790400"	"1407470400"	"1544216055"	"VA0002666"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439623"	"permit"	"npdes_ip"	"VA0002674"	"HARRISONBURG WTP"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1414814400"	"1572494400"	"1544216055"	"VA0002674"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439624"	"permit"	"npdes_ip"	"VA0002771"	"MODINE MANUFACTURING CO - BUENA VISTA"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1427860800"	"1585627200"	"1544216055"	"VA0002771"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439625"	"permit"	"npdes_ip"	"VA0002780"	"THE SUSTAINABILITY PARK LLC"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1372651200"	"1530331200"	"1544216055"	"VA0002780"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439626"	"permit"	"npdes_ip"	"VA0002925"	"GRIFFIN PIPE PRODUCTS CO LLC - LYNCHBURG"	"revoked"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1159156800"	"1316836800"	"1544216055"	"VA0002925"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439627"	"permit"	"npdes_ip"	"VA0003018"	"PLAINS MARKETING LP YORKTOWN"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1448946000"	"1606712400"	"1544216055"	"VA0003018"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439628"	"permit"	"npdes_ip"	"VA0003026"	"GP BIG ISLAND LLC"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1427860800"	"1585540800"	"1544216056"	"VA0003026"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439629"	"permit"	"npdes_ip"	"VA0003077"	"DUPONT TEIJIN FILMS - HOPEWELL SITE"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1488344400"	"1646024400"	"1544216056"	"VA0003077"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439630"	"permit"	"npdes_ip"	"VA0003115"	"WESTROCK CP LLC - WEST POINT"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1538366400"	"1696046400"	"1544216056"	"VA0003115"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439631"	"permit"	"npdes_ip"	"VA0003255"	"GREENSVILLE WASTE & RECYCLING FACILITY"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1420088400"	"1577768400"	"1544216056"	"VA0003255"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439632"	"permit"	"npdes_ip"	"VA0003263"	"J H MILES AND COMPANY INCORPORATED"	"revoked"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1322629200"	"1480395600"	"1544216056"	"VA0003263"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439633"	"permit"	"npdes_ip"	"VA0003344"	"CSX TRANSPORTATION INC - CLIFTON FORGE"	"revoked"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1255665600"	"1404100800"	"1544216056"	"VA0003344"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439634"	"permit"	"npdes_ip"	"VA0003387"	"BASF CORPORATION - PORTSMOUTH"	"revoked"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1283918400"	"1441598400"	"1544216057"	"VA0003387"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439635"	"permit"	"npdes_ip"	"VA0003409"	"NORFOLK SOUTHERN RAILWAY COMPANY - LAMBERTS POINT"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1443672000"	"1601438400"	"1544216057"	"VA0003409"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439636"	"permit"	"npdes_ip"	"VA0003433"	"SOLENIS LLC"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1364875200"	"1522555200"	"1544216057"	"VA0003433"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439637"	"permit"	"npdes_ip"	"VA0003450"	"RAIL OVER RIVER INDUSTRIAL PARK LLC"	"revoked"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1290402000"	"1448082000"	"1544216057"	"VA0003450"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439638"	"permit"	"npdes_ip"	"VA0003492"	"ASHLAND SPECIALTY INGREDIENTS GP"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1393650000"	"1551330000"	"1544216057"	"VA0003492"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439639"	"permit"	"npdes_ip"	"VA0003646"	"WESTROCK VIRGINIA CORPORATION - COVINGTON"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1504238400"	"1661918400"	"1544216057"	"VA0003646"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439640"	"permit"	"npdes_ip"	"VA0003654"	"BASF CORPORATION - WILLIAMSBURG"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1522555200"	"1680235200"	"1544216057"	"VA0003654"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439641"	"permit"	"npdes_ip"	"VA0003697"	"BWXT NUCLEAR OPERATIONS GROUP INC"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1505793600"	"1663473600"	"1544216058"	"VA0003697"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439642"	"permit"	"npdes_ip"	"VA0003808"	"PERDUE FOODS LLC - ACCOMACK"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1488344400"	"1646024400"	"1544216058"	"VA0003808"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439643"	"permit"	"npdes_ip"	"VA0003867"	"OMEGA PROTEIN - REEDVILLE"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1477972800"	"1635652800"	"1544216058"	"VA0003867"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439644"	"permit"	"npdes_ip"	"VA0004031"	"TYSON FARMS INCORPORATED - GLEN ALLEN"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1452488400"	"1609390800"	"1544216058"	"VA0004031"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439645"	"permit"	"npdes_ip"	"VA0004049"	"TYSON FARMS INC - TEMPERANCEVILLE"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1451624400"	"1609390800"	"1544216058"	"VA0004049"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439646"	"permit"	"npdes_ip"	"VA0004081"	"DOMINION - CHESAPEAKE ENERGY CENTER"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1332216000"	"1489896000"	"1544216058"	"VA0004081"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439647"	"permit"	"npdes_ip"	"VA0004090"	"DOMINION ENERGY- SURRY AND GRAVEL NECK STATIONS"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1456808400"	"1614488400"	"1544216058"	"VA0004090"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439648"	"permit"	"npdes_ip"	"VA0004103"	"DOMINION - YORKTOWN POWER STATION"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1352869200"	"1510549200"	"1544216059"	"VA0004103"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439649"	"permit"	"npdes_ip"	"VA0004138"	"DOMINION - BREMO POWER STATION"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1453179600"	"1609390800"	"1544216059"	"VA0004138"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439650"	"permit"	"npdes_ip"	"VA0004146"	"DOMINION ENERGY - CHESTERFIELD POWER STATION"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1475294400"	"1632974400"	"1544216059"	"VA0004146"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439651"	"permit"	"npdes_ip"	"VA0004162"	"INTERNATIONAL PAPER - FRANKLIN MILL"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1448946000"	"1606712400"	"1544216059"	"VA0004162"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439652"	"permit"	"npdes_ip"	"VA0004189"	"ATLANTIC METROCAST INC"	"revoked"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1300766400"	"1458532800"	"1544216059"	"VA0004189"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439653"	"permit"	"npdes_ip"	"VA0004383"	"BAE SYSTEMS NORFOLK SHIP REPAIR INC"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1435723200"	"1593489600"	"1544216059"	"VA0004383"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439654"	"permit"	"npdes_ip"	"VA0004391"	"COLONNA MARINE LLC - COLONNA YACHTS"	"revoked"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1327294800"	"1485061200"	"1544216059"	"VA0004391"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439655"	"permit"	"npdes_ip"	"VA0004421"	"US NAVY - NAVAL STATION NORFOLK"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1304481600"	"1462248000"	"1544216060"	"VA0004421"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439656"	"permit"	"npdes_ip"	"VA0004448"	"PERDUE AGRIBUSINESS LLC - CHESAPEAKE"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1438401600"	"1596168000"	"1544216060"	"VA0004448"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439657"	"permit"	"npdes_ip"	"VA0004642"	"WESTROCK CP LLC - HOPEWELL"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1331697600"	"1488258000"	"1544216060"	"VA0004642"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439658"	"permit"	"npdes_ip"	"VA0004669"	"E I DU PONT DE NEMOURS AND COMPANY - SPRUANCE PLT"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1467345600"	"1625025600"	"1544216060"	"VA0004669"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439659"	"permit"	"npdes_ip"	"VA0004677"	"MOHAWK INDUSTRIES INC"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1425186000"	"1582952400"	"1544216060"	"VA0004677"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439660"	"permit"	"npdes_ip"	"VA0004774"	"FRAMATOME INC - MAR"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1467345600"	"1625025600"	"1544216060"	"VA0004774"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439661"	"permit"	"npdes_ip"	"VA0004791"	"BONTEX INC"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1414814400"	"1572494400"	"1544216060"	"VA0004791"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439662"	"permit"	"npdes_ip"	"VA0004804"	"HUNTINGTON INGALLS INCORPORATED - NN SHIPBLDG DIV"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1372651200"	"1530331200"	"1544216061"	"VA0004804"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439663"	"permit"	"npdes_ip"	"VA0004880"	"VEOLIA JAMES RIVER PLANT"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1531281600"	"1688097600"	"1544216061"	"VA0004880"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439664"	"permit"	"npdes_ip"	"VA0005215"	"US NAVY - NORFOLK NAVAL SHIPYARD"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1451624400"	"1609390800"	"1544216061"	"VA0005215"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439665"	"permit"	"npdes_ip"	"VA0005266"	"US NAVY - NAVAL AIR STATION - OCEANA"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1417410000"	"1575090000"	"1544216061"	"VA0005266"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439666"	"permit"	"npdes_ip"	"VA0005291"	"ADVANSIX RESINS & CHEMICALS LLC"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1470024000"	"1627704000"	"1544216061"	"VA0005291"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439667"	"permit"	"npdes_ip"	"VA0005312"	"ADVANSIX RESINS AND CHEMICALS LLC - CHESTERFIELD"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1531368000"	"1688097600"	"1544216061"	"VA0005312"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439668"	"permit"	"npdes_ip"	"VA0005487"	"US NAVY - CRANEY ISLAND - FUEL"	"revoked"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1252641600"	"1410321600"	"1544216062"	"VA0005487"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439669"	"permit"	"npdes_ip"	"VA0005657"	"VDOT - HAMPTON ROADS BRIDGE TUNNEL I-64"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1420088400"	"1577768400"	"1544216062"	"VA0005657"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439670"	"permit"	"npdes_ip"	"VA0005720"	"MOTIVA ENTERPRISES LLC - RICHMOND TERMINAL"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1396324800"	"1554004800"	"1544216062"	"VA0005720"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439671"	"permit"	"npdes_ip"	"VA0005819"	"APPOMATTOX RIVER WATER AUTHORITY"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1525147200"	"1682827200"	"1544216062"	"VA0005819"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439672"	"permit"	"npdes_ip"	"VA0005827"	"BLACKSTONE WTP"	"revoked"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1241496000"	"1399176000"	"1544216062"	"VA0005827"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439673"	"permit"	"npdes_ip"	"VA0005835"	"VDOT - I-564 TUNNEL FACILITY"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1420088400"	"1577768400"	"1544216062"	"VA0005835"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439674"	"permit"	"npdes_ip"	"VA0005851"	"DOWNTOWN ELIZABETH RIVER TUNNEL"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1435723200"	"1593489600"	"1544216062"	"VA0005851"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439675"	"permit"	"npdes_ip"	"VA0005860"	"MIDTOWN ELIZABETH RIVER TUNNEL"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1438401600"	"1596168000"	"1544216062"	"VA0005860"	"6115"	"1"	""	""	""	""	""	""	"416194"
