"DEQ.ID.of.Source"	"FacilityName"	"FacilityID"	"Latitude"	"Longitude"	"flag"	"Corrected_Latitude"	"Corrected_Longitude"
59421	"YAROS FARMS INC"	2445	99	-99	"vwuds_flag_coord"	37.19862	-75.979445
59435	"WOODWAY SERVICE AREA"	2433	NA	NA	"vwuds_flag_coord"	36.776776	-82.946112
59449	"SYDNOR - small well systems"	2114	0.1	0	"vwuds_flag_coord"	37.526263	-76.419289
59473	"SYDNOR - small well systems"	2114	0.1	0	"vwuds_flag_coord"	37.526263	-76.419289
59477	"SYDNOR - small well systems"	2114	0.1	0	"vwuds_flag_coord"	37.526263	-76.419289
59492	"SYDNOR - small well systems"	2114	0.1	0	"vwuds_flag_coord"	37.526263	-76.419289
59500	"SYDNOR - small well systems"	2114	0.1	0	"vwuds_flag_coord"	37.526263	-76.419289
59501	"SYDNOR - small well systems"	2114	0.1	0	"vwuds_flag_coord"	37.526263	-76.419289
59502	"SYDNOR - small well systems"	2114	0.1	0	"vwuds_flag_coord"	37.526263	-76.419289
59503	"SYDNOR - small well systems"	2114	0.1	0	"vwuds_flag_coord"	37.526263	-76.419289
59505	"SYDNOR - FOUNDER'S BRIDGE"	2113	NA	NA	"vwuds_flag_coord"	37.559892	-77.415233
59510	"LAKE WILDERNESS SERVICE AREA"	1254	0.1	0	"vwuds_flag_coord"	38.312777777	-77.739166666
59514	"FULTON C CONNER"	794	0.1	0	"vwuds_flag_coord"	36.942888	-78.805002
59534	"LAKE WILDERNESS SERVICE AREA"	1254	0.1	0	"vwuds_flag_coord"	38.312777777	-77.739166666
59540	"BLUE RIDGE HGHTS SERVICE AREA"	196	99	-99	"vwuds_flag_coord"	37.389166666	-79.806944444
59583	"RONALD W CREWS"	1879	0.1	0	"vwuds_flag_coord"	36.707346	-78.7433
59590	"CONCORD CONCENTRATOR SITE"	472	36.5242	-77.344	"vwuds_flag_coord"	36.5242	-77.344
59591	"CONCORD CONCENTRATOR SITE"	472	36.522	-77.3447	"vwuds_flag_coord"	36.522	-77.3447
59592	"CONCORD CONCENTRATOR SITE"	472	36.5252	-77.3445	"vwuds_flag_coord"	36.5252	-77.3445
59593	"CONCORD CONCENTRATOR SITE"	472	36.5248	-77.3441	"vwuds_flag_coord"	36.5248	-77.3441
59594	"CONCORD CONCENTRATOR SITE"	472	36.5235	-77.3443	"vwuds_flag_coord"	36.5235	-77.3443
59596	"CONCORD CONCENTRATOR SITE"	472	36.5346	-77.3448	"vwuds_flag_coord"	36.5346	-77.3448
59601	"Wells Farm"	2338	99	-99	"vwuds_flag_coord"	37.07044	-77.32945
59619	"RAY NEWMAN"	1767	0.1	0	"vwuds_flag_coord"	36.873685	-76.118763
59676	"SPRING HILL FARM"	2043	0.1	0	"vwuds_flag_coord"	37.77032	-77.206276
59683	"EMERSON BROTHERS"	678	0.1	0	"vwuds_flag_coord"	36.717135	-79.458133
59708	"SILAS R CARTER"	1975	0.1	0	"vwuds_flag_coord"	36.947465	-79.024879
59713	"Grange Hall School"	880	99	-99	"vwuds_flag_coord"	37.38861	-77.76624
59718	"JOHN AMOS"	1152	0.1	0	"vwuds_flag_coord"	36.838055555	-79.640833333
59738	"HOOT OWL HOLLOW FARMS"	1028	0.1	0	"vwuds_flag_coord"	37.273333333	-77.980555555
59741	"WILLIAMSON LANDSCAPE INC"	2394	0.1	0	"vwuds_flag_coord"	37.765565	-77.766872
59754	"CARROLL COUNTY REGIONAL"	332	36	80	"vwuds_flag_coord"	36.776666666	-80.706388888
59755	"MATHIAS BROTHERS INC"	1394	0.1	0	"vwuds_flag_coord"	38.621463	-78.689294
59772	"THOMAS L KEATTS"	2162	0.1	0	"vwuds_flag_coord"	36.569444444	-79.621666666
59784	"DEWEY CREWS"	577	0.1	0	"vwuds_flag_coord"	36.888374	-79.382937
59787	"MERRYVALE FARMS"	1426	0.1	0	"vwuds_flag_coord"	37.557777777	-76.438055555
59800	"NVCCL Campus Project"	1573	99	-99	"vwuds_flag_coord"	39.028261	-77.392138
59809	"BASS FARMS"	109	99	-99	"vwuds_flag_coord"	37.166009	-79.074962
59821	"Bell Nursery (formerly Blue Ridge Growers, Inc.)"	136	0.1	0	"vwuds_flag_coord"	38.436944444	-77.861666666
59823	"WARREN C BAIN"	2299	0.1	0	"vwuds_flag_coord"	37.075127	-77.565731
59836	"LAKE LAND 'OR SERVICE AREA"	1242	99	-99	"vwuds_flag_coord"	38.025277777	-77.572777777
59838	"The Country Club of Culpeper Golf Course"	2140	99	-99	"vwuds_flag_coord"	38.465525	-78.014142
59839	"INGLESIDE PLANTATION NURSERIES"	1082	0.1	0	"vwuds_flag_coord"	38.151928	-77.005976
59840	"AQUA VIRGINIA INC"	19	99	-99	"vwuds_flag_coord"	37.906424	-78.347896
59843	"Peumansend Creek Regional Jail Water System"	1660	0.1	0	"vwuds_flag_coord"	38.007	-77.531
59856	"LAKE LAND 'OR SERVICE AREA"	1242	99	-99	"vwuds_flag_coord"	38.025277777	-77.572777777
59868	"EMERSON BROTHERS"	678	0.1	0	"vwuds_flag_coord"	36.717135	-79.458133
59869	"EMERSON BROTHERS"	678	0.1	0	"vwuds_flag_coord"	36.717135	-79.458133
59870	"WILLIAMS CATTLE CO LLC"	2384	0.1	0	"vwuds_flag_coord"	36.767728	-76.61927
59871	"GLEN MARY NURSERY INC"	838	0.1	0	"vwuds_flag_coord"	37.718947	-78.968183
59884	"Brink Concentrator Site System"	240	0.1	0.1	"vwuds_flag_coord"	36.896778	-77.57466
59886	"Casta Line Trout Farm - Middlebrook"	343	99	-99	"vwuds_flag_coord"	38.039976	-79.384349
59888	"MIKE ASHWORTH"	1435	0.1	0	"vwuds_flag_coord"	36.661953	-79.46606
59899	"MARK NEWMAN"	1374	0.1	0	"vwuds_flag_coord"	37.349656	-75.936077
59907	"JAMES AND JIMMY RIGNEY"	1111	0.1	0	"vwuds_flag_coord"	36.661666666	-79.423888888
59923	"EVELYN D MCPHERSON"	689	0.1	0	"vwuds_flag_coord"	37.216917	-80.436733
59925	"CHERITON FARMS"	385	0.1	0	"vwuds_flag_coord"	37.288224	-75.971178
59926	"WILLIAMS CATTLE CO LLC"	2384	0.1	0	"vwuds_flag_coord"	36.767728	-76.61927
59934	"INGLESIDE PLANTATION NURSERIES"	1082	0.1	0	"vwuds_flag_coord"	38.151928	-77.005976
59935	"INGLESIDE PLANTATION NURSERIES"	1082	0.1	0	"vwuds_flag_coord"	38.151928	-77.005976
59940	"T HUME DIXON III"	2118	0.1	0	"vwuds_flag_coord"	37.188164	-75.947269
59942	"Howard T. Yeatts, Jr."	1039	0.1	0	"vwuds_flag_coord"	36.921314	-79.425888
59943	"JAMES E WENGER"	1113	34.2483	-79.0608	"vwuds_flag_coord"	38.254677	-79.066722
59944	"MIKE ASHWORTH"	1435	0.1	0	"vwuds_flag_coord"	36.661953	-79.46606
59955	"Irrigation Pump"	1087	0.1	0	"vwuds_flag_coord"	36.651806	-79.479058
59956	"SOUTH RIVER FARM, LLC."	2026	0.1	0	"vwuds_flag_coord"	38.215	-78.833611111
59964	"WOODBERRY FOREST SCHOOL"	2421	38.285278	78.118611	"vwuds_flag_coord"	38.285278	-78.118611
59966	"Elkington Farm"	667	0.1	0	"vwuds_flag_coord"	37.259998	-75.981153
59968	"INGLESIDE PLANTATION NURSERIES"	1082	0.1	0	"vwuds_flag_coord"	38.151928	-77.005976
59969	"INGLESIDE PLANTATION NURSERIES"	1082	0.1	0	"vwuds_flag_coord"	38.151928	-77.005976
59970	"W E HUNTER"	2277	0.1	0	"vwuds_flag_coord"	36.664567	-76.593792
59974	"WILLIAMS CATTLE CO LLC"	2384	0.1	0	"vwuds_flag_coord"	36.767728	-76.61927
59975	"WILLIAMS CATTLE CO LLC"	2384	0.1	0	"vwuds_flag_coord"	36.767728	-76.61927
59979	"INGLESIDE PLANTATION NURSERIES"	1082	0.1	0	"vwuds_flag_coord"	38.151928	-77.005976
59980	"CHEROKEE POINT FARMS"	387	0.1	0	"vwuds_flag_coord"	37.469246	-75.930752
59981	"WOODBERRY FOREST SCHOOL"	2421	38.285	78.118889	"vwuds_flag_coord"	38.285	-78.118889
59984	"CHEROKEE POINT FARMS"	387	0.1	0	"vwuds_flag_coord"	37.469246	-75.930752
59987	"DONALD L MOORE"	596	0.1	0	"vwuds_flag_coord"	36.820314	-79.522199
59988	"SILVER LEAF FARMS"	1977	0.1	0	"vwuds_flag_coord"	37.434444444	-75.97
59989	"LLOYD A OUTTEN JR"	1313	0.1	0	"vwuds_flag_coord"	37.473804	-75.930968
60001	"JOHN N MILLS & SONS - 3 FARMS"	1161	0.1	0	"vwuds_flag_coord"	37.772957	-77.307285
60007	"JEFFERSON-LAKESIDE COUNTRY CLB"	1139	0.1	0.1	"vwuds_flag_coord"	37.622159	-77.463419
60017	"STURGIS FARM"	2091	0.1	0	"vwuds_flag_coord"	37.531802	-75.823313
60018	"KELLEY FARMS INC."	1182	0.1	0	"vwuds_flag_coord"	37.979139	-75.530233
60032	"CASTLE FARM INC"	344	0.1	0	"vwuds_flag_coord"	37.595555555	-77.075555555
60044	"C.F. BASKERVILLE & SON"	301	0.1	0	"vwuds_flag_coord"	36.975823	-77.769672
60103	"TORMENTOR CREEK"	2182	99	-99	"vwuds_flag_coord"	37.014508	-76.611172
60137	"BASS FARMS"	109	0.1	0.01	"vwuds_flag_coord"	37.161864	-79.070868
60145	"CARROLL COUNTY REGIONAL"	332	36	-80	"vwuds_flag_coord"	36.776666666	-80.706388888
60156	"WINFREYS STRAWBERRIES"	2408	0.1	0	"vwuds_flag_coord"	37.884674	-77.685885
60157	"Farm Pond"	714	0.1	0	"vwuds_flag_coord"	36.7225	-79.4925
60158	"BYRON F BLAIR SR"	296	0.1	0	"vwuds_flag_coord"	36.98972	-79.190208
60166	"MIKE ASHWORTH"	1435	0.1	0	"vwuds_flag_coord"	36.661953	-79.46606
60174	"Elkington Farm"	667	0.1	0	"vwuds_flag_coord"	37.259998	-75.981153
60176	"JAMES N ADAMS"	1119	0.1	0	"vwuds_flag_coord"	36.932348	-78.464441
60178	"Somerset"	2018	0.1	0	"vwuds_flag_coord"	38.207564	-78.21806
60179	"M G RAINEY"	1346	0.1	0	"vwuds_flag_coord"	37.186583	-77.576713
60181	"ENFIELD SOD - ENFIELD FARM"	684	0.1	0	"vwuds_flag_coord"	37.721944444	-77.025277777
60183	"MAXWELL W. WATKINS"	1400	0.1	0	"vwuds_flag_coord"	37.2255556	-77.6255556
60192	"W.T. HOLLAND & SONS, INC"	2282	0.1	0.1	"vwuds_flag_coord"	37.993366	-75.574312
60200	"ERMA & RAYMOND REYNOLDS"	685	0.1	0	"vwuds_flag_coord"	36.878092	-79.685811
60201	"MAXWELL W. WATKINS"	1400	0.1	0	"vwuds_flag_coord"	37.2255556	-77.6255556
60202	"CLINTON H HOLLOWAY"	440	0.1	0	"vwuds_flag_coord"	36.863353	-77.558343
60203	"WALTER PERKINS"	2294	0.1	0	"vwuds_flag_coord"	37.337787	-77.373533
60204	"HILTON C HUDSON"	999	0.1	0	"vwuds_flag_coord"	36.628037	-79.056473
60206	"SEVEN SPRINGS FARMS INC"	1946	0.1	0	"vwuds_flag_coord"	36.894109	-78.048547
60207	"CECIL RHODES"	353	0.1	0	"vwuds_flag_coord"	36.869556	-76.649214
60208	"GARRETT FARMS INC"	803	0.1	0	"vwuds_flag_coord"	37.277339	-80.10155
60209	"Midwood Farm"	1434	0.1	0	"vwuds_flag_coord"	37.202379	-75.966868
60210	"WALNUT HILL FARM"	2292	0.1	0	"vwuds_flag_coord"	37.753028	-77.685898
60213	"INGLESIDE PLANTATION NURSERIES"	1082	0.1	0	"vwuds_flag_coord"	38.151928	-77.005976
60214	"Lancaster Farms Incorporated"	1266	0.1	0	"vwuds_flag_coord"	36.868569444	-76.471116666
60215	"CARLTON BUTLER"	326	0.1	0	"vwuds_flag_coord"	36.723907	-76.894365
60216	"EMERSON BROTHERS"	678	0.1	0	"vwuds_flag_coord"	36.717135	-79.458133
60217	"SAMPSON TOWNES"	1920	0.1	0	"vwuds_flag_coord"	36.662932	-78.511088
60218	"WAYNE T HEATH FARMS INC"	2321	0.1	0	"vwuds_flag_coord"	37.182777777	-75.990277777
60225	"BASS FARMS"	109	0.1	0	"vwuds_flag_coord"	37.161864	-79.070868
60228	"CLARENCE D. BRYANT III"	418	0.1	0	"vwuds_flag_coord"	36.757881	-79.385399
60229	"T J FULLER"	2120	0.1	0	"vwuds_flag_coord"	36.924449	-79.42907
60230	"Lancaster Farms Incorporated"	1266	0.1	0	"vwuds_flag_coord"	36.868569444	-76.471116666
60231	"XSCAPES LANDSCAPE NURSERY"	2440	0.1	0	"vwuds_flag_coord"	38.811826	-77.375747
60232	"EMERSON BROTHERS"	678	0.1	0	"vwuds_flag_coord"	36.717135	-79.458133
60236	"JOHNNY DAVIS"	1165	0.1	0	"vwuds_flag_coord"	38.164444	-77.160833
60237	"Van Kesteren Farms Incorporated"	2229	99	-99	"vwuds_flag_coord"	37.710406	-75.700399
60239	"P J WRIGHT"	1621	0.1	0	"vwuds_flag_coord"	38.085197	-78.936879
60240	"MAXEY FARMS"	1398	0.1	0	"vwuds_flag_coord"	36.751917	-79.46329
60242	"J C ABERNATHY"	1096	0.1	0	"vwuds_flag_coord"	37.073644	-77.686408
60245	"JERRY ROBERTSON"	1142	0.1	0	"vwuds_flag_coord"	36.684494	-79.505418
60246	"JOSEPH L SEAMSTER"	1174	0.1	0	"vwuds_flag_coord"	37.05649	-78.78338
60247	"W S EASLEY JR"	2281	0.1	0	"vwuds_flag_coord"	36.810295	-79.515667
60248	"W J MIDKIFF"	2278	0.1	0	"vwuds_flag_coord"	37.405159	-77.650893
60249	"BREEZE ACRES"	229	0.1	0	"vwuds_flag_coord"	38.281788	-78.908734
60254	"CREEK RUN FARM"	493	0.1	0	"vwuds_flag_coord"	38.190853	-79.404675
60255	"MRS EMILY JEFFERSON"	1483	0.1	0	"vwuds_flag_coord"	36.939766	-79.831602
60259	"EMERSON BROTHERS"	678	0.1	0	"vwuds_flag_coord"	36.717135	-79.458133
60266	"RIVERSIDE FARM"	1835	0.1	0	"vwuds_flag_coord"	37.708055555	-77.234166666
60270	"Midwood Farm"	1434	0.1	0	"vwuds_flag_coord"	37.202379	-75.966868
60271	"R I CARRAWAY"	1743	0.1	0	"vwuds_flag_coord"	36.906334	-77.236974
60272	"TRIPLE BRANCH FARM"	2201	0.1	0	"vwuds_flag_coord"	37.356904	-78.826297
60273	"CLARENCE D. BRYANT III"	418	0.1	0	"vwuds_flag_coord"	36.757881	-79.385399
60274	"REDFIELD FARM INC/MENDEL FARMS"	1779	0.1	0	"vwuds_flag_coord"	37.356462	-77.863726
60275	"GILES C GREGORY"	826	0.1	0	"vwuds_flag_coord"	36.712134	-79.479965
60279	"TICONDEROGA FARMS"	2169	0.1	0	"vwuds_flag_coord"	38.889722	-77.534994
60280	"KINGS GREAT FARMS INC"	1211	0.1	0	"vwuds_flag_coord"	36.724878	-76.587005
60281	"Van Kesteren Farms Incorporated"	2229	99	-99	"vwuds_flag_coord"	37.710406	-75.700399
60282	"REDFIELD FARM INC/MENDEL FARMS"	1779	0.1	0	"vwuds_flag_coord"	37.356462	-77.863726
60283	"JERRY STALLINGS"	1143	0.1	0	"vwuds_flag_coord"	36.979371	-76.626667
60284	"XSCAPES LANDSCAPE NURSERY"	2440	0.1	0	"vwuds_flag_coord"	38.811826	-77.375747
60286	"CARL V SHELL"	325	0.1	0	"vwuds_flag_coord"	37.138961	-77.510152
60287	"A O GUNN"	50	0.1	0	"vwuds_flag_coord"	36.915758	-78.178547
60289	"TRIPLE BRANCH FARM"	2201	0.1	0	"vwuds_flag_coord"	37.356904	-78.826297
60295	"CLARENCE D. BRYANT III"	418	0.1	0	"vwuds_flag_coord"	36.757881	-79.385399
60296	"STACY L COOK"	2056	0.1	0	"vwuds_flag_coord"	36.937477	-79.426091
60297	"AUBREY H LEWIS"	37	0.1	0	"vwuds_flag_coord"	37.729653	-75.656599
60299	"GATEWOOD FARMS"	809	0.1	0	"vwuds_flag_coord"	37.048458	-77.599788
60300	"HILTON C HUDSON"	999	0.1	0	"vwuds_flag_coord"	36.628037	-79.056473
60301	"WALTER PERKINS"	2294	0.1	0	"vwuds_flag_coord"	37.337787	-77.373533
60302	"L & G FARMS"	1224	0.1	0	"vwuds_flag_coord"	36.621111111	-77.523333333
60304	"CREEK RUN FARM"	493	0.1	0	"vwuds_flag_coord"	38.190853	-79.404675
60308	"MESSER LANDSCAPE INC"	1427	0.1	0	"vwuds_flag_coord"	38.166842	-79.097315
60309	"FLORA DAIRY"	740	0.1	0	"vwuds_flag_coord"	37.034194	-79.998722
60310	"SONNY ACRE FARM"	2020	0.1	0	"vwuds_flag_coord"	38.01678	-79.02499
60311	"S E THOMAS AND SONS"	1910	0.1	0	"vwuds_flag_coord"	37.982658	-76.961506
60313	"DAVID R HUTCHERSON"	547	0.1	0	"vwuds_flag_coord"	36.994724	-79.168287
60314	"EDIBLE LANDSCAPING"	651	0.1	0	"vwuds_flag_coord"	37.949949	-78.859991
60315	"CORBIN HALL FARM"	477	0.1	0	"vwuds_flag_coord"	37.671416	-76.585575
60316	"GORDON BROTHERS ENTERPRISES"	867	0.1	0	"vwuds_flag_coord"	36.607828	-78.595987
60318	"PIERCE FARM"	1670	36.5327777778	-77.4008333333	"vwuds_flag_coord"	36.532777777	-77.400833333
60318	"PIERCE FARM"	1670	36.5327777778	-77.4008333333	"vwuds_flag_coord"	36.53277778	-77.40083333
60319	"JAMES N ADAMS"	1119	0.1	0	"vwuds_flag_coord"	36.932348	-78.464441
60320	"Van Kesteren Farms Incorporated"	2229	99	-99	"vwuds_flag_coord"	37.710406	-75.700399
60321	"TUCKS FARMS"	2206	0.1	0	"vwuds_flag_coord"	37.123875	-76.617974
60323	"KINGS GREAT FARMS INC"	1211	0.1	0	"vwuds_flag_coord"	36.724878	-76.587005
60324	"HOWARD AND R B SMITH"	1037	0.1	0	"vwuds_flag_coord"	36.698782	-79.436818
60326	"BASS FARMS"	109	0.1	0.1	"vwuds_flag_coord"	37.161864	-79.070868
60329	"SEVEN SPRINGS FARMS INC"	1946	0.1	0	"vwuds_flag_coord"	36.894109	-78.048547
60330	"BASS FARMS"	109	0.1	0	"vwuds_flag_coord"	37.161864	-79.070868
60332	"SMITHFIELD GARDENS"	2007	0.1	0	"vwuds_flag_coord"	36.981519	-76.631639
60336	"GORDON BROTHERS ENTERPRISES"	867	0.1	0	"vwuds_flag_coord"	36.607828	-78.595987
60338	"JAMES  A THOMPSON JR"	1110	0.1	0	"vwuds_flag_coord"	36.867923	-79.230707
60343	"CHARLES WEST"	374	0.1	0	"vwuds_flag_coord"	37.438918	-75.88085
60346	"YAROS FARMS INC"	2445	0.1	0	"vwuds_flag_coord"	37.19862	-75.979445
60347	"HOPELAND FARMS INC."	1030	0.1	0	"vwuds_flag_coord"	37.829618	-75.623322
60352	"WILLIAM C CLARK"	2377	0.1	0	"vwuds_flag_coord"	36.646306	-79.255281
60356	"F.A. HOLLAND & SONS"	697	0.1	0	"vwuds_flag_coord"	38.007352	-75.433971
60357	"Duer Home Farm"	616	0.1	0	"vwuds_flag_coord"	37.588117	-75.783198
60358	"FRANK L BAILEY"	772	0.1	0	"vwuds_flag_coord"	36.960992	-78.414247
60359	"B S MATTHEWS AND SONS"	94	0.1	0	"vwuds_flag_coord"	37.874102	-75.523659
60360	"B S MATTHEWS AND SONS"	94	0.1	0	"vwuds_flag_coord"	37.874102	-75.523659
60361	"CHARLES WEST"	374	0.1	0	"vwuds_flag_coord"	37.438918	-75.88085
60375	"YAROS FARMS INC"	2445	0.1	-99	"vwuds_flag_coord"	37.19862	-75.979445
60381	"CHEROKEE HILLS"	386	0.1	0	"vwuds_flag_coord"	37.275	-80.140277777
