"DEQ.ID.of.Source"	"FacilityName"	"Latitude"	"Longitude"	"vwuds_flag_coord"	"Corrected_Latitude"	"Corrected_Longitude"
143	"Broadleaf Farms"	37.709933333	-75.727925	""	37.709933333	-75.727925
144	"Broadleaf Farms"	37.709469444	-75.72805	""	37.709469444	-75.72805
145	"Broadleaf Farms"	37.708566666	-75.728947222	""	37.708566666	-75.728947222
149	"Dennis Nursery"	37.933041666	-75.499086111	""	37.933041666	-75.499086111
150	"Dennis Nursery"	37.932788888	-75.499180555	""	37.932788888	-75.499180555
151	"Dennis Azaleas"	37.928636111	-75.491561111	""	37.928636111	-75.491561111
152	"Drummond Farm"	37.871888888	-75.577777777	""	37.871888888	-75.577777777
153	"Drummond Farm"	37.872138888	-75.579855555	""	37.872138888	-75.579855555
154	"Drummond Farm"	37.872155555	-75.581525	""	37.872155555	-75.581525
155	"Sommers Farm"	37.829661111	-75.613744444	""	37.829661111	-75.613744444
159	"Gillespe Farm"	37.833358333	-75.570908333	""	37.833358333	-75.570908333
160	"Gillespe Farm"	37.832563888	-75.585055555	""	37.832563888	-75.585055555
162	"Painter Farm"	37.584361111	-75.790861111	""	37.584361111	-75.790861111
164	"Chincoteague Town of"	37.938083333	-75.459305555	""	37.938083333	-75.459305555
165	"Robert Van Dessel Farm"	37.805138888	-75.629527777	""	37.805138888	-75.629527777
166	"David Van Dessel Farm"	37.801416666	-75.637138888	""	37.801416666	-75.637138888
167	"David Van Dessel Farm"	37.803805555	-75.634638888	""	37.803805555	-75.634638888
168	"David Van Dessel Farm"	37.803666666	-75.633666666	""	37.803666666	-75.633666666
169	"Eastern Shore Yacht and Country Club"	37.657416666	-75.826361111	""	37.657416666	-75.826361111
171	"Hogneck Farm"	37.826297222	-75.547344444	""	37.826297222	-75.547344444
172	"Hagan Farm"	37.8239	-75.5425	""	37.8239	-75.5425
173	"Accomack County Office Buildings Waterworks"	37.720008333	-75.671411111	""	37.720008333	-75.671411111
174	"Accomack County Office Buildings Waterworks"	37.719452777	-75.671413888	""	37.719452777	-75.671413888
175	"Bobtown Nursery"	37.648891666	-75.8014	""	37.648891666	-75.8014
176	"Bobtown Nursery"	37.651127777	-75.798636111	""	37.651127777	-75.798636111
177	"Bobtown Nursery"	37.648066666	-75.8025	""	37.648066666	-75.8025
178	"Weaver Farm"	37.688625	-75.738055555	""	37.688625	-75.738055555
179	"Weaver Farm"	37.691113888	-75.729747222	""	37.691113888	-75.729747222
180	"Weaver Farm"	37.688627777	-75.751394444	""	37.688627777	-75.751394444
181	"Virginia Landing Campground"	37.487305555	-75.788888888	""	37.487305555	-75.788888888
182	"US NASA -Goddard Space Flight Center - Main Base"	37.934527777	-75.4705	""	37.934527777	-75.4705
183	"US NASA -Goddard Space Flight Center - Main Base"	37.944333333	-75.481583333	""	37.944333333	-75.481583333
184	"US NASA -Goddard Space Flight Center - Main Base"	37.937611111	-75.477111111	""	37.937611111	-75.477111111
185	"US NASA -Goddard Space Flight Center - Main Base"	37.936	-75.473472222	""	37.936	-75.473472222
186	"US NASA -Goddard Space Flight Center - Main Base"	37.939083333	-75.480638888	""	37.939083333	-75.480638888
187	"Home Farm & Fitchett Farm"	37.651527777	-75.730138888	""	37.651527777	-75.730138888
189	"James Farm"	37.650288888	-75.688338888	""	37.650288888	-75.688338888
190	"Rew Farm"	37.767797222	-75.619727777	""	37.767797222	-75.619727777
191	"Rew Farm"	37.765566666	-75.621688888	""	37.765566666	-75.621688888
192	"Rew Farm"	37.766130555	-75.621394444	""	37.766130555	-75.621394444
193	"Gunter Farm"	37.671672222	-75.657513888	""	37.671672222	-75.657513888
194	"Gunter Farm"	37.671672222	-75.658888888	""	37.671672222	-75.658888888
195	"Burton Farm"	37.695013888	-75.681122222	""	37.695013888	-75.681122222
196	"Burton Farm"	37.695280555	-75.680833333	""	37.695280555	-75.680833333
197	"Burton Farm"	37.696125	-75.680838888	""	37.696125	-75.680838888
198	"Virginia Farm"	37.679461111	-75.698058333	""	37.679461111	-75.698058333
199	"Virginia Farm"	37.679188888	-75.69945	""	37.679188888	-75.69945
200	"Virginia Farm"	37.682238888	-75.700847222	""	37.682238888	-75.700847222
201	"Virginia Farm"	37.680297222	-75.697230555	""	37.680297222	-75.697230555
202	"Virginia Farm"	37.680580555	-75.696411111	""	37.680580555	-75.696411111
203	"Virginia Farm"	37.679722222	-75.698072222	""	37.679722222	-75.698072222
204	"Virginia Farm"	37.6803	-75.699169444	""	37.6803	-75.699169444
205	"Virginia Farm"	37.683627777	-75.686111111	""	37.683627777	-75.686111111
206	"Virginia Farm"	37.683063888	-75.686947222	""	37.683063888	-75.686947222
207	"Virginia Farm"	37.682227777	-75.687777777	""	37.682227777	-75.687777777
208	"Virginia Farm"	37.681686111	-75.688341666	""	37.681686111	-75.688341666
209	"Virginia Farm"	37.681119444	-75.688891666	""	37.681119444	-75.688891666
210	"Virginia Farm"	37.679447222	-75.689733333	""	37.679447222	-75.689733333
211	"Virginia Farm"	37.680005555	-75.689177777	""	37.680005555	-75.689177777
214	"Goshen Farm"	37.826136111	-75.592508333	""	37.826136111	-75.592508333
215	"Goshen Farm"	37.742233333	-75.593897222	""	37.742233333	-75.593897222
216	"Smith Farm"	37.670563888	-75.641411111	""	37.670563888	-75.641411111
217	"Smith Farm"	37.66945	-75.640555555	""	37.66945	-75.640555555
218	"Drummond Farm"	37.871833333	-75.577666666	""	37.871833333	-75.577666666
220	"Onancock Town of"	37.706916666	-75.737333333	""	37.706916666	-75.737333333
221	"Onancock Town of"	37.707527777	-75.738638888	""	37.707527777	-75.738638888
222	"Onancock Town of"	37.708138888	-75.737194444	""	37.708138888	-75.737194444
226	"Wessells Farm"	37.794602777	-75.553516666	""	37.794602777	-75.553516666
227	"Wessells Farm"	37.794602777	-75.569166666	""	37.794602777	-75.569166666
228	"Wessells Farm"	37.79545	-75.553516666	""	37.79545	-75.553516666
229	"Mutton Hunk Fen Natural Area Preserve"	37.770638888	-75.579511111	""	37.770638888	-75.579511111
230	"Mutton Hunk Fen Natural Area Preserve"	37.770694444	-75.579527777	""	37.770694444	-75.579527777
231	"Mutton Hunk Fen Natural Area Preserve"	37.771916666	-75.578	""	37.771916666	-75.578
232	"Mutton Hunk Fen Natural Area Preserve"	37.771944444	-75.578833333	""	37.771944444	-75.578833333
233	"Mutton Hunk Fen Natural Area Preserve"	37.770527777	-75.574166666	""	37.770527777	-75.574166666
234	"Mutton Hunk Fen Natural Area Preserve"	37.771527777	-75.573305555	""	37.771527777	-75.573305555
235	"Mutton Hunk Fen Natural Area Preserve"	37.772055555	-75.574305555	""	37.772055555	-75.574305555
236	"Kelley Farm"	37.747805555	-75.602333333	""	37.747805555	-75.602333333
237	"Kelley Farm"	37.74725	-75.602805555	""	37.74725	-75.602805555
238	"Kelley Farm"	37.745333333	-75.604752777	""	37.745333333	-75.604752777
239	"Kelley Farm"	37.744916111	-75.60525	""	37.744916111	-75.60525
241	"Lang Farm"	37.720972222	-75.618472222	""	37.720972222	-75.618472222
242	"Lang Farm"	37.721444444	-75.618333333	""	37.721444444	-75.618333333
243	"Lang Farm"	37.723	-75.616083333	""	37.723	-75.616083333
244	"Lang Farm"	37.723	-75.616027777	""	37.723	-75.616027777
245	"Wes Powers"	37.743638888	-75.663694444	""	37.743638888	-75.663694444
246	"Wes Powers"	37.745277777	-75.6645	""	37.745277777	-75.6645
247	"Hickory Hill"	37.753527777	-75.663972222	""	37.753527777	-75.663972222
248	"AL Mathews"	37.867138888	-75.566638888	""	37.867138888	-75.566638888
249	"AL Mathews"	37.850722222	-75.56725	""	37.850722222	-75.56725
250	"AL Mathews"	37.850777777	-75.567388888	""	37.850777777	-75.567388888
251	"AL Mathews"	37.850972222	-75.567833333	""	37.850972222	-75.567833333
252	"Northam Somers"	37.8585	-75.582444444	""	37.8585	-75.582444444
253	"Northam Somers"	37.858555555	-75.582555555	""	37.858555555	-75.582555555
254	"Northam Somers"	37.858611111	-75.582611111	""	37.858611111	-75.582611111
255	"Ed Goin Farm"	37.820555555	-75.615861111	""	37.820555555	-75.615861111
256	"Northam Somers"	37.857888888	-75.582666666	""	37.857888888	-75.582666666
257	"Wessells/ Watkinson Farm"	37.748166666	-75.679027777	""	37.748166666	-75.679027777
258	"Wessells/ Watkinson Farm"	37.751333333	-75.67825	""	37.751333333	-75.67825
259	"Bethel Church"	37.848888888	-75.598444444	""	37.848888888	-75.598444444
260	"Bethel Church"	37.849388888	-75.597555555	""	37.849388888	-75.597555555
262	"Charles Hurst"	37.757888888	-75.654944444	""	37.757888888	-75.654944444
263	"Charles Hurst"	37.757933333	-75.654844444	""	37.757933333	-75.654844444
264	"Charles Hurst"	37.757852777	-75.654691666	""	37.757852777	-75.654691666
265	"Peach Orchard"	37.716333333	-75.654527777	""	37.716333333	-75.654527777
266	"Peach Orchard"	37.715333333	-75.654833333	""	37.715333333	-75.654833333
267	"Peach Orchard"	37.712666666	-75.657166666	""	37.712666666	-75.657166666
272	"Captain's Cove Utility Company, Inc."	37.989416666	-75.424611111	""	37.989416666	-75.424611111
273	"Captain's Cove Utility Company, Inc."	38.003222222	-75.425916666	""	38.003222222	-75.425916666
274	"Captain's Cove Utility Company, Inc."	38.001861111	-75.410305555	""	38.001861111	-75.410305555
276	"Melfa Farm"	37.643883333	-75.720758333	""	37.643883333	-75.720758333
277	"Melfa Farm"	37.643630555	-75.719913888	""	37.643630555	-75.719913888
278	"Melfa Farm"	37.644519444	-75.722258055	""	37.644519444	-75.722258055
279	"Christian/Ames Farm"	37.605272222	-75.803541666	""	37.605272222	-75.803541666
280	"Christian/Ames Farm"	37.605566666	-75.804288888	""	37.605566666	-75.804288888
281	"Christian/Ames Farm"	37.606205555	-75.805125	""	37.606205555	-75.805125
283	"Bowen Farm"	37.533194444	-75.793944444	""	37.533194444	-75.793944444
284	"Bowen Farm"	37.532777777	-75.793111111	""	37.532777777	-75.793111111
286	"Bull Farm aka Evans Oaks Farm"	37.687722222	-75.659916666	""	37.687722222	-75.659916666
287	"Bull Farm aka Evans Oaks Farm"	37.686527777	-75.659694444	""	37.686527777	-75.659694444
288	"Bull Farm aka Evans Oaks Farm"	37.685138888	-75.659472222	""	37.685138888	-75.659472222
289	"Sterling Farm"	37.766388888	-75.604027777	""	37.766388888	-75.604027777
290	"Sterling Farm"	37.766138888	-75.60375	""	37.766138888	-75.60375
291	"Sterling Farm"	37.766666666	-75.603555555	""	37.766666666	-75.603555555
292	"Sterling Farm"	37.766444444	-75.604972222	""	37.766444444	-75.604972222
293	"Sterling Farm"	37.766222222	-75.605361111	""	37.766222222	-75.605361111
295	"Byrd Farm"	37.842401694	-75.592100083	""	37.842401694	-75.592100083
296	"Byrd Farm"	37.842345855	-75.593377838	""	37.842345855	-75.593377838
297	"Simpson Farm"	37.876211111	-75.562563888	""	37.876211111	-75.562563888
298	"Mathews Farm"	37.901986366	-75.55351793	""	37.901986366	-75.55351793
300	"Triangle Mobile Home Park"	37.840138888	-75.563027777	""	37.840138888	-75.563027777
301	"Triangle Mobile Home Park"	37.840027777	-75.563083333	""	37.840027777	-75.563083333
302	"Christian/Ames Farm"	37.600813888	-75.810891666	""	37.600813888	-75.810891666
303	"Christian/Ames Farm"	37.600541666	-75.810925	""	37.600541666	-75.810925
304	"Christian/Ames Farm"	37.600266666	-75.810955555	""	37.600266666	-75.810955555
305	"Christian/Ames Farm"	37.599997222	-75.810988888	""	37.599997222	-75.810988888
306	"Christian/Ames Farm"	37.599722222	-75.811022222	""	37.599722222	-75.811022222
307	"Christian/Ames Farm"	37.599175	-75.811091666	""	37.599175	-75.811091666
308	"Christian/Ames Farm"	37.598905555	-75.811119444	""	37.598905555	-75.811119444
309	"Christian/Ames Farm"	37.598613888	-75.811152777	""	37.598613888	-75.811152777
310	"Christian/Ames Farm"	37.598638888	-75.811494444	""	37.598638888	-75.811494444
311	"Christian/Ames Farm"	37.602583333	-75.807902777	""	37.602583333	-75.807902777
312	"Christian/Ames Farm"	37.600322222	-75.810702777	""	37.600322222	-75.810702777
313	"Christian/Ames Farm"	37.600466666	-75.815383333	""	37.600466666	-75.815383333
314	"Christian/Ames Farm"	37.601077777	-75.815311111	""	37.601077777	-75.815311111
315	"Christian/Ames Farm"	37.60005	-75.809330555	""	37.60005	-75.809330555
316	"Christian/Ames Farm"	37.600147222	-75.815052777	""	37.600147222	-75.815052777
317	"Christian/Ames Farm"	37.599844444	-75.815433333	""	37.599844444	-75.815433333
318	"Christian/Ames Farm"	37.599511111	-75.815497222	""	37.599511111	-75.815497222
319	"Christian/Ames Farm"	37.59945	-75.816497222	""	37.59945	-75.816497222
320	"Christian/Ames Farm"	37.599472222	-75.811055555	""	37.599472222	-75.811055555
321	"Town of Parksley Water Works"	37.784611111	-75.650305555	""	37.784611111	-75.650305555
322	"Painter Farm"	37.56165	-75.795522222	""	37.56165	-75.795522222
323	"Painter Farm"	37.560827777	-75.796541666	""	37.560827777	-75.796541666
335	"Strawhorne"	37.647739225	-77.33568168	""	37.647739225	-77.33568168
340	"Hanover Courthouse"	37.761666666	-77.365833333	""	37.761666666	-77.365833333
343	"Mechanicsville Plant"	37.629027777	-77.398333333	""	37.629027777	-77.398333333
346	"Rural Point"	37.671668055	-77.335558055	""	37.671668055	-77.335558055
371	"Perry Minnow Farm Incorporated"	36.789578611	-76.691389722	""	36.789578611	-76.691389722
374	"Perry Minnow Farm Incorporated"	36.7887825	-76.691048055	""	36.7887825	-76.691048055
375	"Perry Minnow Farm Incorporated"	36.795111111	-76.690694444	""	36.795111111	-76.690694444
380	"Woodhaven Water Company Incorporated"	37.497222222	-77.122222222	""	37.497222222	-77.122222222
382	"BROOKWOOD MANOR"	37.519416666	-77.178944444	""	37.519416666	-77.178944444
383	"New Kent Courthouse"	37.515555555	-76.981111111	""	37.515555555	-76.981111111
384	"Woodhaven Water Company Incorporated"	37.494722222	-77.123888888	""	37.494722222	-77.123888888
385	"Kenwood Farms"	37.541269444	-77.113386111	""	37.541269444	-77.113386111
388	"Colonies"	37.399491666	-76.901622222	""	37.399491666	-76.901622222
389	"Colonies"	37.398869444	-76.901677777	""	37.398869444	-76.901677777
391	"BROOKWOOD MANOR"	37.516527777	-77.180472222	""	37.516527777	-77.180472222
392	"Bottoms Bridge"	37.50055428	-77.16735673	""	37.50055428	-77.16735673
393	"Woods Edge Dispatch Station Water System"	37.539175	-77.203947222	""	37.539175	-77.203947222
394	"New Kent Courthouse"	37.516989752	-76.979530002	""	37.516989752	-76.979530002
395	"Kenwood Farms"	37.537983333	-77.117061111	""	37.537983333	-77.117061111
396	"Farms of New Kent Water System"	37.504262752	-77.080850266	""	37.504262752	-77.080850266
397	"Bottoms Bridge"	37.502422172	-77.169485691	""	37.502422172	-77.169485691
398	"Bottoms Bridge"	37.503138888	-77.169916666	""	37.503138888	-77.169916666
399	"Colonial Downs Public Water System"	37.471666666	-77.025833333	""	37.471666666	-77.025833333
404	"Christian/Ames Farm"	37.606666666	-75.806430555	""	37.606666666	-75.806430555
405	"Christian/Ames Farm"	37.606966666	-75.807272222	""	37.606966666	-75.807272222
406	"Christian/Ames Farm"	37.604452777	-75.805575	""	37.604452777	-75.805575
407	"Christian/Ames Farm"	37.604583333	-75.805355555	""	37.604583333	-75.805355555
408	"Christian/Ames Farm"	37.604080555	-75.80085	""	37.604080555	-75.80085
411	"Doughty-Drewer Complex"	37.604733333	-75.833977777	""	37.604733333	-75.833977777
413	"Doughty-Drewer Complex"	37.604911111	-75.835363888	""	37.604911111	-75.835363888
417	"Christian/Ames Farm"	37.6036	-75.814944444	""	37.6036	-75.814944444
437	"Lang Farm"	37.721416666	-75.618388888	""	37.721416666	-75.618388888
452	"Walker Farm"	37.615366666	-75.807072222	""	37.615366666	-75.807072222
473	"Mt Zion Rustic Public Water System"	37.304055555	-76.934444444	""	37.304055555	-76.934444444
474	"Wayside Well System"	37.373347222	-77.189461111	""	37.373347222	-77.189461111
475	"Wayside Well System"	37.349725	-77.192233333	""	37.349725	-77.192233333
476	"Mt Zion Rustic Public Water System"	37.315055555	-76.936333333	""	37.315055555	-76.936333333
477	"Charles City County School Complex"	37.349722222	-77.078611111	""	37.349722222	-77.078611111
479	"Charles City County School Complex"	37.35	-77.077222222	""	37.35	-77.077222222
481	"Chickahominy Power Water Well System"	37.437227777	-77.161369444	""	37.437227777	-77.161369444
485	"Chickahominy Power Water Well System"	37.436944444	-77.161388888	""	37.436944444	-77.161388888
486	"INGENCO Charles City Peaking Facility"	37.438354208	-77.128374108	""	37.438354208	-77.128374108
487	"INGENCO Charles City Peaking Facility"	37.438489727	-77.128292072	""	37.438489727	-77.128292072
490	"DuPont Hopewell Plant"	37.348330555	-77.29	""	37.348330555	-77.29
491	"DuPont Hopewell Plant"	37.349166666	-77.290555555	""	37.349166666	-77.290555555
498	"Burnside Farms Mayfield Ellerson"	37.624444444	-77.377777777	""	37.624444444	-77.377777777
499	"Burnside Farms Mayfield Ellerson"	37.627222222	-77.382222222	""	37.627222222	-77.382222222
500	"Spring Meadows and Meadowgate Water System"	37.628055555	-77.356111111	""	37.628055555	-77.356111111
501	"Avondale Robin Ridge"	37.6547	-77.361897222	""	37.6547	-77.361897222
502	"Mechanicsville Plant"	37.631666666	-77.399722222	""	37.631666666	-77.399722222
503	"Mechanicsville Plant"	37.631666666	-77.399444444	""	37.631666666	-77.399444444
505	"Hanover Farms"	37.585	-77.298611111	""	37.585	-77.298611111
506	"Cherrydale"	37.621230555	-77.323855555	""	37.621230555	-77.323855555
507	"Walnut Grove"	37.601413888	-77.346722222	""	37.601413888	-77.346722222
508	"High Point Farms"	37.592222222	-77.324166666	""	37.592222222	-77.324166666
513	"Holly Ridge"	37.639444444	-77.390833333	""	37.639444444	-77.390833333
514	"Holly Ridge"	37.639666666	-77.391055555	""	37.639666666	-77.391055555
515	"Hanover Urban Water System"	37.709694444	-77.446527777	""	37.709694444	-77.446527777
518	"Barrett Learning Center"	37.711666666	-77.357222222	""	37.711666666	-77.357222222
520	"Burnside Farms Mayfield Ellerson"	37.623055555	-77.393611111	""	37.623055555	-77.393611111
522	"Spring Meadows and Meadowgate Water System"	37.6125	-77.345833333	""	37.6125	-77.345833333
523	"Spring Meadows and Meadowgate Water System"	37.618055555	-77.346111111	""	37.618055555	-77.346111111
524	"Spring Meadows and Meadowgate Water System"	37.608888888	-77.352222222	""	37.608888888	-77.352222222
525	"Colonial Forest"	37.6825	-77.357222222	""	37.6825	-77.357222222
526	"Mechanicsville Plant"	37.632777777	-77.399027777	""	37.632777777	-77.399027777
528	"Cherrydale"	37.627125	-77.327358333	""	37.627125	-77.327358333
529	"Hanover Learning Center"	37.756666666	-77.3425	""	37.756666666	-77.3425
530	"Avondale Robin Ridge"	37.652608333	-77.373347222	""	37.652608333	-77.373347222
533	"Dianne Ridge"	37.648333333	-77.248055555	""	37.648333333	-77.248055555
535	"Hanover Farms"	37.579444444	-77.295555555	""	37.579444444	-77.295555555
538	"Spring Meadows and Meadowgate Water System"	37.624444444	-77.351111111	""	37.624444444	-77.351111111
540	"Georgetown"	37.697777777	-77.355	""	37.697777777	-77.355
541	"Sinclair Manor"	37.619639208	-77.245434791	""	37.619639208	-77.245434791
543	"Colonial Forest"	37.685994444	-77.353977777	""	37.685994444	-77.353977777
545	"Burnside Farms Mayfield Ellerson"	37.627222222	-77.382222222	""	37.627222222	-77.382222222
546	"Walnut Grove"	37.601466666	-77.346861111	""	37.601466666	-77.346861111
554	"Hanover Courthouse"	37.766388888	-77.368055555	""	37.766388888	-77.368055555
557	"Raven Run Fieldshire"	37.635833333	-77.317222222	""	37.635833333	-77.317222222
558	"Raven Run Fieldshire"	37.633888888	-77.316944444	""	37.633888888	-77.316944444
559	"Pearson Corner"	37.680277777	-77.383888888	""	37.680277777	-77.383888888
560	"Pearson Corner"	37.676944444	-77.385555555	""	37.676944444	-77.385555555
563	"Hanover Urban Water System"	37.653055555	-77.390555555	""	37.653055555	-77.390555555
564	"Burnside Farms Mayfield Ellerson"	37.621666666	-77.389166666	""	37.621666666	-77.389166666
