"FacilityID"	"FacilityName"	"FacLong"	"FacLat"	"OutfallID"	"Outfall_Longitude"	"Outfall_Latitude"	"DesignFlow_mgd"	"Measured_Effluent"	"Permitted_Limit"	"Units"	"MP_Begin_Date"	"MP_End_Date"	"Violation_Code"	"Violation_Severity"	"CWPStatus"	"CWPE90Cnt"	"CWPInspectionCount"	"CWPDateLastInspection"
"VA0024163"	"MARY MOTHER OF THE CHURCH ABBEY STP"	-77.675833	37.578611	"VA0024163001"	-77.6966666669537	37.5750000000366	0.015	0.008	0.015	"MGD"	"11/01/2017"	"11/30/2017"	"D80"	1	"Significant Violation"	9	2	"10/12/2016"
"VA0024431"	"MATHEWS ARM STP"	-78.46527	38.66105	"VA0024431001"	-78.3047222223434	38.7650000001672	0.025	0.048	0.025	"MGD"	"07/01/2016"	"07/31/2016"	"E90"	2	"No Violation"	2	1	"08/21/2013"
"VA0024490"	"EDGEMONT CENTER INCORPORATED STP"	-81.04657	36.94453	"VA0024490001"	-81.0433333337268	36.941666666817	0.0271	NA	0.0271	"MGD"	"03/01/2018"	"03/31/2018"	"D90"	1	"Significant Violation"	0	2	"08/27/2015"
"VA0024490"	"EDGEMONT CENTER INCORPORATED STP"	-81.04657	36.94453	"VA0024490001"	-81.0433333337268	36.941666666817	0.0271	NA	0.0271	"MGD"	"04/01/2018"	"04/30/2018"	"D90"	1	"Significant Violation"	0	2	"08/27/2015"
"VA0024490"	"EDGEMONT CENTER INCORPORATED STP"	-81.04657	36.94453	"VA0024490001"	-81.0433333337268	36.941666666817	0.0271	NA	0.0271	"MGD"	"12/01/2017"	"12/31/2017"	"D90"	1	"Significant Violation"	0	2	"08/27/2015"
"VA0024490"	"EDGEMONT CENTER INCORPORATED STP"	-81.04657	36.94453	"VA0024490001"	-81.0433333337268	36.941666666817	0.0271	NA	0.0271	"MGD"	"09/01/2017"	"09/30/2017"	"D90"	1	"Significant Violation"	0	2	"08/27/2015"
"VA0024490"	"EDGEMONT CENTER INCORPORATED STP"	-81.04657	36.94453	"VA0024490001"	-81.0433333337268	36.941666666817	0.0271	NA	0.0271	"MGD"	"06/01/2017"	"06/30/2017"	"D90"	1	"Significant Violation"	0	2	"08/27/2015"
"VA0024490"	"EDGEMONT CENTER INCORPORATED STP"	-81.04657	36.94453	"VA0024490001"	-81.0433333337268	36.941666666817	0.0271	NA	0.0271	"MGD"	"01/01/2018"	"01/31/2018"	"D90"	1	"Significant Violation"	0	2	"08/27/2015"
"VA0024490"	"EDGEMONT CENTER INCORPORATED STP"	-81.04657	36.94453	"VA0024490001"	-81.0433333337268	36.941666666817	0.0271	NA	0.0271	"MGD"	"11/01/2017"	"11/30/2017"	"D90"	1	"Significant Violation"	0	2	"08/27/2015"
"VA0024490"	"EDGEMONT CENTER INCORPORATED STP"	-81.04657	36.94453	"VA0024490001"	-81.0433333337268	36.941666666817	0.0271	NA	0.0271	"MGD"	"08/01/2017"	"08/31/2017"	"D90"	1	"Significant Violation"	0	2	"08/27/2015"
"VA0024490"	"EDGEMONT CENTER INCORPORATED STP"	-81.04657	36.94453	"VA0024490001"	-81.0433333337268	36.941666666817	0.0271	NA	0.0271	"MGD"	"07/01/2017"	"07/31/2017"	"D90"	1	"Significant Violation"	0	2	"08/27/2015"
"VA0024490"	"EDGEMONT CENTER INCORPORATED STP"	-81.04657	36.94453	"VA0024490001"	-81.0433333337268	36.941666666817	0.0271	NA	0.0271	"MGD"	"10/01/2017"	"10/31/2017"	"D90"	1	"Significant Violation"	0	2	"08/27/2015"
"VA0024490"	"EDGEMONT CENTER INCORPORATED STP"	-81.04657	36.94453	"VA0024490001"	-81.0433333337268	36.941666666817	0.0271	NA	0.0271	"MGD"	"02/01/2018"	"02/28/2018"	"D90"	1	"Significant Violation"	0	2	"08/27/2015"
"VA0024945"	"LAKE MONTICELLO STP"	-78.29935	37.91735	"VA0024945001"	-78.2963888892192	37.9150000002301	0.775	0.869	0.775	"MGD"	"12/01/2015"	"12/31/2015"	"E90"	2	"No Violation"	4	1	"01/29/2015"
"VA0024945"	"LAKE MONTICELLO STP"	-78.29935	37.91735	"VA0024945001"	-78.2963888892192	37.9150000002301	0.775	0.867	0.775	"MGD"	"02/01/2016"	"02/29/2016"	"E90"	2	"No Violation"	4	1	"01/29/2015"
"VA0024945"	"LAKE MONTICELLO STP"	-78.29935	37.91735	"VA0024945001"	-78.2963888892192	37.9150000002301	0.775	0.786	0.775	"MGD"	"05/01/2016"	"05/31/2016"	"E90"	2	"No Violation"	4	1	"01/29/2015"
"VA0024945"	"LAKE MONTICELLO STP"	-78.29935	37.91735	"VA0024945001"	-78.2963888892192	37.9150000002301	0.775	0.787	0.775	"MGD"	"10/01/2015"	"10/31/2015"	"E90"	2	"No Violation"	4	1	"01/29/2015"
"VA0025291"	"FISHERSVILLE REGIONAL WWTP"	-78.9961	38.1276	"VA0025291001"	-78.996111110772	38.1280555554176	4	2.273	2	"MGD"	"02/01/2014"	"02/28/2014"	"E90"	2	"No Violation"	0	1	"09/17/2015"
"VA0025291"	"FISHERSVILLE REGIONAL WWTP"	-78.9961	38.1276	"VA0025291001"	-78.996111110772	38.1280555554176	4	2.015	2	"MGD"	"03/01/2014"	"03/31/2014"	"E90"	2	"No Violation"	0	1	"09/17/2015"
"VA0025470"	"SCOTTSVILLE WWTP"	-78.494444	37.797222	"VA0025470001"	-78.4944444448356	37.7972222222622	0.2	0.102	0.1	"MGD"	"01/01/2016"	"01/31/2016"	"E90"	2	"No Violation"	3	1	"06/21/2017"
"VA0025470"	"SCOTTSVILLE WWTP"	-78.494444	37.797222	"VA0025470001"	-78.4944444448356	37.7972222222622	0.2	0.134	0.1	"MGD"	"02/01/2016"	"02/29/2016"	"E90"	2	"No Violation"	3	1	"06/21/2017"
"VA0025470"	"SCOTTSVILLE WWTP"	-78.494444	37.797222	"VA0025470001"	-78.4944444448356	37.7972222222622	0.2	0.59	0.1	"MGD"	"08/01/2016"	"08/31/2016"	"E90"	2	"No Violation"	3	1	"06/21/2017"
"VA0025992"	"FLOYD TOWN - FLOYD CO - PUBLIC SERVICE AUTHORITY"	-80.338056	36.91028	"VA0025992001"	-80.3380555603511	36.9102799999937	0.25	0.255	0.25	"MGD"	"10/01/2015"	"10/31/2015"	"E90"	2	"No Violation"	10	1	"01/26/2018"
"VA0025992"	"FLOYD TOWN - FLOYD CO - PUBLIC SERVICE AUTHORITY"	-80.338056	36.91028	"VA0025992001"	-80.3380555603511	36.9102799999937	0.25	0.282	0.25	"MGD"	"02/01/2016"	"02/29/2016"	"E90"	2	"No Violation"	10	1	"01/26/2018"
"VA0027278"	"PEARSON ELEMENTARY SCHOOL"	-77.67819	38.65065	"VA0027278001"	-77.6772222220989	38.6527777778015	0.0079	0.0052	0.0079	"MGD"	"10/01/2016"	"10/31/2016"	"D90"	1	"No Violation"	13	6	"01/06/2017"
"VA0027561"	"CHILDRENS HOME OF VA BAPTISTS LAGOON"	-77.489236	37.263258	"VA0027561001"	-77.4863888887031	37.270000000333	0.01	NA	NA	"MGD"	"03/01/2018"	"03/31/2018"	"D80"	1	"Significant Violation"	0	2	"06/07/2017"
"VA0027561"	"CHILDRENS HOME OF VA BAPTISTS LAGOON"	-77.489236	37.263258	"VA0027561001"	-77.4863888887031	37.270000000333	0.01	0	NA	"MGD"	"04/01/2017"	"04/30/2017"	"D90"	1	"Significant Violation"	0	2	"06/07/2017"
"VA0027561"	"CHILDRENS HOME OF VA BAPTISTS LAGOON"	-77.489236	37.263258	"VA0027561001"	-77.4863888887031	37.270000000333	0.01	0	NA	"MGD"	"08/01/2016"	"08/31/2016"	"D80"	1	"Significant Violation"	0	2	"06/07/2017"
"VA0027561"	"CHILDRENS HOME OF VA BAPTISTS LAGOON"	-77.489236	37.263258	"VA0027561001"	-77.4863888887031	37.270000000333	0.01	0	NA	"MGD"	"05/01/2017"	"05/31/2017"	"D90"	1	"Significant Violation"	0	2	"06/07/2017"
"VA0027561"	"CHILDRENS HOME OF VA BAPTISTS LAGOON"	-77.489236	37.263258	"VA0027561001"	-77.4863888887031	37.270000000333	0.01	0	NA	"MGD"	"05/01/2016"	"05/31/2016"	"D80"	1	"Significant Violation"	0	2	"06/07/2017"
"VA0027561"	"CHILDRENS HOME OF VA BAPTISTS LAGOON"	-77.489236	37.263258	"VA0027561001"	-77.4863888887031	37.270000000333	0.01	0	NA	"MGD"	"06/01/2016"	"06/30/2016"	"D80"	1	"Significant Violation"	0	2	"06/07/2017"
"VA0027561"	"CHILDRENS HOME OF VA BAPTISTS LAGOON"	-77.489236	37.263258	"VA0027561001"	-77.4863888887031	37.270000000333	0.01	0	NA	"MGD"	"03/01/2016"	"03/31/2016"	"D80"	1	"Significant Violation"	0	2	"06/07/2017"
"VA0027561"	"CHILDRENS HOME OF VA BAPTISTS LAGOON"	-77.489236	37.263258	"VA0027561001"	-77.4863888887031	37.270000000333	0.01	0	NA	"MGD"	"11/01/2017"	"11/30/2017"	"D80"	1	"Significant Violation"	0	2	"06/07/2017"
"VA0027561"	"CHILDRENS HOME OF VA BAPTISTS LAGOON"	-77.489236	37.263258	"VA0027561001"	-77.4863888887031	37.270000000333	0.01	0	NA	"MGD"	"10/01/2016"	"10/31/2016"	"D80"	1	"Significant Violation"	0	2	"06/07/2017"
"VA0027561"	"CHILDRENS HOME OF VA BAPTISTS LAGOON"	-77.489236	37.263258	"VA0027561001"	-77.4863888887031	37.270000000333	0.01	0	NA	"MGD"	"09/01/2016"	"09/30/2016"	"D80"	1	"Significant Violation"	0	2	"06/07/2017"
"VA0027561"	"CHILDRENS HOME OF VA BAPTISTS LAGOON"	-77.489236	37.263258	"VA0027561001"	-77.4863888887031	37.270000000333	0.01	NA	NA	"MGD"	"04/01/2018"	"04/30/2018"	"D80"	1	"Significant Violation"	0	2	"06/07/2017"
"VA0027561"	"CHILDRENS HOME OF VA BAPTISTS LAGOON"	-77.489236	37.263258	"VA0027561001"	-77.4863888887031	37.270000000333	0.01	0	NA	"MGD"	"01/01/2016"	"01/31/2016"	"D80"	1	"Significant Violation"	0	2	"06/07/2017"
"VA0027561"	"CHILDRENS HOME OF VA BAPTISTS LAGOON"	-77.489236	37.263258	"VA0027561001"	-77.4863888887031	37.270000000333	0.01	0	NA	"MGD"	"01/01/2018"	"01/31/2018"	"D80"	1	"Significant Violation"	0	2	"06/07/2017"
"VA0027561"	"CHILDRENS HOME OF VA BAPTISTS LAGOON"	-77.489236	37.263258	"VA0027561001"	-77.4863888887031	37.270000000333	0.01	NA	NA	"MGD"	"09/01/2017"	"09/30/2017"	"D80"	1	"Significant Violation"	0	2	"06/07/2017"
"VA0027561"	"CHILDRENS HOME OF VA BAPTISTS LAGOON"	-77.489236	37.263258	"VA0027561001"	-77.4863888887031	37.270000000333	0.01	0	NA	"MGD"	"02/01/2016"	"02/29/2016"	"D80"	1	"Significant Violation"	0	2	"06/07/2017"
"VA0027561"	"CHILDRENS HOME OF VA BAPTISTS LAGOON"	-77.489236	37.263258	"VA0027561001"	-77.4863888887031	37.270000000333	0.01	NA	NA	"MGD"	"10/01/2017"	"10/31/2017"	"D80"	1	"Significant Violation"	0	2	"06/07/2017"
"VA0027561"	"CHILDRENS HOME OF VA BAPTISTS LAGOON"	-77.489236	37.263258	"VA0027561001"	-77.4863888887031	37.270000000333	0.01	NA	NA	"MGD"	"11/01/2015"	"11/30/2015"	"D80"	1	"Significant Violation"	0	2	"06/07/2017"
"VA0027561"	"CHILDRENS HOME OF VA BAPTISTS LAGOON"	-77.489236	37.263258	"VA0027561001"	-77.4863888887031	37.270000000333	0.01	0	NA	"MGD"	"11/01/2016"	"11/30/2016"	"D80"	1	"Significant Violation"	0	2	"06/07/2017"
"VA0027561"	"CHILDRENS HOME OF VA BAPTISTS LAGOON"	-77.489236	37.263258	"VA0027561001"	-77.4863888887031	37.270000000333	0.01	NA	NA	"MGD"	"12/01/2015"	"12/31/2015"	"D80"	1	"Significant Violation"	0	2	"06/07/2017"
"VA0027685"	"PITTSYLVANIA CO - DAN RIVER HIGH SCHOOL"	-79.29992	36.66182	"VA0027685001"	-79.3052777774064	36.6594444447543	0.0104	0.0113	0.0104	"MGD"	"11/01/2015"	"11/30/2015"	"E90"	2	"No Violation"	2	1	"09/24/2014"
"VA0027855"	"WOODBRIDGE MOBILE HOME PARK STP"	-77.29118	38.66344	"VA0027855001"	-77.2883333330867	38.6619444447548	0.0198	0.023	0.0198	"MGD"	"11/01/2015"	"11/30/2015"	"E90"	2	"Noncompliance"	22	30	"05/09/2018"
"VA0027855"	"WOODBRIDGE MOBILE HOME PARK STP"	-77.29118	38.66344	"VA0027855001"	-77.2883333330867	38.6619444447548	0.0198	0.0254	0.0198	"MGD"	"10/01/2015"	"10/31/2015"	"E90"	2	"Noncompliance"	22	30	"05/09/2018"
"VA0027855"	"WOODBRIDGE MOBILE HOME PARK STP"	-77.29118	38.66344	"VA0027855001"	-77.2883333330867	38.6619444447548	0.0198	0.0229	0.0198	"MGD"	"12/01/2015"	"12/31/2015"	"E90"	2	"Noncompliance"	22	30	"05/09/2018"
"VA0027952"	"CRAIG SPRINGS CAMP AND RETREAT CENTER"	-80.29197	37.48466	"VA0027952001"	-80.2916666668769	37.4841666669294	0.01	0.0006	0.01	"MGD"	"08/01/2016"	"08/31/2016"	"D90"	1	"Noncompliance"	3	1	"04/20/2015"
"VA0027952"	"CRAIG SPRINGS CAMP AND RETREAT CENTER"	-80.29197	37.48466	"VA0027952001"	-80.2916666668769	37.4841666669294	0.01	0.0007	0.01	"MGD"	"04/01/2016"	"04/30/2016"	"D90"	1	"Noncompliance"	3	1	"04/20/2015"
"VA0027952"	"CRAIG SPRINGS CAMP AND RETREAT CENTER"	-80.29197	37.48466	"VA0027952001"	-80.2916666668769	37.4841666669294	0.01	0.0033	0.01	"MGD"	"05/01/2016"	"05/31/2016"	"D90"	1	"Noncompliance"	3	1	"04/20/2015"
"VA0028233"	"WARM SPRINGS STP"	-79.796685	38.049877	"VA0028233001"	-79.7977777781638	38.0497222220165	0.08	0.082	0.08	"MGD"	"12/01/2015"	"12/31/2015"	"E90"	2	"No Violation"	8	1	"01/14/2014"
"VA0028233"	"WARM SPRINGS STP"	-79.796685	38.049877	"VA0028233001"	-79.7977777781638	38.0497222220165	0.08	0.157	0.08	"MGD"	"02/01/2016"	"02/29/2016"	"E90"	2	"No Violation"	8	1	"01/14/2014"
"VA0028233"	"WARM SPRINGS STP"	-79.796685	38.049877	"VA0028233001"	-79.7977777781638	38.0497222220165	0.08	0.097	0.08	"MGD"	"06/01/2016"	"06/30/2016"	"E90"	2	"No Violation"	8	1	"01/14/2014"
"VA0028291"	"NOTTOWAY MOTEL AND RESTAURANT"	-77.735223	36.942332	"VA0028291001"	-77.7302777774011	36.9444444443727	0.02	0.004	0.02	"MGD"	"09/01/2016"	"09/30/2016"	"D90"	1	"No Violation"	0	1	"02/23/2015"
"VA0030121"	"TRI-STATE CHRISTIAN SERVICE STP"	-78.337061	39.097361	"VA0030121001"	-78.3386111107413	39.1022222221087	0.003	0.0041	0.003	"MGD"	"07/01/2016"	"07/31/2016"	"E90"	2	"Noncompliance"	3	1	"07/17/2013"
"VA0031011"	"WINTERGREEN MOUNTAIN WWTP"	-78.9649	37.9053	"VA0031011001"	-78.9641666662308	37.9050000002584	0.3	0.301	0.3	"MGD"	"02/01/2016"	"02/29/2016"	"E90"	2	"Significant Violation"	21	2	"02/27/2018"
"VA0052906"	"DOSWELL TRUCK STOP"	-77.44984	37.84631	"VA0052906002"	-77.4463888889881	37.8519444442185	0.05	0.00288	NA	"MGD"	"04/01/2018"	"04/30/2018"	"D80"	1	"No Violation"	18	1	"03/28/2018"
"VA0059072"	"GEORGIA PACIFIC WOOD PRODUCTS LLC - SKIPPERS"	-77.525171	36.548859	"VA0059072001"	-77.5252777775145	36.5508333335461	0.0361	NA	NA	"MGD"	"04/01/2018"	"04/30/2018"	"D80"	1	"Noncompliance"	4	2	"02/16/2017"
"VA0059072"	"GEORGIA PACIFIC WOOD PRODUCTS LLC - SKIPPERS"	-77.525171	36.548859	"VA0059072001"	-77.5252777775145	36.5508333335461	0.0361	NA	NA	"MGD"	"03/01/2018"	"03/31/2018"	"D80"	1	"Noncompliance"	4	2	"02/16/2017"
"VA0060348"	"HARTWOOD ELEMENTARY SCHOOL"	-77.560833	38.400277	"VA0060348001"	-77.5620629996783	38.4021930002799	0.0078	0.0081	0.0078	"MGD"	"04/01/2016"	"04/30/2016"	"E90"	2	"No Violation"	7	4	"03/09/2016"
"VA0060569"	"WINDMILL POINT RESORT AND YACHT HARBOR"	-76.2923	37.61682	"VA0060569001"	-76.2902979997566	37.6172019999863	0.03	NA	0.03	"MGD"	"07/01/2017"	"07/31/2017"	"D90"	1	"Significant Violation"	19	16	"12/05/2017"
"VA0060569"	"WINDMILL POINT RESORT AND YACHT HARBOR"	-76.2923	37.61682	"VA0060569001"	-76.2902979997566	37.6172019999863	0.03	NA	0.03	"MGD"	"11/01/2017"	"11/30/2017"	"D90"	1	"Significant Violation"	19	16	"12/05/2017"
"VA0060569"	"WINDMILL POINT RESORT AND YACHT HARBOR"	-76.2923	37.61682	"VA0060569001"	-76.2902979997566	37.6172019999863	0.03	NA	0.03	"MGD"	"08/01/2017"	"08/31/2017"	"D90"	1	"Significant Violation"	19	16	"12/05/2017"
"VA0060569"	"WINDMILL POINT RESORT AND YACHT HARBOR"	-76.2923	37.61682	"VA0060569001"	-76.2902979997566	37.6172019999863	0.03	NA	0.03	"MGD"	"04/01/2016"	"04/30/2016"	"D90"	1	"Significant Violation"	19	16	"12/05/2017"
"VA0060569"	"WINDMILL POINT RESORT AND YACHT HARBOR"	-76.2923	37.61682	"VA0060569001"	-76.2902979997566	37.6172019999863	0.03	NA	0.03	"MGD"	"10/01/2017"	"10/31/2017"	"D90"	1	"Significant Violation"	19	16	"12/05/2017"
"VA0060569"	"WINDMILL POINT RESORT AND YACHT HARBOR"	-76.2923	37.61682	"VA0060569001"	-76.2902979997566	37.6172019999863	0.03	NA	0.03	"MGD"	"11/01/2015"	"11/30/2015"	"D90"	1	"Significant Violation"	19	16	"12/05/2017"
"VA0060569"	"WINDMILL POINT RESORT AND YACHT HARBOR"	-76.2923	37.61682	"VA0060569001"	-76.2902979997566	37.6172019999863	0.03	NA	0.03	"MGD"	"09/01/2017"	"09/30/2017"	"D90"	1	"Significant Violation"	19	16	"12/05/2017"
"VA0060798"	"APPALACHIA ELEMENTARY SCHOOL STP"	-82.746412	36.924156	"VA0060798001"	-82.7455555559959	36.924999999862	0.012	0	0.012	"MGD"	"07/01/2017"	"07/31/2017"	"D90"	1	"No Violation"	0	1	"07/20/2017"
"VA0061042"	"BENNIES MOBILE HOME PARK SEWAGE TREATMENT PLANT"	-79.110052	37.359376	"VA0061042001"	-79.1144444440107	37.3472222222716	0.035	NA	NA	"MGD"	"07/01/2016"	"07/31/2016"	"D90"	1	"No Violation"	2	1	"04/08/2015"
"VA0061247"	"GLADSTONE STP"	-78.846389	37.543889	"VA0061247001"	-78.8463888888931	37.5438888885802	0.0062	0.0081	0.0062	"MGD"	"05/01/2018"	"05/31/2018"	"E90"	2	"Noncompliance"	30	2	"02/14/2018"
"VA0062154"	"HANOVER COURTHOUSE WWTP"	-77.47339	37.81829	"VA0062154001"	-77.3702777781699	37.7883333336482	0.08	0.081	0.08	"MGD"	"02/01/2016"	"02/29/2016"	"E90"	2	"No Violation"	12	1	"02/22/2017"
"VA0062529"	"FERGUSON SEWAGE TREATMENT PLANT"	-77.928333	38.491666	"VA0062529001"	-77.9308333336735	38.493333333189	0.0025	NA	0.0025	"MGD"	"01/01/2016"	"12/31/2016"	"D90"	1	"Significant Violation"	0	NA	"08/08/2000"
"VA0062529"	"FERGUSON SEWAGE TREATMENT PLANT"	-77.928333	38.491666	"VA0062529001"	-77.9308333336735	38.493333333189	0.0025	NA	0.0025	"MGD"	"01/01/2017"	"12/31/2017"	"D90"	1	"Significant Violation"	0	NA	"08/08/2000"
"VA0062642"	"LURAY WWTP"	-78.458819	38.684558	"VA0062642001"	-78.4611111114404	38.6852777775137	1.6	1.706	1.6	"MGD"	"05/01/2013"	"05/31/2013"	"E90"	2	"No Violation"	0	2	"04/20/2018"
"VA0062642"	"LURAY WWTP"	-78.458819	38.684558	"VA0062642001"	-78.4611111114404	38.6852777775137	1.6	1.617	1.6	"MGD"	"04/01/2014"	"04/30/2014"	"E90"	2	"No Violation"	0	2	"04/20/2018"
"VA0062642"	"LURAY WWTP"	-78.458819	38.684558	"VA0062642001"	-78.4611111114404	38.6852777775137	1.6	1.904	1.6	"MGD"	"12/01/2013"	"12/31/2013"	"E90"	2	"No Violation"	0	2	"04/20/2018"
"VA0062642"	"LURAY WWTP"	-78.458819	38.684558	"VA0062642001"	-78.4611111114404	38.6852777775137	1.6	1.993	1.6	"MGD"	"02/01/2014"	"02/28/2014"	"E90"	2	"No Violation"	0	2	"04/20/2018"
"VA0062642"	"LURAY WWTP"	-78.458819	38.684558	"VA0062642001"	-78.4611111114404	38.6852777775137	1.6	1.804	1.6	"MGD"	"01/01/2014"	"01/31/2014"	"E90"	2	"No Violation"	0	2	"04/20/2018"
"VA0062642"	"LURAY WWTP"	-78.458819	38.684558	"VA0062642001"	-78.4611111114404	38.6852777775137	1.6	1.73	1.6	"MGD"	"05/01/2014"	"05/31/2014"	"E90"	2	"No Violation"	0	2	"04/20/2018"
"VA0062642"	"LURAY WWTP"	-78.458819	38.684558	"VA0062642001"	-78.4611111114404	38.6852777775137	1.6	1.751	1.6	"MGD"	"03/01/2013"	"03/31/2013"	"E90"	2	"No Violation"	0	2	"04/20/2018"
"VA0062642"	"LURAY WWTP"	-78.458819	38.684558	"VA0062642001"	-78.4611111114404	38.6852777775137	1.6	1.781	1.6	"MGD"	"03/01/2014"	"03/31/2014"	"E90"	2	"No Violation"	0	2	"04/20/2018"
"VA0063037"	"HUGUENOT ACADEMY INCORPORATED"	-77.88428	37.55735	"VA0063037001"	-77.8863888885476	37.5588888887074	0.004	0.5601	0.004	"MGD"	"02/01/2016"	"02/29/2016"	"E90"	2	"No Violation"	6	2	"09/22/2015"
"VA0063037"	"HUGUENOT ACADEMY INCORPORATED"	-77.88428	37.55735	"VA0063037001"	-77.8863888885476	37.5588888887074	0.004	0.065	0.004	"MGD"	"04/01/2016"	"04/30/2016"	"E90"	2	"No Violation"	6	2	"09/22/2015"
"VA0063037"	"HUGUENOT ACADEMY INCORPORATED"	-77.88428	37.55735	"VA0063037001"	-77.8863888885476	37.5588888887074	0.004	NA	0.004	"MGD"	"10/01/2015"	"10/31/2015"	"D80"	1	"No Violation"	6	2	"09/22/2015"
"VA0063606"	"SHORE HEALTHCARE GROUP LLC"	-75.62423	37.75883	"VA0063606001"	-75.616583333389	37.7602499996922	0.02	0.014	0.02	"MGD"	"09/01/2016"	"09/30/2016"	"D90"	1	"No Violation"	3	1	"12/07/2017"
"VA0064599"	"CRAIG NEW CASTLE PSA WWT PLANT"	-80.10068	37.50976	"VA0064599001"	-80.0969722225748	37.508611111245	0.175	0.283	0.175	"MGD"	"02/01/2018"	"02/28/2018"	"E90"	2	"Noncompliance"	0	1	"02/16/2018"
"VA0064599"	"CRAIG NEW CASTLE PSA WWT PLANT"	-80.10068	37.50976	"VA0064599001"	-80.0969722225748	37.508611111245	0.175	0.224	0.175	"MGD"	"04/01/2017"	"04/30/2017"	"E90"	2	"Noncompliance"	0	1	"02/16/2018"
