"bundle"	"admincode"	"description"	"name"	"ftype"	"fstatus"	"startdate"	"enddate"	"permit_id"	"dh_link_admin_reg_issuer"
"permit"	"VA0027979"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"ALLEGHANY COUNTY - LOW MOOR WWTP"	"npdes_ip"	"active"	2013-10-28	2018-10-27	"VA0027979"	"epa"
"permit"	"VAG110188"	"General Permit Covered Facility"	"ALLIED CONCRETE"	"npdes_gp"	"expired"	2008-10-08	2013-09-30	"VAG110188"	"epa"
"permit"	"VAG110065"	"General Permit Covered Facility"	"ALLIED CONCRETE CO."	"npdes_gp"	"expired"	2008-10-01	2013-09-30	"VAG110065"	"epa"
"permit"	"VAG110064"	"General Permit Covered Facility"	"ALLIED CONCRETE COMPANY - CHARLOTTESVILLE"	"npdes_gp"	"active"	2013-10-01	2018-09-30	"VAG110064"	"epa"
"permit"	"VAG114034"	"General Permit Covered Facility"	"ALLIED CONCRETE PROD."	"npdes_gp"	"expired"	2001-07-03	2006-07-31	"VAG114034"	"epa"
"permit"	"VA0001961"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"ALMA PLANT"	"npdes_ip"	"active"	2015-04-01	2020-01-31	"VA0001961"	"epa"
"permit"	"VAN010008"	"General Permit Covered Facility"	"ALMA PLANT"	"npdes_gp"	"active"	2017-01-01	2021-12-31	"VAN010008"	"epa"
"permit"	"VA0020451"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"ALTAVISTA TOWN - WASTEWATER TREATMENT PLANT"	"npdes_ip"	"active"	2016-06-09	2021-06-08	"VA0020451"	"epa"
"permit"	"VAN040105"	"General Permit Covered Facility"	"AMELIA CH SAN DIST - AGGREGATE NUTRIENT DISCHARGE"	"npdes_gp"	"active"	2017-01-01	2021-12-31	"VAN040105"	"epa"
"permit"	"VA0086681"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"AMELIA COURTHOUSE SANITARY DISTRICT STP - NIBBS CR"	"npdes_ip"	"active"	2017-09-01	2022-08-31	"VA0086681"	"epa"
"permit"	"VA0091707"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"AMELIA COURTHOUSE SANITARY DISTRICT STP-SMACKS CR"	"npdes_ip"	"active"	2014-04-17	2019-03-31	"VA0091707"	"epa"
"permit"	"VAR140069"	"General Permit Covered Facility"	"AMELIA LUMBER CO., INC"	"npdes_gp"	"expired"	2009-07-01	2014-06-30	"VAR140069"	"epa"
"permit"	"VA0091979"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"AMELIA LUMBER COMPANY INCORPORATED"	"npdes_ip"	"active"	2016-11-01	2021-10-31	"VA0091979"	"epa"
"permit"	"VA0001015"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"AMERICAN ELECTRIC POWER - CLINCH RIVER PLANT"	"npdes_ip"	"active"	2016-07-01	2021-06-30	"VA0001015"	"epa"
"permit"	"VA0087106"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"AMERICAN ELECTRIC POWER - LEESVILLE HYDRO PLANT"	"npdes_ip"	"active"	2014-05-28	2019-05-27	"VA0087106"	"epa"
"permit"	"VA0087092"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"AMERICAN ELECTRIC POWER - NIAGARA HYDRO PLANT"	"npdes_ip"	"active"	2013-09-01	2018-08-31	"VA0087092"	"epa"
"permit"	"VA0088765"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"AMERICAN ELECTRIC POWER-SMITH MOUNTAIN HYDRO PLANT"	"npdes_ip"	"active"	2016-06-13	2020-06-30	"VA0088765"	"epa"
"permit"	"VAR130015"	"General Permit Covered Facility"	"AMERICAN WOODMARK"	"npdes_gp"	"expired"	2009-07-01	2014-06-30	"VAR130015"	"epa"
"permit"	"VA0063657"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"AMHERST CO SERVICE AUTH-IVANHOE FOREST SUB"	"npdes_ip"	"active"	2018-05-01	2023-04-30	"VA0063657"	"epa"
"permit"	"VA0082546"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"AMHERST CO SERVICE AUTHORITY WESTBRIAR SUBDIVISION"	"npdes_ip"	"active"	2015-02-01	2020-01-31	"VA0082546"	"epa"
"permit"	"VA0088684"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"AMHERST COUNTY LANDFILL PERMIT NUMBER 181"	"npdes_ip"	"active"	2015-01-06	2020-01-05	"VA0088684"	"epa"
"permit"	"VA0089303"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"AMPRO SHIPYARD"	"npdes_ip"	"revoked"	2008-09-30	2013-09-29	"VA0089303"	"epa"
"permit"	"VAR050577"	"General Permit Covered Facility"	"ANDERSON LUMBER, INC"	"npdes_gp"	"expired"	2009-07-01	2014-06-30	"VAR050577"	"epa"
"permit"	"VA0083054"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"ANDROS FOODS NORTH AMERICA"	"npdes_ip"	"active"	2015-04-01	2020-03-31	"VA0083054"	"epa"
"permit"	"VA0092070"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"ANDY GUEST SHENANDOAH RIVER STATE PARK STP"	"npdes_ip"	"active"	2017-04-01	2022-03-31	"VA0092070"	"epa"
"permit"	"VAR150067"	"General Permit Covered Facility"	"APAC"	"npdes_gp"	"expired"	2009-07-01	2014-06-30	"VAR150067"	"epa"
"permit"	"VAR050901"	"General Permit Covered Facility"	"APAC MANASSAS"	"npdes_gp"	"expired"	2009-07-01	2014-06-30	"VAR050901"	"epa"
"permit"	"VA0000370"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"APCO - GLEN LYN"	"npdes_ip"	"active"	2009-07-11	2014-07-10	"VA0000370"	"epa"
"permit"	"VA0060798"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"APPALACHIA ELEMENTARY SCHOOL STP"	"npdes_ip"	"active"	2016-04-01	2021-03-31	"VA0060798"	"epa"
"permit"	"VA0052337"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"APPALACHIA WTP"	"npdes_ip"	"revoked"	2006-08-24	2011-08-23	"VA0052337"	"epa"
"permit"	"VAN010050"	"General Permit Covered Facility"	"APPAREL AND ADVANCED TEXTILES LLC - WAYNESBORO"	"npdes_gp"	"active"	2017-01-01	2021-12-31	"VAN010050"	"epa"
"permit"	"VA0002160"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"APPAREL AND ADVANCED TEXTILES LLC - WAYNESBORO"	"npdes_ip"	"active"	2017-12-01	2022-11-30	"VA0002160"	"epa"
"permit"	"VA0001678"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"APPAREL FABRICS PROPERTIES INC - HURT PLANT"	"npdes_ip"	"revoked"	2005-04-05	2010-04-04	"VA0001678"	"epa"
"permit"	"VA0089958"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"APPLE MOUNTAIN EXXON STP"	"npdes_ip"	"active"	2018-10-01	2023-09-30	"VA0089958"	"epa"
"permit"	"VA0089486"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"APPOMATTOX COUNTY LANDFILL 86"	"npdes_ip"	"active"	2017-09-01	2022-08-31	"VA0089486"	"epa"
"permit"	"VA0005819"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"APPOMATTOX RIVER WATER AUTHORITY"	"npdes_ip"	"active"	2018-05-01	2023-04-30	"VA0005819"	"epa"
"permit"	"VA0020249"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"APPOMATTOX TRICKLING FILTER PLANT"	"npdes_ip"	"active"	2009-11-19	2014-11-18	"VA0020249"	"epa"
"permit"	"VA0020257"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"APPOMATTOX WATER RECLAMATION FACILITY"	"npdes_ip"	"active"	2015-12-15	2020-12-14	"VA0020257"	"epa"
"permit"	"VA0060968"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"AQUIA WASTEWATER TREATMENT PLANT"	"npdes_ip"	"active"	2013-11-20	2018-11-19	"VA0060968"	"epa"
"permit"	"VAN010023"	"General Permit Covered Facility"	"AQUIA WASTEWATER TREATMENT PLANT"	"npdes_gp"	"active"	2017-01-01	2021-12-31	"VAN010023"	"epa"
"permit"	"VAR050690"	"General Permit Covered Facility"	"ARBOR TECH FOREST PRODUCTS"	"npdes_gp"	"expired"	2009-07-01	2014-06-30	"VAR050690"	"epa"
"permit"	"VA0021733"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"ARCOLA MONTESSORI SCHOOL AND D"	"npdes_ip"	"revoked"	2007-12-29	2012-12-28	"VA0021733"	"epa"
"permit"	"VA0088579"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"ARLINGTON COUNTY MS4"	"npdes_ip"	"expired"	2013-06-26	2018-06-25	"VA0088579"	"epa"
"permit"	"VA0025143"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"ARLINGTON COUNTY WATER POLLUTION CONTROL FACILITY"	"npdes_ip"	"active"	2014-01-09	2019-01-08	"VA0025143"	"epa"
"permit"	"VAN010021"	"General Permit Covered Facility"	"ARLINGTON COUNTY WATER POLLUTION CONTROL FACILITY"	"npdes_gp"	"active"	2017-01-01	2021-12-31	"VAN010021"	"epa"
"permit"	"VAR101072"	"General Permit Covered Facility"	"ASHBROOK VILLAGE"	"npdes_gp"	"expired"	2009-07-01	2014-06-30	"VAR101072"	"epa"
"permit"	"VA0088692"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"ASHBY SUBDIVISION WATER SUPPLY"	"npdes_ip"	"revoked"	2009-11-01	2014-10-31	"VA0088692"	"epa"
"permit"	"VA0092631"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"ASHBY WATER TREATMENT PLANT"	"npdes_ip"	"revoked"	2011-11-01	2016-10-31	"VA0092631"	"epa"
"permit"	"VA0024899"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"ASHLAND WWTP"	"npdes_ip"	"active"	2013-10-01	2018-09-30	"VA0024899"	"epa"
"permit"	"VA0004189"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"ATLANTIC METROCAST INC"	"npdes_ip"	"revoked"	2011-03-22	2016-03-21	"VA0004189"	"epa"
"permit"	"VA0059056"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"ATLANTIC POLE-VIRGINIA LLC"	"npdes_ip"	"active"	2015-12-01	2020-11-30	"VA0059056"	"epa"
"permit"	"VA0087700"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"ATLANTIC RESEARCH CORPORATION"	"npdes_ip"	"revoked"	2009-06-22	2014-06-21	"VA0087700"	"epa"
"permit"	"VA0092797"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"ATLANTIC WASTE DISPOSAL INC"	"npdes_ip"	"active"	2015-01-01	2019-11-30	"VA0092797"	"epa"
"permit"	"VAN010092"	"General Permit Covered Facility"	"AUGUSTA CNTY SVC AUTH AGGREGATE NUTRIENT DISCHARGE"	"npdes_gp"	"active"	2017-01-01	2021-12-31	"VAN010092"	"epa"
"permit"	"VAR160060"	"General Permit Covered Facility"	"AUGUSTA LUMBER CO"	"npdes_gp"	"expired"	2009-07-01	2014-06-30	"VAR160060"	"epa"
"permit"	"VA0090433"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"AUGUSTA LUMBER DIVISION - WEST POINT"	"npdes_ip"	"active"	2016-12-01	2021-11-30	"VA0090433"	"epa"
"permit"	"VA0090395"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"AUGUSTA SPRINGS WTP"	"npdes_ip"	"revoked"	2010-04-01	2015-03-31	"VA0090395"	"epa"
"permit"	"VA0058424"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"AUSTINVILLE LIMESTONE COMPANY INCORPORATED"	"npdes_ip"	"active"	2017-07-01	2022-06-30	"VA0058424"	"epa"
"permit"	"VA0091855"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"AUSTINVILLE WATER TREATMENT PL"	"npdes_ip"	"revoked"	2007-01-09	2012-01-08	"VA0091855"	"epa"
"permit"	"VA0004383"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"BAE SYSTEMS NORFOLK SHIP REPAIR INC"	"npdes_ip"	"active"	2015-07-01	2020-06-30	"VA0004383"	"epa"
"permit"	"VA0003387"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"BASF CORPORATION - PORTSMOUTH"	"npdes_ip"	"revoked"	2010-09-08	2015-09-07	"VA0003387"	"epa"
"permit"	"VA0058254"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"BASF CORPORATION - SUFFOLK"	"npdes_ip"	"active"	2018-10-01	2023-09-30	"VA0058254"	"epa"
"permit"	"VA0003654"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"BASF CORPORATION - WILLIAMSBURG"	"npdes_ip"	"active"	2018-04-01	2023-03-31	"VA0003654"	"epa"
"permit"	"VAN010016"	"General Permit Covered Facility"	"BASHAM SIMMS WASTEWATER FACILITY"	"npdes_gp"	"active"	2017-01-01	2021-12-31	"VAN010016"	"epa"
"permit"	"VA0022802"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"BASHAM SIMMS WASTEWATER FACILITY"	"npdes_ip"	"active"	2015-05-13	2020-05-12	"VA0022802"	"epa"
"permit"	"VA0086665"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"BASSETT MIRROR COMPANY INC -  PHILPOTT PLANT"	"npdes_ip"	"active"	2018-01-01	2022-12-31	"VA0086665"	"epa"
"permit"	"VA0089583"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"BASTIAN WWTP"	"npdes_ip"	"active"	2016-08-01	2021-07-31	"VA0089583"	"epa"
"permit"	"VA0087173"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"BAY MARINE LTD SEWAGE TREATMENT PLANT"	"npdes_ip"	"expired"	2012-06-19	2017-05-31	"VA0087173"	"epa"
"permit"	"VA0090573"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"BEACON HILL WATER TREATMENT PLANT"	"npdes_ip"	"revoked"	2011-02-28	2016-02-27	"VA0090573"	"epa"
"permit"	"VA0077763"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"BEAR ISLAND PAPER COMPANY"	"npdes_ip"	"expired"	2013-04-01	2018-03-31	"VA0077763"	"epa"
"permit"	"VAN030133"	"General Permit Covered Facility"	"BEAR ISLAND PAPER COMPANY"	"npdes_gp"	"active"	2017-01-01	2021-12-31	"VAN030133"	"epa"
"permit"	"VA0020656"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"BEAUMONT JUVENILE CORRECTION CENTER"	"npdes_ip"	"active"	2018-10-01	2023-09-30	"VA0020656"	"epa"
"permit"	"VAR106141"	"General Permit Covered Facility"	"BEAZER HOMES USA-COLONIAL FORGE SECTION 2"	"npdes_gp"	"active"	2014-07-01	2019-06-30	"VAR106141"	"epa"
"permit"	"VAR10C662"	"General Permit Covered Facility"	"BEAZER HOMES USA-GROVES AT WILLOWSFORD"	"npdes_gp"	"active"	2014-07-01	2019-06-30	"VAR10C662"	"epa"
"permit"	"VAR10C640"	"General Permit Covered Facility"	"BEAZER HOMES USA-SPRINGS AT LENAH"	"npdes_gp"	"active"	2014-07-01	2019-06-30	"VAR10C640"	"epa"
"permit"	"VAR10D417"	"General Permit Covered Facility"	"BEAZER HOMES USA-SUMMERFIELD II"	"npdes_gp"	"active"	2014-07-01	2019-06-30	"VAR10D417"	"epa"
"permit"	"VA0020818"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"BEDFORD COUNTY SCHOOLS - BODY"	"npdes_ip"	"revoked"	2013-07-07	2018-07-06	"VA0020818"	"epa"
"permit"	"VA0020826"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"BEDFORD COUNTY SCHOOLS - NEW L"	"npdes_ip"	"revoked"	2008-07-07	2013-07-06	"VA0020826"	"epa"
"permit"	"VA0020851"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"BEDFORD COUNTY SCHOOLS - OTTER RIVER ELEM SCHOOL"	"npdes_ip"	"active"	2018-08-01	2023-06-30	"VA0020851"	"epa"
"permit"	"VA0063738"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"BEDFORD COUNTY SCHOOLS - STAUNTON RIVER HS"	"npdes_ip"	"active"	2015-08-08	2020-08-07	"VA0063738"	"epa"
"permit"	"VA0020842"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"BEDFORD COUNTY SCHOOLS - STEWARTSVILLE ELEMENTARY"	"npdes_ip"	"active"	2018-08-01	2023-06-30	"VA0020842"	"epa"
"permit"	"VA0020869"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"BEDFORD COUNTY SCHOOLS - THAXT"	"npdes_ip"	"revoked"	2013-07-07	2018-07-06	"VA0020869"	"epa"
"permit"	"VA0022390"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"BEDFORD WASTEWATER TREATMENT PLANT"	"npdes_ip"	"expired"	2013-07-01	2018-06-30	"VA0022390"	"epa"
"permit"	"WV0021687"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"BEECH FORK MINE"	"npdes_ip"	"active"	2018-06-29	2023-06-25	"WV0021687"	"epa"
"permit"	"VA0064009"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"BEELINE MOBILE HOME PARK LLC"	"npdes_ip"	"active"	2018-08-01	2023-07-31	"VA0064009"	"epa"
"permit"	"VA0029084"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"BELLAMY MANUFACTURING AND REPAIR COMPANY STP"	"npdes_ip"	"active"	2018-09-01	2023-08-31	"VA0029084"	"epa"
"permit"	"VAR100767"	"General Permit Covered Facility"	"BELMONT COUNTRY CLUB"	"npdes_gp"	"expired"	2004-07-01	2009-06-30	"VAR100767"	"epa"
"permit"	"VAR10C817"	"General Permit Covered Facility"	"BELVEDERE SECTION II"	"npdes_gp"	"active"	2014-07-01	2019-06-30	"VAR10C817"	"epa"
"permit"	"VAR100895"	"General Permit Covered Facility"	"BELVEDERE TOWN CENTER"	"npdes_gp"	"active"	2014-07-01	2019-06-30	"VAR100895"	"epa"
"permit"	"VA0061042"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"BENNIES MOBILE HOME PARK SEWAGE TREATMENT PLANT"	"npdes_ip"	"active"	2015-08-18	2020-08-17	"VA0061042"	"epa"
"permit"	"VA0061301"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"BERKELEY ELEMENTARY SCHOOL"	"npdes_ip"	"active"	2017-11-01	2022-10-31	"VA0061301"	"epa"
"permit"	"VA0058599"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"BERRYVILLE WTP"	"npdes_ip"	"revoked"	2008-07-23	2013-06-30	"VA0058599"	"epa"
"permit"	"VAN010040"	"General Permit Covered Facility"	"BERRYVILLE WWTP"	"npdes_gp"	"active"	2017-01-01	2021-12-31	"VAN010040"	"epa"
"permit"	"VA0020532"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"BERRYVILLE WWTP"	"npdes_ip"	"active"	2015-01-01	2019-12-31	"VA0020532"	"epa"
"permit"	"VAR050974"	"General Permit Covered Facility"	"BFI INDUSTRIES"	"npdes_gp"	"expired"	2009-07-01	2014-06-30	"VAR050974"	"epa"
"permit"	"VA0091499"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"BFI OLD DOMINION LANDFILL"	"npdes_ip"	"revoked"	2011-05-25	2016-05-24	"VA0091499"	"epa"
"permit"	"WV0090972"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"BIG FOUR SURFACE MINE NO. 2"	"npdes_ip"	"active"	2014-09-09	2018-09-27	"WV0090972"	"epa"
"permit"	"VA0092347"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"BIG MEADOWS LEWIS SPRING CALCI"	"npdes_ip"	"revoked"	2009-02-01	2014-01-31	"VA0092347"	"epa"
"permit"	"VA0024406"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"BIG MEADOWS STP"	"npdes_ip"	"active"	2015-12-01	2020-11-30	"VA0024406"	"epa"
"permit"	"VA0020940"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"BIG STONE GAP REGIONAL WWTP"	"npdes_ip"	"active"	2018-10-01	2023-09-30	"VA0020940"	"epa"
"permit"	"VA0092894"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"BIG WALKER MOUNTAIN TUNNEL"	"npdes_ip"	"active"	2016-05-01	2021-04-30	"VA0092894"	"epa"
"permit"	"VA0087645"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"BIRCHWOOD POWER FACILITY"	"npdes_ip"	"active"	2016-10-01	2021-09-30	"VA0087645"	"epa"
"permit"	"VA0055832"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"BKEP MATERIALS LLC - NEWPORT N"	"npdes_ip"	"revoked"	2009-06-23	2014-06-22	"VA0055832"	"epa"
"permit"	"VA0088986"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"BLACK ROCK MHC WWTP"	"npdes_ip"	"active"	2015-10-01	2020-08-31	"VA0088986"	"epa"
"permit"	"VA0088978"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"BLACK SWAMP REGIONAL WWTP"	"npdes_ip"	"active"	2017-10-01	2022-09-30	"VA0088978"	"epa"
"permit"	"VA0027481"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"BLACKSBURG COUNTRY CLUB WWTP"	"npdes_ip"	"active"	2018-09-12	2023-08-31	"VA0027481"	"epa"
"permit"	"VA0060844"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"BLACKSBURG VPI SANITATION AUTH - LOWER STROUBLES"	"npdes_ip"	"active"	2014-06-07	2019-06-06	"VA0060844"	"epa"
"permit"	"VA0005827"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"BLACKSTONE WTP"	"npdes_ip"	"revoked"	2009-05-05	2014-05-04	"VA0005827"	"epa"
"permit"	"VA0025194"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"BLACKSTONE WWTP"	"npdes_ip"	"active"	2013-12-05	2018-12-04	"VA0025194"	"epa"
"permit"	"VA0067661"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"BLAND COUNTY SCHOOL BOARD - BLAND SCHOOLS K - 12"	"npdes_ip"	"revoked"	2013-12-20	2018-12-19	"VA0067661"	"epa"
"permit"	"VA0052302"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"BLAND COUNTY WATER AUTHORITY -"	"npdes_ip"	"revoked"	2006-07-01	2011-06-30	"VA0052302"	"epa"
"permit"	"VA0092665"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"BLAND WWTP"	"npdes_ip"	"revoked"	2012-02-01	2017-01-31	"VA0092665"	"epa"
"permit"	"NCG210111"	"General Permit Covered Facility"	"BLUE RIDGE FIBERBOARD, INC."	"npdes_gp"	"active"	2018-08-01	2023-07-31	"NCG210111"	"epa"
"permit"	"VA0088943"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"BLUE RIDGE MHC WWTP"	"npdes_ip"	"active"	2015-06-01	2020-05-31	"VA0088943"	"epa"
"permit"	"VA0029556"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"BLUE RIDGE SCHOOL STP"	"npdes_ip"	"active"	2015-11-01	2020-10-31	"VA0029556"	"epa"
"permit"	"VA0089052"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"BLUE RIDGE WOOD PRESERVING INC"	"npdes_ip"	"active"	2015-08-31	2020-08-30	"VA0089052"	"epa"
"permit"	"VA0025054"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"BLUEFIELD WESTSIDE WWTP"	"npdes_ip"	"active"	2014-03-24	2019-03-23	"VA0025054"	"epa"
