"bundle"	"name"	"ftype"	"hydrocode"	"fstatus"	"dh_geofield"	"address1"	"city"	"dh_link_admin_location"
"facility"	"NORFOLK SOUTHERN RAILWAY CO - SHAFFERS CROSSING"	"unknown"	"echo_VA0001597"	"active"	"POINT (-79.976829 37.282513)"	"24TH ST & SHENADOAH AVE"	"ROANOKE"	"VA0001597"
"facility"	"APPAREL FABRICS PROPERTIES INC - HURT PLANT"	"manufacturing"	"echo_VA0001678"	"active"	"POINT (-79.30821 37.09389)"	"797 MAIN STREET"	"HURT"	"VA0001678"
"facility"	"PACTIV LLC-GROTTOES PLASTICS PLANT"	"manufacturing"	"echo_VA0001767"	"active"	"POINT (-78.8277 38.25863)"	"149 GRAND CAVERNS DRIVE"	"GROTTOES"	"VA0001767"
"facility"	"JOINT BASIN CORPORATION - FAIRFAX TERMINAL COMPLEX"	"commercial"	"echo_VA0001872"	"active"	"POINT (-77.27795 38.84781)"	"9601 COLONIAL AVE"	"FAIRFAX"	"VA0001872"
"facility"	"KINDER MORGAN SOUTHEAST TERMINALS LLC - NEWINGTON"	"industrial"	"echo_VA0001945"	"active"	"POINT (-77.193611 38.735833)"	"8200 TERMINAL RD"	"NEWINGTON"	"VA0001945"
"facility"	"ALMA PLANT"	"manufacturing"	"echo_VA0001961"	"active"	"POINT (-78.59135 38.587847)"	"3426 HWY 340 BUSINESS WEST"	"STANLEY"	"VA0001961"
"facility"	"KINDER MORGAN SOUTHEAST TERMINALS LLC-NEWINGTON 2"	"industrial"	"echo_VA0001988"	"active"	"POINT (-77.1909 38.73367)"	"8206 TERMINAL RD"	"LORTON"	"VA0001988"
"facility"	"DOMINION - POSSUM POINT POWER STATION"	"fossilpower"	"echo_VA0002071"	"active"	"POINT (-77.2786 38.5391)"	"19000 POSSUM POINT RD"	"DUMFRIES"	"VA0002071"
"facility"	"US MARINE CORPS - MCB QUANTICO - NREAB INDUSTRIAL"	"industrial"	"echo_VA0002151"	"active"	"POINT (-77.298272 38.518351)"	"BLDG 3049 BORDELON STREET"	"QUANTICO"	"VA0002151"
"facility"	"APPAREL AND ADVANCED TEXTILES LLC - WAYNESBORO"	"unknown"	"echo_VA0002160"	"active"	"POINT (-78.883333 38.061111)"	"400 DUPONT BLVD"	"WAYNESBORO"	"VA0002160"
"facility"	"MERCK SHARP & DOHME CORP - ELKTON PLANT"	"manufacturing"	"echo_VA0002178"	"active"	"POINT (-78.65199 38.38433)"	"2778 S EAST SIDE HWY"	"ELKTON"	"VA0002178"
"facility"	"ACCUTEC BLADES INC"	"unknown"	"echo_VA0002194"	"active"	"POINT (-78.990422 38.191062)"	"57 RAZOR BLADE LN"	"VERONA"	"VA0002194"
"facility"	"MOTIVA ENTERPRISES LLC - FAIRFAX"	"unknown"	"echo_VA0002283"	"active"	"POINT (-77.27281 38.84724)"	"3800 PICKETT RD"	"FAIRFAX"	"VA0002283"
"facility"	"VPGC LLC-HINTON"	"unknown"	"echo_VA0002313"	"active"	"POINT (-78.976586 38.4684)"	"6349 RAWLEY PK"	"HINTON"	"VA0002313"
"facility"	"FORMER GENICOM - WAYNESBORO FACILITY"	"industrial"	"echo_VA0002402"	"active"	"POINT (-78.871999 38.089784)"	"ONE SOLUTIONS WAY"	"WAYNESBORO"	"VA0002402"
"facility"	"FCWA - LORTON WATER TREATMENT PLANT"	"manufacturing"	"echo_VA0002585"	"active"	"POINT (-77.256377 38.693388)"	"9800 OX RD"	"LORTON"	"VA0002585"
"facility"	"FOOD PROCESSORS WATER COOPERAT"	"unknown"	"echo_VA0002623"	"inactive"	"POINT (-78.77823 38.62925)"	"13923 TIMBER WAY"	"TIMBERVILLE"	"VA0002623"
"facility"	"PERCY MILLER WATER TREATMENT P"	"unknown"	"echo_VA0002631"	"inactive"	"POINT (-78.29659 38.9931)"	"32 PENCE LAND RD"	"MIDDLETOWN"	"VA0002631"
"facility"	"GOOSE CREEK WATER TREATMENT PL"	"unknown"	"echo_VA0002666"	"inactive"	"POINT (-77.520269 39.047888)"	"20521 BELMONT RIDGE RD"	"ASHBURN"	"VA0002666"
"facility"	"HARRISONBURG WTP"	"unknown"	"echo_VA0002674"	"active"	"POINT (-78.9113 38.45868)"	"308 GRANDVIEW DRIVE"	"HARRISONBURG"	"VA0002674"
"facility"	"MODINE MANUFACTURING CO - BUENA VISTA"	"manufacturing"	"echo_VA0002771"	"active"	"POINT (-79.360539 37.725026)"	"1221 MAGNOLIA AVE"	"BUENA VISTA"	"VA0002771"
"facility"	"THE SUSTAINABILITY PARK LLC"	"unknown"	"echo_VA0002780"	"active"	"POINT (-77.31651 37.35376)"	"13101 N ENON CHURCH RD"	"CHESTER"	"VA0002780"
"facility"	"GRIFFIN PIPE PRODUCTS CO LLC - LYNCHBURG"	"industrial"	"echo_VA0002925"	"inactive"	"POINT (-79.140968 37.420815)"	"10 ADAMS ST"	"LYNCHBURG"	"VA0002925"
"facility"	"PLAINS MARKETING LP YORKTOWN"	"unknown"	"echo_VA0003018"	"active"	"POINT (-76.45366 37.21022)"	"2201 GOODWIN NECK RD"	"YORKTOWN"	"VA0003018"
"facility"	"GP BIG ISLAND LLC"	"unknown"	"echo_VA0003026"	"active"	"POINT (-79.355595 37.532832)"	"9363 LEE JACKSON HWY"	"BIG ISLAND"	"VA0003026"
"facility"	"DUPONT TEIJIN FILMS - HOPEWELL SITE"	"unknown"	"echo_VA0003077"	"active"	"POINT (-77.291096 37.350627)"	"3600 DISCOVERY DR"	"CHESTER"	"VA0003077"
"facility"	"WESTROCK CP LLC - WEST POINT"	"unknown"	"echo_VA0003115"	"active"	"POINT (-76.8053 37.5392)"	"1901 MAIN ST"	"WEST POINT"	"VA0003115"
"facility"	"GREENSVILLE WASTE & RECYCLING FACILITY"	"industrial"	"echo_VA0003255"	"inactive"	"POINT (-77.481702 36.818025)"	"116 S ALLEN RD"	"JARRATT"	"VA0003255"
"facility"	"J H MILES AND COMPANY INCORPORATED"	"unknown"	"echo_VA0003263"	"inactive"	"POINT (-76.306046 36.858373)"	"902 SOUTHAMPTON AVE"	"NORFOLK"	"VA0003263"
"facility"	"CSX TRANSPORTATION INC - CLIFTON FORGE"	"unknown"	"echo_VA0003344"	"active"	"POINT (-79.83877 37.81103)"	"501 W RIDGEWAY ST"	"CLIFTON FORGE"	"VA0003344"
"facility"	"BASF CORPORATION - PORTSMOUTH"	"unknown"	"echo_VA0003387"	"inactive"	"POINT (-76.347997 36.86673)"	"3340 W NORFOLK RD"	"PORTSMOUTH"	"VA0003387"
"facility"	"NORFOLK SOUTHERN RAILWAY COMPANY - LAMBERTS POINT"	"unknown"	"echo_VA0003409"	"inactive"	"POINT (-76.30788 36.8743)"	"2200 REDGATE AVE"	"NORFOLK"	"VA0003409"
"facility"	"SOLENIS LLC"	"unknown"	"echo_VA0003433"	"active"	"POINT (-76.999045 36.6512)"	"27123 SHADY BROOK TRAIL"	"COURTLAND"	"VA0003433"
"facility"	"RAIL OVER RIVER INDUSTRIAL PARK LLC"	"industrial"	"echo_VA0003450"	"inactive"	"POINT (-79.998472 37.757472)"	"901 W EDGEMONT DR"	"COVINGTON"	"VA0003450"
"facility"	"ASHLAND SPECIALTY INGREDIENTS GP"	"unknown"	"echo_VA0003492"	"active"	"POINT (-77.282185 37.290756)"	"1111 HERCULES RD"	"HOPEWELL"	"VA0003492"
"facility"	"WESTROCK VIRGINIA CORPORATION - COVINGTON"	"unknown"	"echo_VA0003646"	"active"	"POINT (-79.992817 37.796355)"	"104 E RIVERSIDE ST"	"COVINGTON"	"VA0003646"
"facility"	"BASF CORPORATION - WILLIAMSBURG"	"unknown"	"echo_VA0003654"	"inactive"	"POINT (-76.617362 37.191687)"	"8961 POCAHONTAS TRAIL"	"WILLIAMSBURG"	"VA0003654"
"facility"	"BWXT NUCLEAR OPERATIONS GROUP INC"	"unknown"	"echo_VA0003697"	"active"	"POINT (-79.062335 37.414554)"	"1570 MT ATHOS RD - RT 726"	"LYNCHBURG"	"VA0003697"
"facility"	"PERDUE FOODS LLC - ACCOMACK"	"unknown"	"echo_VA0003808"	"active"	"POINT (-75.656111 37.736111)"	"22520 LANKFORD HWY"	"ACCOMAC"	"VA0003808"
"facility"	"OMEGA PROTEIN - REEDVILLE"	"unknown"	"echo_VA0003867"	"active"	"POINT (-76.277158 37.829281)"	"610 MENHADEN RD"	"REEDVILLE"	"VA0003867"
"facility"	"TYSON FARMS INCORPORATED - GLEN ALLEN"	"unknown"	"echo_VA0004031"	"active"	"POINT (-77.5525 37.697222)"	"13264 MOUNTAIN RD"	"GLEN ALLEN"	"VA0004031"
"facility"	"TYSON FARMS INC - TEMPERANCEVILLE"	"unknown"	"echo_VA0004049"	"inactive"	"POINT (-75.555278 37.885)"	"11224 LANKFORD HWY"	"TEMPERANCEVILLE"	"VA0004049"
"facility"	"DOMINION - CHESAPEAKE ENERGY CENTER"	"unknown"	"echo_VA0004081"	"inactive"	"POINT (-76.3009 36.7711)"	"2701 VEPCO ST"	"CHESAPEAKE"	"VA0004081"
"facility"	"DOMINION ENERGY- SURRY AND GRAVEL NECK STATIONS"	"unknown"	"echo_VA0004090"	"active"	"POINT (-76.6911 37.1575)"	"5570 HOG ISLAND RD"	"SURRY"	"VA0004090"
"facility"	"DOMINION - YORKTOWN POWER STATION"	"fossilpower"	"echo_VA0004103"	"active"	"POINT (-76.46213 37.21534)"	"1600 WATERVIEW RD"	"YORKTOWN"	"VA0004103"
"facility"	"DOMINION - BREMO POWER STATION"	"fossilpower"	"echo_VA0004138"	"active"	"POINT (-78.28784 37.71175)"	"1038 BREMO ROAD"	"BREMO BLUFF"	"VA0004138"
"facility"	"DOMINION ENERGY - CHESTERFIELD POWER STATION"	"fossilpower"	"echo_VA0004146"	"active"	"POINT (-77.3779 37.3821)"	"500 COXENDALE RD"	"CHESTER"	"VA0004146"
"facility"	"INTERNATIONAL PAPER - FRANKLIN MILL"	"industrial"	"echo_VA0004162"	"active"	"POINT (-76.912272 36.678218)"	"34040 UNION CAMP DR"	"FRANKLIN"	"VA0004162"
"facility"	"ATLANTIC METROCAST INC"	"unknown"	"echo_VA0004189"	"inactive"	"POINT (-76.295773 36.806453)"	"3904 BURTONS POINT RD"	"PORTSMOUTH"	"VA0004189"
"facility"	"BAE SYSTEMS NORFOLK SHIP REPAIR INC"	"unknown"	"echo_VA0004383"	"inactive"	"POINT (-76.285764 36.827032)"	"750 W BERKLEY AVE"	"NORFOLK"	"VA0004383"
"facility"	"COLONNA MARINE LLC - COLONNA YACHTS"	"unknown"	"echo_VA0004391"	"inactive"	"POINT (-76.26041 36.84315)"	"2401 KIMBALL TERRACE"	"NORFOLK"	"VA0004391"
"facility"	"US NAVY - NAVAL STATION NORFOLK"	"commercial"	"echo_VA0004421"	"inactive"	"POINT (-76.300278 36.940278)"	"9900 HAMPTON BLVD"	"NORFOLK"	"VA0004421"
"facility"	"PERDUE AGRIBUSINESS LLC - CHESAPEAKE"	"unknown"	"echo_VA0004448"	"inactive"	"POINT (-76.28249 36.80538)"	"501 BARNES RD"	"CHESAPEAKE"	"VA0004448"
"facility"	"WESTROCK CP LLC - HOPEWELL"	"unknown"	"echo_VA0004642"	"active"	"POINT (-77.264354 37.302012)"	"910 INDUSTRIAL ST"	"HOPEWELL"	"VA0004642"
"facility"	"E I DU PONT DE NEMOURS AND COMPANY - SPRUANCE PLT"	"industrial"	"echo_VA0004669"	"active"	"POINT (-77.43415 37.45093)"	"5401 JEFFERSON DAVIS HWY"	"RICHMOND"	"VA0004669"
"facility"	"MOHAWK INDUSTRIES INC"	"industrial"	"echo_VA0004677"	"active"	"POINT (-79.446543 37.636098)"	"404 ANDERSON ST"	"GLASGOW"	"VA0004677"
"facility"	"FRAMATOME INC - MAR"	"unknown"	"echo_VA0004774"	"active"	"POINT (-79.05001 37.41053)"	"1724 MT ATHOS RD"	"LYNCHBURG"	"VA0004774"
"facility"	"BONTEX INC"	"unknown"	"echo_VA0004791"	"active"	"POINT (-79.35858 37.74116)"	"ONE BONTEX DRIVE"	"BUENA VISTA"	"VA0004791"
"facility"	"HUNTINGTON INGALLS INCORPORATED - NN SHIPBLDG DIV"	"unknown"	"echo_VA0004804"	"active"	"POINT (-76.432803 36.990641)"	"4101 WASHINGTON AVE"	"NEWPORT NEWS"	"VA0004804"
"facility"	"VEOLIA JAMES RIVER PLANT"	"manufacturing"	"echo_VA0004880"	"active"	"POINT (-77.408889 37.416944)"	"1201 BELLWOOD RD"	"NORTH CHESTERFIELD"	"VA0004880"
"facility"	"US NAVY - NORFOLK NAVAL SHIPYARD"	"commercial"	"echo_VA0005215"	"inactive"	"POINT (-76.294722 36.821944)"	"2600 - 2700 EFFINGHAM ST"	"PORTSMOUTH"	"VA0005215"
"facility"	"US NAVY - NAVAL AIR STATION - OCEANA"	"commercial"	"echo_VA0005266"	"inactive"	"POINT (-76.024962 36.811505)"	"1750 TOMCAT BLVD"	"VIRGINIA BEACH"	"VA0005266"
"facility"	"ADVANSIX RESINS & CHEMICALS LLC"	"unknown"	"echo_VA0005291"	"active"	"POINT (-77.275759 37.299074)"	"905 E RANDOLPH RD"	"HOPEWELL"	"VA0005291"
"facility"	"ADVANSIX RESINS AND CHEMICALS LLC - CHESTERFIELD"	"unknown"	"echo_VA0005312"	"active"	"POINT (-77.2884 37.33963)"	"4101 BERMUDA HUNDRED RD"	"CHESTER"	"VA0005312"
"facility"	"US NAVY - CRANEY ISLAND - FUEL"	"unknown"	"echo_VA0005487"	"inactive"	"POINT (-76.353555 36.890426)"	"4501 CEDAR LN"	"PORTSMOUTH"	"VA0005487"
"facility"	"VDOT - HAMPTON ROADS BRIDGE TUNNEL I-64"	"unknown"	"echo_VA0005657"	"active"	"POINT (-76.32322 37.01307)"	"204 NATIONAL AVENUE - I-64"	"HAMPTON"	"VA0005657"
"facility"	"MOTIVA ENTERPRISES LLC - RICHMOND TERMINAL"	"unknown"	"echo_VA0005720"	"active"	"POINT (-77.44038 37.44545)"	"5801 JEFFERSON DAVIS HWY"	"RICHMOND"	"VA0005720"
"facility"	"APPOMATTOX RIVER WATER AUTHORITY"	"unknown"	"echo_VA0005819"	"active"	"POINT (-77.519165 37.225555)"	"21300 CHESDIN RD"	"PETERSBURG"	"VA0005819"
"facility"	"BLACKSTONE WTP"	"unknown"	"echo_VA0005827"	"inactive"	"POINT (-77.948333 37.042778)"	"GARNETT AVENUE BUILDING 3430"	"FORT PICKETT"	"VA0005827"
"facility"	"VDOT - I-564 TUNNEL FACILITY"	"industrial"	"echo_VA0005835"	"active"	"POINT (-76.302222 36.937777)"	"I-564 - NORFOLK AIR STATION"	"NORFOLK"	"VA0005835"
"facility"	"DOWNTOWN ELIZABETH RIVER TUNNEL"	"unknown"	"echo_VA0005851"	"active"	"POINT (-76.291667 36.833333)"	"INTERSTATE 264-ELIZABETH RIVER"	"NORFOLK"	"VA0005851"
"facility"	"MIDTOWN ELIZABETH RIVER TUNNEL"	"unknown"	"echo_VA0005860"	"active"	"POINT (-76.21254 36.87668)"	"ROUTE 58 ELIZABETH RIVER"	"NORFOLK"	"VA0005860"
"facility"	"NEWPORT NEWS CITY - HARWOODS MILL WATER TREATMENT"	"unknown"	"echo_VA0005975"	"inactive"	"POINT (-76.460702 37.134362)"	"3629 GEORGE WASHINGTON MEM HWY"	"YORKTOWN"	"VA0005975"
"facility"	"CLIFTON FORGE WATER TREATMENT PLANT"	"manufacturing"	"echo_VA0006076"	"active"	"POINT (-79.84699 37.84578)"	"2500 SULFUR SPRING RD"	"CLIFTON FORGE"	"VA0006076"
"facility"	"JAMES RIVER CORRECTION CENTER"	"commercial"	"echo_VA0006149"	"inactive"	"POINT (-77.828889 37.634444)"	"STATE ROUTE 645"	"STATE FARM"	"VA0006149"
"facility"	"CHESAPEAKE BAY BRIDGE AND TUNNEL DISTRICT"	"unknown"	"echo_VA0006203"	"active"	"POINT (-76.063056 37.045833)"	"US RTE 13"	"CAPE CHARLES"	"VA0006203"
"facility"	"EMPORIA WTP"	"unknown"	"echo_VA0006220"	"inactive"	"POINT (-77.559382 36.700975)"	"1521 WIGGINS RD"	"EMPORIA"	"VA0006220"
"facility"	"ADDISON EVANS WATER PRODUCTION AND LABORATORY"	"unknown"	"echo_VA0006254"	"active"	"POINT (-77.64376 37.41467)"	"13400 HULL STREET RD"	"CHESTERFIELD"	"VA0006254"
"facility"	"VCI LYNCHBURG FOUNDRY"	"unknown"	"echo_VA0006262"	"inactive"	"POINT (-79.058021 37.402167)"	"1132 MT ATHOS RD"	"LYNCHBURG"	"VA0006262"
"facility"	"PORTSMOUTH CITY - LAKE KILBY WATER TREATMENT FAC"	"unknown"	"echo_VA0006301"	"inactive"	"POINT (-76.6003 36.73052)"	"105 MAURY PL"	"SUFFOLK"	"VA0006301"
"facility"	"NI RIVER WATER TREATMENT PLANT"	"manufacturing"	"echo_VA0006335"	"inactive"	"POINT (-77.598206 38.242647)"	"10516 GORDON RD"	"SPOTSYLVANIA"	"VA0006335"
"facility"	"GREIF RIVERVILLE LLC - FIBRE PLANT"	"manufacturing"	"echo_VA0006408"	"active"	"POINT (-78.9103 37.5108)"	"861 FIBRE PLANT RD"	"RIVERVILLE"	"VA0006408"
"facility"	"GEORGIA PACIFIC WOOD PRODUCTS - EMPORIA - PLYWOOD"	"industrial"	"echo_VA0006483"	"active"	"POINT (-77.525617 36.693816)"	"634 DAVIS ST"	"EMPORIA"	"VA0006483"
"facility"	"GRETNA TOWN - WATER TREATMENT PLANT"	"manufacturing"	"echo_VA0006513"	"inactive"	"POINT (-79.358676 36.961155)"	"184 NALLS ST"	"GRETNA"	"VA0006513"
"facility"	"CLARKSVILLE WWTP"	"wwtp"	"echo_VA0020168"	"active"	"POINT (-78.550806 36.621574)"	"201 EAST ST"	"CLARKSVILLE"	"VA0020168"
"facility"	"VICTORIA WEST SEWAGE TREATMENT PLANT"	"manufacturing"	"echo_VA0020176"	"active"	"POINT (-78.229925 36.993505)"	"1900 GROVE AVENUE"	"VICTORIA"	"VA0020176"
"facility"	"VICTORIA EAST SEWAGE TREATMENT PLANT"	"manufacturing"	"echo_VA0020184"	"active"	"POINT (-78.22406 36.99305)"	"1915 5TH ST"	"VICTORIA"	"VA0020184"
"facility"	"CHESTERFIELD COUNTY SCHOOLS GRANGE ELEM WWTP"	"wwtp"	"echo_VA0020222"	"active"	"POINT (-77.76529 37.38959)"	"19301 HULL STREET RD"	"MOSELEY"	"VA0020222"
"facility"	"APPOMATTOX TRICKLING FILTER PLANT"	"public water supply"	"echo_VA0020249"	"active"	"POINT (-78.83366 37.3445)"	"202 UPLAND LN"	"APPOMATTOX"	"VA0020249"
"facility"	"APPOMATTOX WATER RECLAMATION FACILITY"	"industrial"	"echo_VA0020257"	"active"	"POINT (-78.816076 37.353927)"	"216 ETHEL STREET"	"APPOMATTOX"	"VA0020257"
"facility"	"WYTHEVILLE WWTP"	"wwtp"	"echo_VA0020281"	"active"	"POINT (-81.05815 36.93402)"	"852 ATKINS MILL ROAD"	"WYTHEVILLE"	"VA0020281"
"facility"	"CREWE WWTP"	"wwtp"	"echo_VA0020303"	"active"	"POINT (-78.12415 37.17562)"	"125 E CAROLINE AVE"	"CREWE"	"VA0020303"
"facility"	"STRASBURG STP"	"public water supply"	"echo_VA0020311"	"active"	"POINT (-78.35444 38.97743)"	"495 MILLER DRIVE"	"STRASBURG"	"VA0020311"
"facility"	"COWFORD RD WWTP"	"wwtp"	"echo_VA0020320"	"active"	"POINT (-78.923 36.7692)"	"1141 COWFORD RD"	"HALIFAX"	"VA0020320"
"facility"	"EMPORIA WWTP"	"wwtp"	"echo_VA0020346"	"active"	"POINT (-77.54162 36.68048)"	"500 TALL OAKS DR"	"EMPORIA"	"VA0020346"
"facility"	"LAWRENCEVILLE WASTEWATER TREATMENT PLANT"	"wwtp"	"echo_VA0020354"	"active"	"POINT (-77.83949 36.7477)"	"380 MEADOWN LN"	"LAWRENCEVILLE"	"VA0020354"
"facility"	"MAPLE AVE WWTP"	"wwtp"	"echo_VA0020362"	"active"	"POINT (-78.881111 36.695278)"	"500 MAPLE AVE"	"SOUTH BOSTON"	"VA0020362"
"facility"	"ALTAVISTA TOWN - WASTEWATER TREATMENT PLANT"	"wwtp"	"echo_VA0020451"	"active"	"POINT (-79.285 37.10922)"	"1200 LANE ACCESS RD"	"ALTAVISTA"	"VA0020451"
"facility"	"VINT HILL FARMS STATION WWTP"	"wwtp"	"echo_VA0020460"	"active"	"POINT (-77.693639 38.738361)"	"4266 BACKE DR"	"WARRENTON"	"VA0020460"
"facility"	"EDINBURG STP"	"public water supply"	"echo_VA0020508"	"active"	"POINT (-78.562016 38.818833)"	"114 NORTH WHISSEN STREET"	"EDINBURG"	"VA0020508"
"facility"	"CHATHAM TOWN - SEWAGE TREATMEN"	"unknown"	"echo_VA0020524"	"active"	"POINT (-79.37736 36.81234)"	"400 HILLCREST LN"	"CHATHAM"	"VA0020524"
"facility"	"BERRYVILLE WWTP"	"wwtp"	"echo_VA0020532"	"active"	"POINT (-77.95567 39.13672)"	"362 PARSHALL RD"	"BERRYVILLE"	"VA0020532"
"facility"	"DJJ BARRETT JUVENILE CORRECTIONAL CENTER"	"commercial"	"echo_VA0020630"	"active"	"POINT (-77.36052 37.71208)"	"11391 BARRETT CENTER RD"	"MECHANICSVILLE"	"VA0020630"
"facility"	"BEAUMONT JUVENILE CORRECTION CENTER"	"commercial"	"echo_VA0020656"	"active"	"POINT (-77.905511 37.667733)"	"3700 BEAUMONT RD"	"BEAUMONT"	"VA0020656"
"facility"	"VIRGINIA PUBLIC SAFETY TRAINING CENTER"	"commercial"	"echo_VA0020664"	"active"	"POINT (-77.34036 37.75409)"	"7093 BROAD NECK RD"	"HANOVER"	"VA0020664"
"facility"	"DOC - APPALACHIAN MENS DETENTION CENTER"	"commercial"	"echo_VA0020672"	"active"	"POINT (-81.9275 36.999722)"	"924 CLIFTON FARM RD"	"HONAKER"	"VA0020672"
"facility"	"JAMES RIVER CORRECTION CENTER"	"commercial"	"echo_VA0020681"	"active"	"POINT (-77.828889 37.634444)"	"1954 STATE FARM"	"STATE FARM"	"VA0020681"
