MatchID,VPDES Hydrocode,VPDES HydroID,VPDES AdminID,VPDES Name,VWUDS Hydrocode,VWUDS HydroID,VWUDS Name,VWUDS Source,Sector,VPDES % total,VWUDS % total,Average Discharge MGD,Average Withdrawal MGD,Ave Consumption,,,
30,echo_VA0002160,441073,439613,APPAREL AND ADVANCED TEXTILES LLC - WAYNESBORO,vwuds_0116,73133,A&AT LLC: WAYNESBORO PLANT,Surface Water Intake,Industrial,0.027%,0.063%,1.50,4.45,66.42%,,,
31,echo_VA0003433,441096,439636,SOLENIS LLC,gwp_1222_A,67261,"SOLENIS, LLC: SOLENIS LLC",Surface Water Intake,Industrial,0.059%,0.040%,3.27,2.86,-14.65%,,,
32,echo_VA0091260,442017,440557,VIRGINIA TROUT - MONTEREY,vwuds_1535,73058,VIRGINIA TROUT COMPANY INC: MONTEREY PLANT,Well,Industrial,NA,0.036%,NA,2.58,NA,,,
33,echo_VA0000523,441053,439593,LHOIST NORTH AMERICA - KIMBALLTON PLANT,vwuds_1041,73306,"LHOIST NORTH AMERICA OF VIRGINIA, INC.: KIMBALLTON PLANT 2",Surface Water Intake,Industrial,0.016%,0.034%,0.87,2.42,63.94%,,,
34,echo_VA0073245,441656,440196,MILLERCOORS BREWING CO - SHENANDOAH BREWERY,vwuds_0025,74032,MOLSONCOORS : SHENANDOAH BREWERY ,Surface Water Intake,Industrial,0.042%,0.031%,2.34,2.16,-8.07%,,,
35,echo_VA0003867,441103,439643,OMEGA PROTEIN - REEDVILLE,gwp_1185_A,90597,"OMEGA PROTEIN, INC.: OMEGA PROTEIN",Well,Industrial,0.008%,0.028%,0.43,1.99,78.43%,,,
36,echo_VA0003808,441102,439642,PERDUE FOODS LLC - ACCOMACK,gwp_1148_A,67227,PERDUE FARMS INCORPORATED: PERDUE FARMS INCORPORATED,Well,Industrial,NA,0.023%,NA,1.61,NA,,,
37,echo_VA0077402,441700,440240,GEORGE'S CHICKEN LLC,vwuds_0113,72381,GEORGE'S CHICKEN LLC: EDINBURG PLANT,Well,Industrial,0.035%,0.021%,1.94,1.48,-31.29%,,,
38,echo_VA0001767,441066,439606,PACTIV LLC-GROTTOES PLASTICS PLANT,vwuds_0117,68647,PACTIV LLC: GROTTOES PLASTICS PLANT,Surface Water Intake,Industrial,0.000%,0.008%,0.01,0.57,98.96%,,,
39,echo_VA0004677,441119,439659,MOHAWK INDUSTRIES INC,vwuds_0131,72661,MOHAWK - LEES CARPET: GLASGOW PLANT OF MOHAWK INDUSTRIES,Well,Industrial,0.002%,0.008%,0.10,0.57,81.87%,,,
40,echo_VA0026557,441327,439867,PHILIP MORRIS USA INCORPORATED - PARK 500,vwuds_1326,73096,PHILIP MORRIS USA INC: PARK 500,Well,Industrial,0.005%,0.006%,0.27,0.40,33.02%,,,
41,echo_VA0092436,442101,440641,ILUKA RESOURCES INC - BRINK,vwuds_10042,72936,ILUKA RESOURCES INC: BRINK CONCENTRATOR SITE SYSTEM,Surface Water Intake,Industrial,0.005%,0.005%,0.28,0.36,20.50%,,,
42,echo_VA0050351,441417,439957,JEWELL COKE COMPANY COKE PLANTS 2 AND 3,vwuds_0853,71661,"JEWELL COKE COMPANY, LP: COKE OVENS",Well,Industrial,NA,0.004%,NA,0.31,NA,,,
43,echo_VA0001554,441062,439602,HANESBRANDS INCORPORATED,vwuds_1008,73422,HANES BRANDS INC: WOOLWINE PLANT,Surface Water Intake,Industrial,0.000%,0.004%,0.02,0.27,93.41%,,,
44,echo_VA0003077,441089,439629,DUPONT TEIJIN FILMS - HOPEWELL SITE,gwp_1335_A,66936,DUPONT TEIJIN FILMS: DUPONT HOPEWELL PLANT,Well,Industrial,0.005%,0.003%,0.27,0.23,-16.26%,,,
45,echo_VA0001589,441063,439603,RES DBA STEEL DYNAMICS ROANOKE BAR DIVISION,vwuds_0757,74187,STEEL DYNAMICS  ROANOKE BAR: ROANOKE PLANT,Well,Industrial,0.002%,0.003%,0.12,0.23,49.06%,,,
46,echo_VA0000248,441049,439589,US ARMY - RADFORD ARMY AMMUNITION PLANT,vwuds_1031,73020,UNITED STATES GOVERNMENT: RADFORD AMMUNITIONS WTP 2,Well,Industrial,NA,0.003%,NA,0.18,NA,,,
47,echo_VA0090824,441986,440526,PARAMONT CONTURA LLC - DEEP MINE 26 STP,vwuds_2221,71785,PARAMONT CONTURA LLC: DEEP MINE 26 (VC-5),Surface Water Intake,Industrial,0.053%,0.001%,2.94,0.07,-4183.76%,,,
48,echo_VA0052621,441433,439973,VALLEY MILK PRODUCTS,vwuds_1770,72815,VALLEY MILK PRODUCTS: VALLEY MILK PRODUCTS,Surface Water Intake,Industrial,0.000%,0.001%,0.00,0.06,99.67%,,,
49,echo_VA0072354,441645,440185,EASTMAN PERFORMANCE FILMS LLC - FIELDALE,vwuds_1123,71944,CPFILMS INC: FIELDALE PLANT,Surface Water Intake,Industrial,0.002%,0.001%,0.10,0.05,-102.61%,,,
50,echo_VA0089231,441894,440434,LAKE PACKING COMPANY INCORPORATED,gwp_1183_A,67341,"LAKE PACKING COMPANY, INC./COWART SEAFOOD CORP./COWART PROPERTIES: LAKE PACKING COMPANY, INC.- PROCESSING",Surface Water Intake,Industrial,0.000%,0.001%,0.00,0.05,100.00%,,,
51,echo_VA0072397,441647,440187,ROANOKE CEMENT CO - BOTETOURT COUNTY,vwuds_1013,72328,ROANOKE CEMENT CO: ROANOKE CEMENT COMPANY,Well,Industrial,0.000%,0.001%,0.00,0.04,95.75%,,,
52,echo_VA0092576,442114,440654,PARAMONT CONTURA LLC - DEEP MINE 41,vwuds_10169,68655,PARAMONT CONTURA LLC: DEEP MINE 41,Surface Water Intake,Industrial,0.004%,0.000%,0.21,0.02,-776.97%,,,
53,echo_VA0002771,441084,439624,MODINE MANUFACTURING CO - BUENA VISTA,vwuds_1358,73485,MODINE MANUFACTURING COMPANY: BUENA VISTA PLANT,Surface Water Intake,Industrial,0.000%,0.000%,0.00,0.02,85.85%,,,
54,echo_VA0027065,441339,439879,COOPER INDUSTRIES LLC,vwuds_0124,74140,COOPER INDUSTRIES: EARLYSVILLE PLANT,Surface Water Intake,Industrial,0.000%,0.000%,0.01,0.02,69.49%,,,
55,echo_VA0001309,441056,439596,CCP COMPOSITES US,vwuds_1003,73201,COOK COMPOSITES & POLYMERS CO: CHATHAM PLANT,Well,Industrial,0.000%,0.000%,0.00,0.01,79.22%,,,
56,echo_VA0002780,441085,439625,THE SUSTAINABILITY PARK LLC,vwuds_1334,74309,SUSTAINABILITY PARK LLC: SUSTAINABILITY PARK,Well,Industrial,0.000%,0.000%,0.00,0.01,82.95%,,,
57,echo_VA0021989,441211,439751,VIRGINIA GLASS PRODUCTS CORP,vwuds_1011,73255,VIRGINIA GLASS PRODUCTS CORP: RIDGEWAY PLANT,Surface Water Intake,Industrial,0.001%,0.000%,0.05,0.01,-365.61%,,,
58,echo_VA0004791,441121,439661,BONTEX INC,vwuds_0112,72447,"BONTEX, INC: BUENA VISTA PLANT",Well,Industrial,0.000%,0.000%,0.01,0.01,-6.50%,,,
59,echo_VA0000281,441050,439590,NANOCHEMONICS HOLDINGS LLC,vwuds_0608,72443,NANOCHEMONICS HOLDINGS LLC: PULASKI PLANT,Surface Water Intake,Industrial,0.000%,0.000%,0.00,0.00,100.00%,,,
60,echo_VA0087874,441827,440367,FCWA - CORBALIS WATER TREATMENT PLANT,vwuds_0283,73527,FAIRFAX WATER: CORBALIS WATER TREATMENT PLANT,Surface Water Intake,Municipal,0.001%,1.269%,0.049,89.940,99.95%,,,
61,echo_VA0005819,441131,439671,APPOMATTOX RIVER WATER AUTHORITY,vwuds_0343,73773,APPOMATTOX R WATER AUTHORITY: CHESDIN RESERVOIR WTP,Surface Water Intake,Municipal,NA,0.446%,NA,31.635,NA,,,
62,echo_VA0089460,441906,440446,MOTTS RUN WATER TREATMENT PLANT,vwuds_2189,71931,SPOTSYLVANIA COUNTY: MOTTS RUN WTP,Surface Water Intake,Municipal,0.004%,0.110%,0.224,7.793,97.13%,,,
63,echo_VA0060844,441508,440048,BLACKSBURG VPI SANITATION AUTH - LOWER STROUBLES,vwuds_0784,73110,BLACKSBURG-C'BURG-VPI WTR AUTH: NEW RIVER WTP,Surface Water Intake,Municipal,0.098%,0.095%,5.433,6.704,18.97%,,,
64,echo_VA0002674,441083,439623,HARRISONBURG WTP,vwuds_0804,73159,"HARRISONBURG, CITY OF: HARRISONBURG WTP",Surface Water Intake,Municipal,0.002%,0.094%,0.128,6.643,98.07%,,,
65,echo_VA0091111,442005,440545,JCSA - FIVE FORKS WATER TREATMENT FACILITY,gwp_0539_A,66972,JAMES CITY SERVICE AUTHORITY: JCSA - CENTRAL SYSTEM,Well,Municipal,0.004%,0.064%,0.196,4.525,95.67%,,,
66,echo_VA0025569,441307,439847,HANOVER COUNTY DOSWELL WTP,vwuds_0359,73816,HANOVER COUNTY: DOSWELL WATER TREATMENT PLANT,Surface Water Intake,Municipal,0.002%,0.049%,0.114,3.490,96.74%,,,
67,echo_VA0057487,441469,440009,STAFFORD COUNTY - ABEL LAKE WATER TREATMENT PLANT,vwuds_0303,71707,STAFFORD COUNTY: ABEL LAKE WTP,Surface Water Intake,Municipal,0.000%,0.038%,0.000,2.693,100.00%,,,
68,echo_VA0025151,441295,439835,WAYNESBORO WWTP,vwuds_0060,73212,"WAYNESBORO, CITY OF: WAYNESBORO SERVICE AREA",Well,Municipal,NA,0.034%,NA,2.416,NA,,,
69,echo_VA0054780,441458,439998,RADFORD CITY - WATER TREATMENT PLANT,vwuds_0791,73395,"RADFORD, CITY OF: RADFORD WTP",Surface Water Intake,Municipal,0.000%,0.034%,0.016,2.414,99.35%,,,
70,echo_VA0079863,441714,440254,PULASKI TOWN WATER TREATMENT PLANT,vwuds_0605,74361,"PULASKI, TOWN OF: PULASKI (TOWN) WTP",Surface Water Intake,Municipal,0.003%,0.032%,0.138,2.268,93.90%,,,
71,echo_VA0020281,441154,439694,WYTHEVILLE WWTP,vwuds_0570,72872,"WYTHEVILLE, TOWN OF: WYTHEVILLE WTP",Surface Water Intake,Municipal,0.037%,0.032%,2.064,2.255,8.50%,,,
72,echo_VA0062812,441549,440089,FRONT ROYAL WWTP,vwuds_0812,72471,"FRONT ROYAL, TOWN OF: FRONT ROYAL WTP",Surface Water Intake,Municipal,0.062%,0.030%,3.434,2.109,-62.81%,,,
73,echo_VA0025542,441306,439846,COVINGTON CITY - WASTEWATER TREATMENT PLANT,vwuds_0610,72536,"COVINGTON, CITY OF: JACKSON RIVER WTP 1",Surface Water Intake,Municipal,0.035%,0.029%,1.906,2.067,7.76%,,,
74,echo_VA0025305,441300,439840,MARTINSVILLE CITY SEWAGE TREATMENT PLANT,vwuds_0660,72214,"MARTINSVILLE, CITY OF: MARTINSVILLE WTP",Well,Municipal,0.080%,0.028%,4.418,1.970,-124.28%,,,
75,echo_VA0088404,441847,440387,CHESAPEAKE CITY - NORTHWEST RIVER WTP,gwp_0684_A,67043,CHESAPEAKE CITY OF PUBLIC UTILITIES DEPARTMENT: NORTHWEST RIVER SURFACE WATER INTAKE,Surface Water Intake,Municipal,0.008%,0.027%,0.429,1.922,77.70%,,,
76,echo_VA0078484,441707,440247,GALAX WWTP,vwuds_0553,72687,"GALAX, CITY OF: GALAX WTP",Surface Water Intake,Municipal,0.030%,0.025%,1.659,1.789,7.26%,,,
77,echo_VA0020451,441161,439701,ALTAVISTA TOWN - WASTEWATER TREATMENT PLANT,vwuds_0635,72841,"ALTAVISTA, TOWN OF: ALTAVISTA WTP",Surface Water Intake,Municipal,0.036%,0.024%,1.986,1.711,-16.04%,,,
78,echo_VA0090085,441939,440479,DAYTON WATER AND WASTEWATER TREATMENT PLANT,vwuds_1128,73455,"DAYTON, TOWN OF: DAYTON SERVICE AREA",Well,Municipal,0.001%,0.023%,0.052,1.638,96.85%,,,
79,echo_VA0067059,441603,440143,WYTHE CNTY WATER AND WASTEWATER - AUSTINVILLE STP,vwuds_0828,72194,WYTHE COUNTY: AUSTINVILLE WTP,Surface Water Intake,Municipal,0.000%,0.023%,0.001,1.614,99.93%,,,
80,echo_VA0029599,441396,439936,PENNINGTON GAP STP,vwuds_0560,74210,"PENNINGTON GAP, TOWN OF: PENNINGTON GAP WTP",Surface Water Intake,Municipal,0.003%,0.018%,0.152,1.278,88.13%,,,
81,echo_VA0078778,441711,440251,GLOUCESTER COUNTY WATER TREATMENT PLANT,gwp_0441_A,67688,GLOUCESTER COUNTY WATER SYSTEM: GLOUCESTER COUNTY PUBLIC UTILITIES,Surface Water Intake,Municipal,0.001%,0.018%,0.068,1.258,94.60%,,,
82,echo_VA0021385,441204,439744,ORANGE TOWN SEWAGE TREATMENT PLANT,vwuds_0480,72734,"ORANGE, TOWN OF: ORANGE (TOWN) WTP",Surface Water Intake,Municipal,0.014%,0.015%,0.799,1.096,27.07%,,,
83,echo_VA0056537,441466,440006,CITY OF WILLIAMSBURG WATER FILTER PLANT,gwp_0534_A,67015,WILLIAMSBURG CITY OF: WILLIAMSBURG CITY OF -NUMBER 1,Well,Municipal,0.000%,0.015%,0.019,1.078,98.26%,,,
84,echo_VA0022772,441226,439766,CLIFTON FORGE TOWN WASTE WATER,vwuds_0621,73526,"CLIFTON FORGE, TOWN OF: CLIFTON FORGE WTP",Surface Water Intake,Municipal,0.004%,0.015%,0.217,1.076,79.87%,,,
85,echo_VA0025054,441291,439831,BLUEFIELD WESTSIDE WWTP,vwuds_0545,71654,"BLUEFIELD, TOWN OF: BLUEFIELD WTP",Surface Water Intake,Municipal,0.073%,0.015%,4.029,1.054,-282.23%,,,
86,echo_VA0020761,441176,439716,JARRATT SEWAGE TREATMENT PLANT,vwuds_0398,71812,GREENSVILLE COUNTY WATER AND SEWER AUTHORITY: JARRATT WTP,Surface Water Intake,Municipal,0.001%,0.013%,0.036,0.909,96.01%,,,
87,echo_VA0022390,441219,439759,BEDFORD WASTEWATER TREATMENT PLANT,vwuds_0581,71642,"BEDFORD, CITY OF: BEDFORD CENTRAL WATER TREATMENT PLANT",Well,Municipal,0.017%,0.013%,0.926,0.900,-2.87%,,,
88,echo_VA0085952,441777,440317,ROCKY MOUNT TOWN SEWAGE TREATMENT PLANT,vwuds_0641,73674,"ROCKY MOUNT, TOWN OF: BLACKWATER RIVER WTP",Surface Water Intake,Municipal,0.013%,0.012%,0.694,0.836,17.01%,,,
89,echo_VA0020354,441159,439699,LAWRENCEVILLE WASTEWATER TREATMENT PLANT,vwuds_0017,73413,"LAWRENCEVILLE, TOWN OF: LAWRENCEVILLE SERVICE AREA",Surface Water Intake,Municipal,0.010%,0.011%,0.574,0.781,26.54%,,,
90,echo_VA0062642,441545,440085,LURAY WWTP,vwuds_0091,72810,"LURAY, TOWN OF: LURAY SERVICE AREA",Surface Water Intake,Municipal,0.017%,0.011%,0.944,0.752,-25.50%,,,
91,echo_VA0020346,441158,439698,EMPORIA WWTP,vwuds_0355,73250,"EMPORIA, CITY OF: EMPORIA WTP",Surface Water Intake,Municipal,0.012%,0.010%,0.650,0.682,4.67%,,,
92,echo_VA0020991,441187,439727,BUENA VISTA STP,vwuds_1954,73971,"BUENA VISTA, CITY OF: BUENA VISTA",Well,Municipal,0.023%,0.009%,1.259,0.640,-96.59%,,,
93,echo_VA0024732,441281,439821,MASSANUTTEN PUBLIC SERVICE CORPORATION STP,vwuds_0245,73512,MASSANUTTEN PUBLIC SERV CORP: MASSANUTTEN SERVICE AREA,Well,Municipal,0.003%,0.009%,0.160,0.639,74.90%,,,
94,echo_VA0090948,441994,440534,RAPIDAN WWTP,vwuds_0813,74154,RAPIDAN SERVICE AUTHORITY: RAPIDAN RIVER WTP,Surface Water Intake,Municipal,0.001%,0.009%,0.042,0.603,93.10%,,,
95,echo_VA0026468,441323,439863,WOODSTOCK STP,vwuds_0093,72421,"WOODSTOCK, TOWN OF: NORTH FORK SHENANDOAH WTP",Surface Water Intake,Municipal,0.009%,0.008%,0.480,0.585,17.88%,,,
96,echo_VA0089940,441932,440472,PURCELLVILLE TOWN WATER TREATMENT PLANT,vwuds_0273,72513,"PURCELLVILLE, TOWN OF: PURCELLVILLE SERVICE AREA",Surface Water Intake,Municipal,0.000%,0.008%,0.007,0.580,98.77%,,,
97,echo_VA0088111,441836,440376,LEE COUNTY PUBLIC SERVICE AUTHORITY-ROSE HILL WWTP,vwuds_0823,74290,LEE COUNTY PUBLIC SERVICE: ROSE HILL SERVICE AREA,Surface Water Intake,Municipal,0.000%,0.008%,0.020,0.534,96.34%,,,
98,echo_VA0026433,441321,439861,ELKTON STP,vwuds_0105,73481,"ELKTON, TOWN OF: ELKTON SERVICE AREA",Well,Municipal,0.005%,0.007%,0.292,0.530,44.95%,,,
99,echo_VA0064394,441572,440112,STANLEY STP,vwuds_0212,72237,"STANLEY, TOWN OF: STANLEY SERVICE AREA",Well,Municipal,0.001%,0.007%,0.051,0.526,90.24%,,,
100,echo_VA0020745,441175,439715,LEBANON WWTP,vwuds_0727,71746,"LEBANON, TOWN OF: LEBANON WTP",Surface Water Intake,Municipal,0.004%,0.007%,0.248,0.504,50.77%,,,
101,echo_VA0020303,441155,439695,CREWE WWTP,vwuds_0402,72976,"CREWE, TOWN OF: CREWE WTP",Surface Water Intake,Municipal,0.002%,0.007%,0.094,0.498,81.18%,,,
102,echo_VA0026409,441319,439859,TOWN OF COLONIAL BEACH WASTEWATER TREATMENT PLANT,gwp_0434_A,66992,"TOWN OF COLONIAL BEACH: COLONIAL BEACH, TOWN OF",Well,Municipal,0.012%,0.007%,0.677,0.490,-38.23%,,,
103,echo_VA0020524,441164,439704,CHATHAM TOWN - SEWAGE TREATMEN,vwuds_0587,73310,TOWN OF CHATHAM : CHATHAM WTP,Surface Water Intake,Municipal,0.002%,0.006%,0.111,0.428,73.95%,,,
104,echo_VA0020532,441165,439705,BERRYVILLE WWTP,vwuds_0719,74380,"BERRYVILLE, TOWN OF: BERRYVILLE WTP",Surface Water Intake,Municipal,0.000%,0.005%,0.000,0.372,100.00%,,,
105,echo_VA0020184,441150,439690,VICTORIA EAST SEWAGE TREATMENT PLANT,vwuds_0405,73524,"VICTORIA, TOWN OF: VICTORIA WTP",Surface Water Intake,Municipal,0.001%,0.005%,0.067,0.345,80.56%,,,
106,echo_VA0088684,441866,440406,AMHERST COUNTY LANDFILL PERMIT NUMBER 181,vwuds_0600,72446,"AMHERST, TOWN OF: AMHERST (TOWN) WTP",Surface Water Intake,Municipal,0.000%,0.005%,0.003,0.335,99.21%,,,
107,echo_VA0023825,441255,439795,SHENANDOAH STP,vwuds_0227,72396,"SHENANDOAH, TOWN OF: SHENANDOAH (TOWN) SERVICE AREA",Well,Municipal,0.001%,0.005%,0.062,0.320,80.74%,,,
108,echo_VA0026441,441322,439862,MT JACKSON STP,vwuds_0208,72344,"MOUNT JACKSON, TOWN OF: MOUNT JACKSON SERVICE AREA",Well,Municipal,0.003%,0.004%,0.142,0.307,53.63%,,,
109,echo_VA0090263,441951,440491,TOWN OF BROADWAY REGIONAL WWTF,vwuds_0720,74345,"BROADWAY, TOWN OF: BROADWAY WTP",Surface Water Intake,Municipal,NA,0.004%,NA,0.306,NA,,,
110,echo_VA0022985,441231,439771,STUART TOWN - WASTE WATER TREATMENT PLANT,vwuds_0796,74464,"STUART, TOWN OF: STUART WTP",Well,Municipal,0.002%,0.004%,0.098,0.290,66.10%,,,
111,echo_VA0026379,441317,439857,CHILHOWIE REGIONAL WASTEWATER TREATMENT PLANT,vwuds_0165,72685,"CHILHOWIE, TOWN OF: CHILHOWIE SERVICE AREA",Surface Water Intake,Municipal,0.003%,0.004%,0.161,0.285,43.54%,,,
112,echo_VA0089443,441904,440444,HILLSVILLE WWTP,vwuds_0557,73765,"HILLSVILLE, TOWN OF: HILLSVILLE WTP",Surface Water Intake,Municipal,0.005%,0.004%,0.276,0.274,-0.75%,,,
113,echo_VA0026221,441312,439852,ST PAUL WASTEWATER TREATMENT PLANT,vwuds_0563,73771,"ST PAUL, TOWN OF: ST. PAUL WTP",Surface Water Intake,Municipal,0.001%,0.004%,0.037,0.272,86.50%,,,
114,echo_VA0071471,441637,440177,TAPPAHANNOCK TOWN OF WWTP,gwp_0435_A,67693,TOWN OF TAPPAHANNOCK: TOWN OF TAPPAHANNOCK,Well,Municipal,0.002%,0.003%,0.132,0.235,43.92%,,,
115,echo_VA0073636,441661,440201,"NAVAL SUPPORT FACILITY, DAHLGR",gwp_1804_A,67334,DEPARTMENT OF NAVY: DAHLGREN BASE,Well,Municipal,NA,0.003%,NA,0.228,NA,,,
