"MP_hydroid","Hydrocode","Source Type","MP Name","Facility_hydroid","Facility","Use Type","Year","Water Use MGY","Water Use (MGD)","Latitude","Longitude","FIPS Code","Locality","OWS Planner"
"42","gwp_375136075303901","Well","U-52","67207","US NASA -Goddard Space Flight Center - Island System","commercial","2021","0","0.00","37.860000000000","-75.510833333333","51001","","rgreen"
"52","gwp_375626075272503","Well","Field 3 meter","67083","Chincoteague Town of","municipal","2021","0","0.00","37.941444444444","-75.455694444444","51001","","rgreen"
"54","gwp_375123075333401","Well","Public Water Supply 1 (WS-1)","67278","Integrated Fisheries International Limited","commercial","2021","0","0.00","37.856138888889","-75.559638888889","51001","","rgreen"
"55","gwp_375642075274401","Well","#6","67083","Chincoteague Town of","municipal","2021","45.526","0.12","37.945000000000","-75.453888888889","51001","","rgreen"
"56","gwp_375024075334800","Well","#1 (Emergency)","67129","Triangle Mobile Home Park","municipal","2021","0","0.00","37.840111111111","-75.563222222222","51001","","rgreen"
"57","gwp_375024075334700","Well","Production (DEQ#100-364)","67129","Triangle Mobile Home Park","municipal","2021","0","0.00","37.840083333333","-75.563083333333","51001","","rgreen"
"59","gwp_372844075474201","Well","P-1 Main Well (&WQ)","67002","Virginia Landing Campground","municipal","2021","1.709","0.00","37.482250000000","-75.791861111111","51001","","rgreen"
"60","gwp_375731075270301","Well","Trails End #1","67315","Trails End Utility Company Incorporated","municipal","2021","0","0.00","37.958611111111","-75.450833333333","51001","","rgreen"
"61","gwp_375550075275401","Well","#7A","67083","Chincoteague Town of","municipal","2021","0","0.00","37.935972222222","-75.460861111111","51001","","rgreen"
"62","gwp_375557075274901","Well","#7B","67083","Chincoteague Town of","municipal","2021","0","0.00","37.936583333333","-75.460000000000","51001","","rgreen"
"63","gwp_375604075274201","Well","Well 7C","67083","Chincoteague Town of","municipal","2021","0","0.00","37.938611111111","-75.459000000000","51001","","rgreen"
"64","gwp_374425075393005","Well","P-#5","67227","Perdue Farms Incorporated","industrial","2021","90.4455","0.25","37.734611111111","-75.653444444444","51001","","rgreen"
"65","gwp_375257075332106","Well","#6","67016","Tyson Farms, Inc.","industrial","2021","54.7906","0.15","37.885777777778","-75.559583333333","51001","","rgreen"
"66","gwp_375144075303401","Well","#3","67207","US NASA -Goddard Space Flight Center - Island System","commercial","2021","7.70973","0.02","37.862222222222","-75.509444444444","51001","","rgreen"
"68","gwp_375732075265101","Well","Trails End #2","67315","Trails End Utility Company Incorporated","municipal","2021","0","0.00","37.958888888889","-75.447500000000","51001","","rgreen"
"69","gwp_375122075332801","Well","100-843","67278","Integrated Fisheries International Limited","commercial","2021","0","0.00","37.853611111111","-75.558083333333","51001","","rgreen"
"70","gwp_375128075304501","Well","#4","67207","US NASA -Goddard Space Flight Center - Island System","commercial","2021","6.592894","0.02","37.859444444444","-75.510833333333","51001","","rgreen"
"71","gwp_375626075272501","Well","#3A","67083","Chincoteague Town of","municipal","2021","9.087","0.02","37.941444444444","-75.455694444444","51001","","rgreen"
"72","gwp_375626075272502","Well","#3B","67083","Chincoteague Town of","municipal","2021","9.056","0.02","37.940694444444","-75.456722222222","51001","","rgreen"
"73","gwp_375626075272504","Well","#3C","67083","Chincoteague Town of","municipal","2021","8.84","0.02","37.939666666667","-75.456888888889","51001","","rgreen"
"74","gwp_375006075344499","Well","Plant MW (&WL)","67332","Mappsville Facility & Labor Housing","commercial","2021","0","0.00","37.835000000000","-75.578888888889","51001","","rgreen"
"75","gwp_375014075350399","Well","Housing MW (&WL)","67332","Mappsville Facility & Labor Housing","commercial","2021","0","0.00","37.838250000000","-75.584083333333","51001","","rgreen"
"76","gwp_375006075344401","Well","Plant Production #1","67332","Mappsville Facility & Labor Housing","commercial","2021","0","0.00","37.835250000000","-75.578555555556","51001","","rgreen"
"77","gwp_373918075491201","Well","17 N","67349","Eastern Shore Yacht and Country Club","commercial","2021","11.91494","0.03","37.654972222222","-75.819861111111","51001","","rgreen"
"78","gwp_373914075491701","Well","12 S (&WQ)","67349","Eastern Shore Yacht and Country Club","commercial","2021","0.012819","0.00","37.653888888889","-75.821333333333","51001","","rgreen"
"79","gwp_373929075493101","Well","Clubhouse","67349","Eastern Shore Yacht and Country Club","commercial","2021","0.003411","0.00","37.658166666667","-75.825166666667","51001","","rgreen"
"81","gwp_373911075490601","Well","Maint. Shed","67349","Eastern Shore Yacht and Country Club","commercial","2021","0.05153","0.00","37.653083333333","-75.818222222222","51001","","rgreen"
"82","gwp_375627075272400","Well","Field 3 Well #1","67083","Chincoteague Town of","municipal","2021","0","0.00","37.940833333333","-75.456527777778","51001","","rgreen"
"83","gwp_375624075272600","Well","Field 3 Well #2","67083","Chincoteague Town of","municipal","2021","0","0.00","37.940138888889","-75.457083333333","51001","","rgreen"
"84","gwp_375622075272600","Well","Field 3 Well #3","67083","Chincoteague Town of","municipal","2021","0","0.00","37.939444444444","-75.457222222222","51001","","rgreen"
"85","gwp_375619075272900","Well","Field 3 Well #4","67083","Chincoteague Town of","municipal","2021","0","0.00","37.938611111111","-75.458055555556","51001","","rgreen"
"86","gwp_375616075273100","Well","Field 3 Well #5","67083","Chincoteague Town of","municipal","2021","0","0.00","37.937638888889","-75.458611111111","51001","","rgreen"
"87","gwp_375611075273400","Well","Field 3 Well #6","67083","Chincoteague Town of","municipal","2021","0","0.00","37.936388888889","-75.459444444444","51001","","rgreen"
"88","gwp_375607075273600","Well","Field 3 Well #7","67083","Chincoteague Town of","municipal","2021","0","0.00","37.935277777778","-75.460138888889","51001","","rgreen"
"89","gwp_375602075273900","Well","Field 3 Well #8","67083","Chincoteague Town of","municipal","2021","0","0.00","37.934027777778","-75.460833333333","51001","","rgreen"
"90","gwp_375558075274200","Well","Field 3 Well #9","67083","Chincoteague Town of","municipal","2021","0","0.00","37.932777777778","-75.461805555556","51001","","rgreen"
"91","gwp_375010075345101","Well","House #1","67332","Mappsville Facility & Labor Housing","commercial","2021","0.1534","0.00","37.836222222222","-75.582416666667","51001","","rgreen"
"92","gwp_375010075345201","Well","House #2","67332","Mappsville Facility & Labor Housing","commercial","2021","0.0772","0.00","37.836305555556","-75.582638888889","51001","","rgreen"
"93","gwp_375011075345301","Well","House #3","67332","Mappsville Facility & Labor Housing","commercial","2021","0.0821","0.00","37.836500000000","-75.582861111111","51001","","rgreen"
"94","gwp_375011075345401","Well","House #4","67332","Mappsville Facility & Labor Housing","commercial","2021","0.01523","0.00","37.836583333333","-75.583000000000","51001","","rgreen"
"95","gwp_375011075345501","Well","House #5","67332","Mappsville Facility & Labor Housing","commercial","2021","0.104","0.00","37.836750000000","-75.583250000000","51001","","rgreen"
"96","gwp_375012075345701","Well","House #6","67332","Mappsville Facility & Labor Housing","commercial","2021","0.03358","0.00","37.836888888889","-75.583444444444","51001","","rgreen"
"97","gwp_375012075345801","Well","House #7","67332","Mappsville Facility & Labor Housing","commercial","2021","0","0.00","37.836944444444","-75.583555555556","51001","","rgreen"
"98","gwp_375013075345901","Well","House #8","67332","Mappsville Facility & Labor Housing","commercial","2021","0","0.00","37.837027777778","-75.583555555556","51001","","rgreen"
"99","gwp_375013075350001","Well","House #9","67332","Mappsville Facility & Labor Housing","commercial","2021","0","0.00","37.837138888889","-75.583777777778","51001","","rgreen"
"100","gwp_375013075350101","Well","House #10","67332","Mappsville Facility & Labor Housing","commercial","2021","0","0.00","37.836861111111","-75.583111111111","51001","","rgreen"
"101","gwp_375014075350201","Well","House #11","67332","Mappsville Facility & Labor Housing","commercial","2021","0","0.00","37.836916666667","-75.583277777778","51001","","rgreen"
"102","gwp_373912075485501","Well","Restroom","67349","Eastern Shore Yacht and Country Club","commercial","2021","0.00465","0.00","37.653416666667","-75.815194444444","51001","","rgreen"
"103","gwp_375118075333600","Well","WS-2","67278","Integrated Fisheries International Limited","commercial","2021","0","0.00","37.855055555556","-75.560111111111","51001","","rgreen"
"104","gwp_375124075333401","Well","Production Well 1 & WQ","67278","Integrated Fisheries International Limited","commercial","2021","0","0.00","37.856750000000","-75.559777777778","51001","","rgreen"
"105","gwp_375120075332101","Well","Production Well 2 & WQ","67278","Integrated Fisheries International Limited","commercial","2021","0","0.00","37.854611111111","-75.555888888889","51001","","rgreen"
"106","gwp_375115075332201","Well","Production Well 3","67278","Integrated Fisheries International Limited","commercial","2021","0","0.00","37.853861111111","-75.556277777778","51001","","rgreen"
"107","gwp_375115075332601","Well","Production Well 4","67278","Integrated Fisheries International Limited","commercial","2021","0","0.00","37.854055555556","-75.557805555556","51001","","rgreen"
"108","gwp_375110075331101","Well","Production Well 5","67278","Integrated Fisheries International Limited","commercial","2021","0","0.00","37.852861111111","-75.553611111111","51001","","rgreen"
"109","gwp_375110075333201","Well","Production Well 6","67278","Integrated Fisheries International Limited","commercial","2021","0","0.00","37.852444444444","-75.559222222222","51001","","rgreen"
"110","gwp_375058075332701","Well","Production Well 7","67278","Integrated Fisheries International Limited","commercial","2021","0","0.00","37.849194444444","-75.558166666667","51001","","rgreen"
"118","gwp_374704075390201","Well","Well #4","67199","Town of Parksley Water Works","municipal","2021","0","0.00","37.785027777778","-75.650222222222","51001","","rgreen"
"119","gwp_375733075265601","Well","Trails End #3","67315","Trails End Utility Company Incorporated","municipal","2021","10.782533","0.03","37.959269444444","-75.448886111111","51001","","rgreen"
"120","gwp_375113075333001","Well","Standby 1","67278","Integrated Fisheries International Limited","commercial","2021","0","0.00","37.853611111111","-75.558333333333","51001","","rgreen"
"121","gwp_375119075333101","Well","Public Water Supply 3 (WS-3)","67278","Integrated Fisheries International Limited","commercial","2021","0.0191","0.00","37.855166666667","-75.558750000000","51001","","rgreen"
"122","gwp_375200075304099","Well","water table monitoring well","67207","US NASA -Goddard Space Flight Center - Island System","commercial","2021","0","0.00","37.866666666667","-75.666666666667","51001","","rgreen"
"123","gwp_375200075304098","Well","deep monitor well","67207","US NASA -Goddard Space Flight Center - Island System","commercial","2021","0","0.00","37.866666666667","-75.511111111111","51001","","rgreen"
"124","gwp_374419075393801","Well","P-#4R","67227","Perdue Farms Incorporated","industrial","2021","105.428","0.29","37.738638888889","-75.660666666667","51001","","rgreen"
"125","gwp_375313075333801","Well","#3A","67016","Tyson Farms, Inc.","industrial","2021","0","0.00","37.886861111111","-75.560638888889","51001","","rgreen"
"126","gwp_375922075323101","Well","Well #P-1 (&WQ)","67272","Commonwealth Chesapeake Power Station","fossilpower","2021","0.146909","0.00","37.989166666667","-75.542000000000","51001","","rgreen"
"127","gwp_375925075322401","Well","Well #P-2","67272","Commonwealth Chesapeake Power Station","fossilpower","2021","0.776977","0.00","37.990333333333","-75.539972222222","51001","","rgreen"
"128","gwp_375918075322301","Well","Well #P-3","67272","Commonwealth Chesapeake Power Station","fossilpower","2021","0.323308","0.00","37.989027777778","-75.539333333333","51001","","rgreen"
"129","gwp_375914075323601","Well","Well #P-4","67272","Commonwealth Chesapeake Power Station","fossilpower","2021","0.810221","0.00","37.987888888889","-75.543416666667","51001","","rgreen"
"130","gwp_375922075323901","Well","Well #P-5","67272","Commonwealth Chesapeake Power Station","fossilpower","2021","0.100981","0.00","37.989638888889","-75.544250000000","51001","","rgreen"
"131","gwp_375927075323201","Well","Well #P-6","67272","Commonwealth Chesapeake Power Station","fossilpower","2021","0.741934","0.00","37.990972222222","-75.542833333333","51001","","rgreen"
"132","gwp_375923075322701","Well","Well #P-7","67272","Commonwealth Chesapeake Power Station","fossilpower","2021","0.391113","0.00","37.989583333333","-75.541055555556","51001","","rgreen"
"133","gwp_375916075322901","Well","Well #P-8","67272","Commonwealth Chesapeake Power Station","fossilpower","2021","0.215541","0.00","37.988166666667","-75.541277777778","51001","","rgreen"
"134","gwp_375921075323501","Well","Well #P-9","67272","Commonwealth Chesapeake Power Station","fossilpower","2021","0.380044","0.00","37.989944444444","-75.542611111111","51001","","rgreen"
"135","gwp_375920075322201","Well","Well #DW-1A","67272","Commonwealth Chesapeake Power Station","fossilpower","2021","0.057434","0.00","37.988922222222","-75.539350000000","51001","","rgreen"
"143","gwp_374236075434101","Well","Well #1","67387","Broadleaf Farms","irrigation","2021","0","0.00","37.709933333333","-75.727925000000","51001","","rgreen"
"144","gwp_374234075434101","Well","Well #2","67387","Broadleaf Farms","irrigation","2021","1.38848","0.00","37.709469444444","-75.728050000000","51001","","rgreen"
"145","gwp_374231075434401","Well","Well #3","67387","Broadleaf Farms","irrigation","2021","0.58872","0.00","37.708566666667","-75.728947222222","51001","","rgreen"
"164","gwp_375608075274201","Well","PW-8 (&WQ)","67083","Chincoteague Town of","municipal","2021","44.917","0.12","37.938083333333","-75.459305555556","51001","","rgreen"
"169","gwp_373927075493501","Well","Pool","67349","Eastern Shore Yacht and Country Club","commercial","2021","0.22839","0.00","37.657416666667","-75.826361111111","51001","","rgreen"
"170","gwp_373922075490999","Well","MW-2 (WL)","67349","Eastern Shore Yacht and Country Club","commercial","2021","0","0.00","37.656194444444","-75.819277777778","51001","","rgreen"
"171","gwp_374936075325001","Well","Well #1","66912","Hogneck Farm","irrigation","2021","2.5997","0.01","37.826297222222","-75.547344444444","51001","","rgreen"
"173","gwp_374312075401801","Well","County Bldg","67301","Accomack County Office Buildings Waterworks","municipal","2021","1.671619","0.00","37.720008333333","-75.671411111111","51001","","rgreen"
"174","gwp_374310075401801","Well","Courthouse","67301","Accomack County Office Buildings Waterworks","municipal","2021","2.073335","0.01","37.719452777778","-75.671413888889","51001","","rgreen"
"181","gwp_372914075472001","Well","P-2 Managers House","67002","Virginia Landing Campground","municipal","2021","0","0.00","37.487305555556","-75.788888888889","51001","","rgreen"
"182","gwp_375604075281401","Well","Main Base Well #1","67153","US NASA -Goddard Space Flight Center - Main Base","commercial","2021","6.757171","0.02","37.934527777778","-75.470500000000","51001","","rgreen"
"183","gwp_375640075285401","Well","Main Base Well #2","67153","US NASA -Goddard Space Flight Center - Main Base","commercial","2021","0","0.00","37.944333333333","-75.481583333333","51001","","rgreen"
"184","gwp_375615075283801","Well","Main Base Well #3","67153","US NASA -Goddard Space Flight Center - Main Base","commercial","2021","10.666","0.03","37.937611111111","-75.477111111111","51001","","rgreen"
"185","gwp_375610075282501","Well","Main Base Well #4","67153","US NASA -Goddard Space Flight Center - Main Base","commercial","2021","10.6201","0.03","37.936000000000","-75.473472222222","51001","","rgreen"
"186","gwp_375621075285001","Well","Main Base Well #5(H-115)","67153","US NASA -Goddard Space Flight Center - Main Base","commercial","2021","0","0.00","37.939083333333","-75.480638888889","51001","","rgreen"
"219","gwp_374226075441599","Well","Test #1 (Monitoring)","67084","Onancock Town of","municipal","2021","0","0.00","37.707194444444","-75.737500000000","51001","","rgreen"
"220","gwp_374225075441401","Well","#7","67084","Onancock Town of","municipal","2021","34.0376","0.09","37.706916666667","-75.737333333333","51001","","rgreen"
"221","gwp_374227075441901","Well","#8","67084","Onancock Town of","municipal","2021","6.9108","0.02","37.707527777778","-75.738638888889","51001","","rgreen"
"222","gwp_374229075441401","Well","#9","67084","Onancock Town of","municipal","2021","38.3411","0.11","37.708138888889","-75.737194444444","51001","","rgreen"
"225","gwp_380006075243701","Well","#4 (&WQ)","67257","Captain's Cove Utility Company, Inc.","commercial","2021","5.829199","0.02","38.001861111111","-75.410222222222","51001","","rgreen"
"240","gwp_375616075273499","Well","MW3D (Test)","67083","Chincoteague Town of","municipal","2021","0","0.00","37.940388888889","-75.456972222222","51001","","rgreen"
"270","gwp_375922075252999","Well","OW-5 (Monitoring)","67257","Captain's Cove Utility Company, Inc.","commercial","2021","0","0.00","37.989555555556","-75.424777777778","51001","","rgreen"
"271","gwp_380011075253399","Well","OW-6 (Monitoring)","67257","Captain's Cove Utility Company, Inc.","commercial","2021","0","0.00","38.003138888889","-75.426027777778","51001","","rgreen"
"272","gwp_375911075252871","Well","#1U (WQ)","67257","Captain's Cove Utility Company, Inc.","commercial","2021","0","0.00","37.989416666667","-75.424611111111","51001","","rgreen"
"273","gwp_375911075252872","Well","#3U","67257","Captain's Cove Utility Company, Inc.","commercial","2021","12.6251","0.03","38.003222222222","-75.425916666667","51001","","rgreen"
"274","gwp_375911075252873","Well","#4U","67257","Captain's Cove Utility Company, Inc.","commercial","2021","13.4479","0.04","38.001861111111","-75.410305555556","51001","","rgreen"
"276","gwp_373838075431501","Well","#1","67247","Melfa Farm","agriculture","2021","0","0.00","37.643883333333","-75.720758333333","51001","","rgreen"
"277","gwp_373837075431201","Well","#2","67247","Melfa Farm","agriculture","2021","0","0.00","37.643630555556","-75.719913888889","51001","","rgreen"
"278","gwp_373840075432001","Well","#3","67247","Melfa Farm","agriculture","2021","0","0.00","37.644519444444","-75.722258055556","51001","","rgreen"
"279","gwp_373615075480301","Well","Farm-1","67431","Christian/Ames Farm","irrigation","2021","0","0.00","37.605272222222","-75.803541666667","51001","","rgreen"
"280","gwp_373619075481301","Well","Farm-2","67431","Christian/Ames Farm","irrigation","2021","0","0.00","37.605788000000","-75.804275000000","51001","","rgreen"
"281","gwp_373622075481901","Well","Farm-3","67431","Christian/Ames Farm","irrigation","2021","12.047","0.03","37.606205555556","-75.805125000000","51001","","rgreen"
"283","gwp_373159075473801","Well","#1","67372","Bowen Farm","irrigation","2021","20.081","0.06","37.533194444444","-75.793944444444","51001","","rgreen"
"284","gwp_373158075473501","Well","#2","67372","Bowen Farm","irrigation","2021","9.837","0.03","37.532777777778","-75.793111111111","51001","","rgreen"
"285","gwp_374530075372401","Well","Well #2","66899","Riverside Shore Rehabilitation Center","commercial","2021","0","0.00","37.758322222222","-75.623433333333","51001","","rgreen"
"286","gwp_374116075393601","Well","#1","67189","Bull Farm","irrigation","2021","0.496","0.00","37.687722222222","-75.659916666667","51001","","rgreen"
"287","gwp_374112075393501","Well","Well #2","67189","Bull Farm","irrigation","2021","0","0.00","37.686527777778","-75.659694444444","51001","","rgreen"
"288","gwp_374106075393401","Well"," Well #3","67189","Bull Farm","irrigation","2021","0","0.00","37.685138888889","-75.659472222222","51001","","rgreen"
"299","gwp_375125075333599","Well","DMW-1","67278","Integrated Fisheries International Limited","commercial","2021","0","0.00","37.856888888889","-75.559611111111","51001","","rgreen"
"300","gwp_375024075334601","Well","#3 (Corner)","67129","Triangle Mobile Home Park","municipal","2021","2.5171","0.01","37.840138888889","-75.563027777778","51001","","rgreen"
"301","gwp_375024075334701","Well","#4 (New)","67129","Triangle Mobile Home Park","municipal","2021","3.4366","0.01","37.840027777778","-75.563083333333","51001","","rgreen"
"302","gwp_373603075483901","Well","AF 2-1","67431","Christian/Ames Farm","irrigation","2021","0.0867","0.00","37.600813888889","-75.810891666667","51001","","rgreen"
"303","gwp_373601075483901","Well","AF 2-2","67431","Christian/Ames Farm","irrigation","2021","0.04888","0.00","37.600541666667","-75.810925000000","51001","","rgreen"
"304","gwp_373600075483901","Well","AF 2-3","67431","Christian/Ames Farm","irrigation","2021","0.13008","0.00","37.600266666667","-75.810955555556","51001","","rgreen"
"305","gwp_373554075483901","Well","AF 2-4","67431","Christian/Ames Farm","irrigation","2021","0","0.00","37.599997222222","-75.810988888889","51001","","rgreen"
"306","gwp_373559075483901","Well","AF 2-5","67431","Christian/Ames Farm","irrigation","2021","0.00036","0.00","37.599722222222","-75.811022222222","51001","","rgreen"
"307","gwp_373557075483901","Well","AF 2-7","67431","Christian/Ames Farm","irrigation","2021","0.0861","0.00","37.599175000000","-75.811091666667","51001","","rgreen"
"308","gwp_373556075484001","Well","AF 2-8","67431","Christian/Ames Farm","irrigation","2021","0.17754","0.00","37.598905555556","-75.811119444444","51001","","rgreen"
"309","gwp_373600075484001","Well","AF 2-9","67431","Christian/Ames Farm","irrigation","2021","0.04814","0.00","37.598613888889","-75.811152777778","51001","","rgreen"
"310","gwp_373555075484101","Well","AF 2-10","67431","Christian/Ames Farm","irrigation","2021","0.04942","0.00","37.598638888889","-75.811494444444","51001","","rgreen"
"312","gwp_373601075483801","Well","Pete's House","67431","Christian/Ames Farm","irrigation","2021","0.04678","0.00","37.600322222222","-75.810702777778","51001","","rgreen"
"313","gwp_373601075485501","Well","AF 1-3","67431","Christian/Ames Farm","irrigation","2021","0.13453","0.00","37.600466666667","-75.815383333333","51001","","rgreen"
"314","gwp_373604075485501","Well","AF 1-1","67431","Christian/Ames Farm","irrigation","2021","0.55517","0.00","37.601077777778","-75.815311111111","51001","","rgreen"
"315","gwp_373600075483301","Well","Leader House","67431","Christian/Ames Farm","irrigation","2021","0.07123","0.00","37.600050000000","-75.809330555556","51001","","rgreen"
"316","gwp_373600075485501","Well","AF 1-4","67431","Christian/Ames Farm","irrigation","2021","1.13282","0.00","37.600147222222","-75.815052777778","51001","","rgreen"
"317","gwp_373559075485501","Well","AF 1-5","67431","Christian/Ames Farm","irrigation","2021","0.11362","0.00","37.599844444444","-75.815433333333","51001","","rgreen"
"318","gwp_373558075485601","Well","AF 1-6","67431","Christian/Ames Farm","irrigation","2021","0.16943","0.00","37.599511111111","-75.815497222222","51001","","rgreen"
"319","gwp_373558075485901","Well","AF 1-7","67431","Christian/Ames Farm","irrigation","2021","0.08646","0.00","37.599450000000","-75.816497222222","51001","","rgreen"
"320","gwp_373558075483901","Well","AF 2-6","67431","Christian/Ames Farm","irrigation","2021","0.06459","0.00","37.599472222222","-75.811055555556","51001","","rgreen"
"321","gwp_374702075390101","Well","New Well #1","67199","Town of Parksley Water Works","municipal","2021","9.4837","0.03","37.784611111111","-75.650305555556","51001","","rgreen"
"322","gwp_373342075474401","Well","Farm #3 (1129)","67394","Painter Complex","agriculture","2021","0","0.00","37.561650000000","-75.795522222222","51001","","rgreen"
"323","gwp_373339075474801","Well","Farm #4 (1130)","67394","Painter Complex","agriculture","2021","0","0.00","37.560827777778","-75.796541666667","51001","","rgreen"
"335","gwp_373846077200701","Well","Strawhorne Well","67168","Strawhorne","municipal","2021","4.096","0.01","37.647739225000","-77.335681680556","51085","","hsomers"
"346","gwp_373950077202501","Well","#2","67095","Rural Point","commercial","2021","8.081342","0.02","37.671668055556","-77.335558055556","51085","","hsomers"
"371","gwp_364722076412901","Well","#1 (backup)","66944","Perry Minnow Farm Incorporated","agriculture","2021","0","0.00","36.789578611111","-76.691389722222","51093","","rgreen"
"373","gwp_364721076412801","Well","#3","66944","Perry Minnow Farm Incorporated","agriculture","2021","30.4411","0.08","36.789166666667","-76.690972222222","51093","","rgreen"
"374","gwp_364720076412801","Well","#4 (Main)","66944","Perry Minnow Farm Incorporated","agriculture","2021","0","0.00","36.788782500000","-76.691048055556","51093","","rgreen"
"375","gwp_364742076412601","Well","Well 5 (fire protection)","66944","Perry Minnow Farm Incorporated","agriculture","2021","0","0.00","36.795111111111","-76.690694444444","51093","","rgreen"
"379","gwp_364055076465101","Well","Holland Well #6","66961","Western Tidewater Water Authority","municipal","2021","0.007547","0.00","36.681916666667","-76.780916666667","51800","","rgreen"
"380","gwp_373000077074501","Well","Hemlock Rd. #1","66887","Woodhaven Water Company","commercial","2021","21.4817","0.06","37.497222222222","-77.122222222222","51127","","rgreen"
"381","gwp_373027077103901","Well","#1","67317","Five Lakes #1 Water System","commercial","2021","0.1153","0.00","37.507685561111","-77.177760902778","51127","","rgreen"
"382","gwp_373107077104901","Well","Well #1","73613","Brookwood Manor","municipal","2021","1.5304","0.00","37.519416666667","-77.178944444444","51127","","rgreen"
"383","gwp_373056076585201","Well","Middle Sch Well - NK","67201","New Kent Courthouse","municipal","2021","0","0.00","37.515555555556","-76.981111111111","51127","","rgreen"
"384","gwp_373000077074502","Well","Birch Rd. #2 ","66887","Woodhaven Water Company","commercial","2021","0.0472","0.00","37.494722222222","-77.123888888889","51127","","rgreen"
"388","gwp_372310076541501","Well","Well #1","66886","Colonies","municipal","2021","7.712914","0.02","37.399491666667","-76.901622222222","51127","","rgreen"
"389","gwp_372310076541502","Well","Well #2","66886","Colonies","municipal","2021","4.088938","0.01","37.398869444444","-76.901677777778","51127","","rgreen"
"390","gwp_372438076561601","Well","Well #6 - Main Well","67150","Rockahock Campground","commercial","2021","2.209622","0.01","37.410597675000","-76.937882880556","51127","","rgreen"
"391","gwp_373107077104902","Well","Well #2","73613","Brookwood Manor","municipal","2021","2.61618","0.01","37.516527777778","-77.180472222222","51127","","rgreen"
"399","gwp_372818077013301","Well","NKD #1 (Legends Well)","67018","Colonial Downs Public Water System","municipal","2021","0","0.00","37.471666666667","-77.025833333333","51127","","rgreen"
"404","gwp_373624075482301","Well","Farm-4","67431","Christian/Ames Farm","irrigation","2021","0","0.00","37.606666666667","-75.806430555556","51001","","rgreen"
"405","gwp_373625075482601","Well","Farm-5","67431","Christian/Ames Farm","irrigation","2021","0","0.00","37.606966666667","-75.807272222222","51001","","rgreen"
"406","gwp_373616075482001","Well","Farm-6","67431","Christian/Ames Farm","irrigation","2021","0","0.00","37.604452777778","-75.805575000000","51001","","rgreen"
"407","gwp_373617075481901","Well","Farm-7","67431","Christian/Ames Farm","irrigation","2021","0","0.00","37.604583333333","-75.805355555556","51001","","rgreen"
"408","gwp_373615075480302","Well","Farm-8","67431","Christian/Ames Farm","irrigation","2021","4.216","0.01","37.604080555556","-75.800850000000","51001","","rgreen"
