"hydrocode","name","bundle","ftype","wkt_geom"
"VA0001201","GOODYEAR TIRE AND RUBBER CO - DANVILLE","facility","wwtp","POINT (36.558914 -79.373017)"
"VA0001309","CCP COMPOSITES US","facility","wwtp","POINT (36.77779 -79.40889)"
"VA0001333","KOPPERS INC","facility","wwtp","POINT (37.27286 -80.13361)"
"VA0001431","KINDER MORGAN SOUTHEAST TERMINALS LLC - ROANOKE","facility","wwtp","POINT (37.21328 -79.9897)"
"VA0001449","GUNNOE SAUSAGE COMPANY INCORPORATED","facility","wwtp","POINT (37.40734 -79.40356)"
"VA0001473","WVWA - CARVINS COVE WATER FP","facility","wwtp","POINT (37.361944 -79.957778)"
"VA0001490","MOTIVA ENTERPRISES LLC - MONTVALE","facility","wwtp","POINT (37.383697 -79.72684)"
"VA0001554","HANESBRANDS INCORPORATED","facility","wwtp","POINT (36.775033 -80.263324)"
"VA0001589","RES DBA STEEL DYNAMICS ROANOKE BAR DIVISION","facility","wwtp","POINT (37.27251 -79.99861)"
"VA0001597","NORFOLK SOUTHERN RAILWAY CO - SHAFFERS CROSSING","facility","wwtp","POINT (37.282513 -79.976829)"
"VA0001678","APPAREL FABRICS PROPERTIES INC - HURT PLANT","facility","wwtp","POINT (37.09389 -79.30821)"
"VA0001767","PACTIV LLC-GROTTOES PLASTICS PLANT","facility","wwtp","POINT (38.25863 -78.8277)"
"VA0001872","JOINT BASIN CORPORATION - FAIRFAX TERMINAL COMPLEX","facility","wwtp","POINT (38.84781 -77.27795)"
"VA0001945","KINDER MORGAN SOUTHEAST TERMINALS LLC - NEWINGTON","facility","wwtp","POINT (38.734374 -77.191284)"
"VA0001961","ALMA PLANT","facility","wwtp","POINT (38.587847 -78.59135)"
"VA0001988","KINDER MORGAN SOUTHEAST TERMINALS LLC-NEWINGTON 2","facility","wwtp","POINT (38.73367 -77.1909)"
"VA0002071","DOMINION - POSSUM POINT POWER STATION","facility","wwtp","POINT (38.5391 -77.2786)"
"VA0002151","US MARINE CORPS - MCB QUANTICO - NREAB INDUSTRIAL","facility","wwtp","POINT (38.518351 -77.298272)"
"VA0002160","INVISTA - WAYNESBORO","facility","wwtp","POINT (38.061111 -78.883333)"
"VA0002178","MERCK SHARP & DOHME CORP - ELKTON PLANT","facility","wwtp","POINT (38.38433 -78.65199)"
"VA0002194","ACCUTEC BLADES INC","facility","wwtp","POINT (38.191062 -78.990422)"
"VA0002283","MOTIVA ENTERPRISES LLC - FAIRFAX","facility","wwtp","POINT (38.84724 -77.27281)"
"VA0002313","VPGC LLC-HINTON","facility","wwtp","POINT (38.4684 -78.976586)"
"VA0002402","FORMER GENICOM - WAYNESBORO FACILITY","facility","wwtp","POINT (38.089784 -78.871999)"
"VA0002585","FCWA - LORTON WATER TREATMENT PLANT","facility","wwtp","POINT (38.693388 -77.256377)"
"VA0002623","FOOD PROCESSORS WATER COOPERAT","facility","wwtp","POINT (38.6275 -78.783056)"
"VA0002631","PERCY MILLER WATER TREATMENT P","facility","wwtp","POINT (38.9931 -78.29659)"
"VA0002666","GOOSE CREEK WATER TREATMENT PL","facility","wwtp","POINT (39.047888 -77.520269)"
"VA0002674","HARRISONBURG WTP","facility","wwtp","POINT (38.45868 -78.9113)"
"VA0002771","MODINE MANUFACTURING CO - BUENA VISTA","facility","wwtp","POINT (37.725026 -79.360539)"
"VA0002780","THE SUSTAINABILITY PARK LLC","facility","wwtp","POINT (37.35376 -77.31651)"
"VA0002925","GRIFFIN PIPE PRODUCTS CO LLC - LYNCHBURG","facility","wwtp","POINT (37.420815 -79.140968)"
"VA0003018","PLAINS MARKETING LP YORKTOWN","facility","wwtp","POINT (37.21022 -76.45366)"
"VA0003026","GP BIG ISLAND LLC","facility","wwtp","POINT (37.532832 -79.355595)"
"VA0003077","DUPONT TEIJIN FILMS","facility","wwtp","POINT (37.350627 -77.291096)"
"VA0003115","WESTROCK CP LLC - WEST POINT","facility","wwtp","POINT (37.5392 -76.8053)"
"VA0003255","GEORGIA PACIFIC WOOD PRODUCTS LLC - JARRATT","facility","wwtp","POINT (36.818025 -77.481702)"
"VA0003263","J H MILES AND COMPANY INCORPORATED","facility","wwtp","POINT (36.858373 -76.306046)"
"VA0003344","CSX TRANSPORTATION INC - CLIFTON FORGE","facility","wwtp","POINT (37.81103 -79.83877)"
"VA0003387","BASF CORPORATION - PORTSMOUTH","facility","wwtp","POINT (36.86673 -76.347997)"
"VA0003409","NORFOLK SOUTHERN RAILWAY COMPANY - LAMBERTS POINT","facility","wwtp","POINT (36.8743 -76.30788)"
"VA0003433","SOLENIS LLC","facility","wwtp","POINT (36.6512 -76.999045)"
"VA0003450","RAIL OVER RIVER INDUSTRIAL PARK LLC","facility","wwtp","POINT (37.757472 -79.998472)"
"VA0003492","HERCULES LLC","facility","wwtp","POINT (37.291375 -77.281044)"
"VA0003646","WESTROCK VIRGINIA CORPORATION - COVINGTON","facility","wwtp","POINT (37.796355 -79.992817)"
"VA0003654","BASF CORPORATION - WILLIAMSBURG","facility","wwtp","POINT (37.191687 -76.617362)"
"VA0003697","BWXT NUCLEAR OPERATIONS GROUP INC","facility","wwtp","POINT (37.414554 -79.062335)"
"VA0003808","PERDUE FOODS LLC - ACCOMACK","facility","wwtp","POINT (37.736111 -75.656111)"
"VA0003867","OMEGA PROTEIN - REEDVILLE","facility","wwtp","POINT (37.829281 -76.277158)"
"VA0004031","TYSON FARMS INCORPORATED - GLEN ALLEN","facility","wwtp","POINT (37.697222 -77.5525)"
"VA0004049","TYSON FARMS INC - TEMPERANCEVILLE","facility","wwtp","POINT (37.885 -75.555278)"
"VA0004081","DOMINION - CHESAPEAKE ENERGY CENTER","facility","wwtp","POINT (36.7711 -76.3009)"
"VA0004090","SURRY POWER STATION AND GRAVEL NECK","facility","wwtp","POINT (37.1575 -76.6911)"
"VA0004103","DOMINION - YORKTOWN POWER STATION","facility","wwtp","POINT (37.21534 -76.46213)"
"VA0004138","DOMINION - BREMO POWER STATION","facility","wwtp","POINT (37.71175 -78.28784)"
"VA0004146","DOMINION - CHESTERFIELD POWER STATION","facility","wwtp","POINT (37.3821 -77.3779)"
"VA0004162","INTERNATIONAL PAPER - FRANKLIN MILL","facility","wwtp","POINT (36.67815 -76.91259)"
"VA0004189","ATLANTIC METROCAST INC","facility","wwtp","POINT (36.807316 -76.299629)"
"VA0004383","BAE SYSTEMS NORFOLK SHIP REPAIR INC","facility","wwtp","POINT (36.83376 -76.289175)"
"VA0004391","COLONNA MARINE LLC - COLONNA YACHTS","facility","wwtp","POINT (36.84315 -76.26041)"
"VA0004421","US NAVY - NAVAL STATION NORFOLK","facility","wwtp","POINT (36.94027 -76.30027)"
"VA0004448","PERDUE AGRIBUSINESS LLC - CHESAPEAKE","facility","wwtp","POINT (36.805019 -76.282745)"
"VA0004642","WESTROCK CP LLC - HOPEWELL","facility","wwtp","POINT (37.301954 -77.264664)"
"VA0004669","E I DU PONT DE NEMOURS AND COMPANY - SPRUANCE PLT","facility","wwtp","POINT (37.45093 -77.43415)"
"VA0004677","MOHAWK INDUSTRIES INC","facility","wwtp","POINT (37.636098 -79.446543)"
"VA0004774","AREVA INC","facility","wwtp","POINT (37.410554 -79.050029)"
"VA0004791","BONTEX INC","facility","wwtp","POINT (37.74116 -79.35858)"
"VA0004804","HUNTINGTON INGALLS INCORPORATED - NN SHIPBLDG DIV","facility","wwtp","POINT (36.990641 -76.432803)"
"VA0004880","VEOLIA JAMES RIVER PLANT","facility","wwtp","POINT (37.416944 -77.408889)"
"VA0005215","US NAVY - NORFOLK NAVAL SHIPYARD","facility","wwtp","POINT (36.82194 -76.29472)"
"VA0005266","US NAVY - NAVAL AIR STATION - OCEANA","facility","wwtp","POINT (36.811505 -76.024962)"
"VA0005291","ADVANSIX RESINS & CHEMICALS LLC","facility","wwtp","POINT (37.299074 -77.275759)"
"VA0005312","ADVANSIX RESINS AND CHEMICALS LLC - CHESTERFIELD","facility","wwtp","POINT (37.33963 -77.2884)"
"VA0005487","US NAVY - CRANEY ISLAND - FUEL","facility","wwtp","POINT (36.890426 -76.353555)"
"VA0005657","VDOT - HAMPTON ROADS BRIDGE TUNNEL I-64","facility","wwtp","POINT (37.01307 -76.32322)"
"VA0005720","MOTIVA ENTERPRISES LLC - RICHMOND TERMINAL","facility","wwtp","POINT (37.44545 -77.44038)"
"VA0005819","APPOMATTOX RIVER WATER AUTHORITY","facility","wwtp","POINT (37.225555 -77.519165)"
"VA0005827","BLACKSTONE WTP","facility","wwtp","POINT (37.042778 -77.948333)"
"VA0005835","VDOT - I-564 TUNNEL FACILITY","facility","wwtp","POINT (36.944444 -76.290833)"
"VA0005851","DOWNTOWN ELIZABETH RIVER TUNNEL","facility","wwtp","POINT (36.833333 -76.291667)"
"VA0005860","MIDTOWN ELIZABETH RIVER TUNNEL","facility","wwtp","POINT (36.861319 -76.308779)"
"VA0005975","NEWPORT NEWS CITY - HARWOODS MILL WATER TREATMENT","facility","wwtp","POINT (37.134362 -76.460702)"
"VA0006076","CLIFTON FORGE WATER TREATMENT PLANT","facility","wwtp","POINT (37.84578 -79.84699)"
"VA0006149","JAMES RIVER CORRECTION CENTER","facility","wwtp","POINT (37.634444 -77.828889)"
"VA0006203","CHESAPEAKE BAY BRIDGE AND TUNNEL DISTRICT","facility","wwtp","POINT (37.045833 -76.063056)"
"VA0006220","EMPORIA WTP","facility","wwtp","POINT (36.700975 -77.559382)"
"VA0006254","ADDISON EVANS WATER PRODUCTION AND LABORATORY","facility","wwtp","POINT (37.41467 -77.64376)"
"VA0006262","VCI LYNCHBURG FOUNDRY","facility","wwtp","POINT (37.402167 -79.058021)"
"VA0006301","PORTSMOUTH CITY - LAKE KILBY WATER TREATMENT FAC","facility","wwtp","POINT (36.73052 -76.6003)"
"VA0006335","NI RIVER WATER TREATMENT PLANT","facility","wwtp","POINT (38.242647 -77.598206)"
"VA0006408","GREIF RIVERVILLE LLC - FIBRE PLANT","facility","wwtp","POINT (37.5108 -78.9103)"
"VA0006483","GEORGIA PACIFIC WOOD PRODUCTS - EMPORIA - PLYWOOD","facility","wwtp","POINT (36.693746 -77.525916)"
"VA0006513","GRETNA TOWN - WATER TREATMENT PLANT","facility","wwtp","POINT (36.961155 -79.358676)"
"VA0020168","CLARKSVILLE WWTP","facility","wwtp","POINT (36.621574 -78.550806)"
"VA0020176","VICTORIA WEST SEWAGE TREATMENT PLANT","facility","wwtp","POINT (36.993505 -78.229925)"
"VA0020184","VICTORIA EAST SEWAGE TREATMENT PLANT","facility","wwtp","POINT (36.99305 -78.22406)"
"VA0020222","CHESTERFIELD COUNTY SCHOOLS GRANGE ELEM WWTP","facility","wwtp","POINT (37.38959 -77.76529)"
"VA0020249","APPOMATTOX TRICKLING FILTER PLANT","facility","wwtp","POINT (37.3445 -78.83366)"
"VA0020257","APPOMATTOX WATER RECLAMATION FACILITY","facility","wwtp","POINT (37.353927 -78.816076)"
"VA0020281","WYTHEVILLE WWTP","facility","wwtp","POINT (36.93402 -81.05815)"
"VA0020303","CREWE WWTP","facility","wwtp","POINT (37.17562 -78.12415)"
"VA0020311","STRASBURG STP","facility","wwtp","POINT (38.97743 -78.35444)"
"VA0020320","COWFORD RD WWTP","facility","wwtp","POINT (36.7692 -78.923)"
"VA0020346","EMPORIA WWTP","facility","wwtp","POINT (36.68048 -77.54162)"
"VA0020354","LAWRENCEVILLE WASTEWATER TREATMENT PLANT","facility","wwtp","POINT (36.7477 -77.83949)"
"VA0020362","MAPLE AVE WWTP","facility","wwtp","POINT (36.69558 -78.88)"
"VA0020451","ALTAVISTA TOWN - WASTEWATER TREATMENT PLANT","facility","wwtp","POINT (37.10922 -79.285)"
"VA0020460","VINT HILL FARMS STATION WWTP","facility","wwtp","POINT (38.738361 -77.693639)"
"VA0020508","EDINBURG STP","facility","wwtp","POINT (38.818833 -78.562016)"
"VA0020524","CHATHAM TOWN - SEWAGE TREATMEN","facility","wwtp","POINT (36.81234 -79.37736)"
"VA0020532","BERRYVILLE WWTP","facility","wwtp","POINT (39.13672 -77.95567)"
"VA0020630","DJJ BARRETT JUVENILE CORRECTIONAL CENTER","facility","wwtp","POINT (37.71208 -77.36052)"
"VA0020656","BEAUMONT JUVENILE CORRECTION CENTER","facility","wwtp","POINT (37.680833 -77.906944)"
"VA0020664","DEPARTMENT OF JUVENILE JUSTICE HANOVER FACILITY","facility","wwtp","POINT (37.75409 -77.34036)"
"VA0020672","DOC - APPALACHIAN MENS DETENTION CENTER","facility","wwtp","POINT (36.999722 -81.9275)"
"VA0020681","JAMES RIVER CORRECTION CENTER","facility","wwtp","POINT (37.634444 -77.828889)"
"VA0020699","DOC POWHATAN CORRECTIONAL CENTER","facility","wwtp","POINT (37.640484 -77.830959)"
"VA0020702","VIRGINIA CORRECTIONAL CENTER FOR WOMEN","facility","wwtp","POINT (37.67588 -77.88606)"
"VA0020729","VDOC - BLAND CORRECTIONAL CENTER STP","facility","wwtp","POINT (37.170398 -80.887523)"
"VA0020737","BOWLING GREEN WASTEWATER TREATMENT PLANT","facility","wwtp","POINT (38.04871 -77.35875)"
"VA0020745","LEBANON WWTP","facility","wwtp","POINT (36.911111 -82.040277)"
"VA0020761","JARRATT SEWAGE TREATMENT PLANT","facility","wwtp","POINT (36.804211 -77.474161)"
"VA0020788","KILMARNOCK WASTEWATER TREATMENT PLANT","facility","wwtp","POINT (37.7088 -76.37407)"
"VA0020818","BEDFORD COUNTY SCHOOLS - BODY","facility","wwtp","POINT (37.2251 -79.51758)"
"VA0020826","BEDFORD COUNTY SCHOOLS - NEW L","facility","wwtp","POINT (37.305992 -79.30561)"
"VA0020842","BEDFORD COUNTY SCHOOLS - STEWARTSVILLE ELEMENTARY","facility","wwtp","POINT (37.271159 -79.790263)"
"VA0020851","BEDFORD COUNTY SCHOOLS - OTTER RIVER ELEM SCHOOL","facility","wwtp","POINT (37.36521 -79.4343)"
"VA0020869","BEDFORD COUNTY SCHOOLS - THAXT","facility","wwtp","POINT (37.353507 -79.607177)"
"VA0020877","NORTHUMBERLAND FAMILY YMCA","facility","wwtp","POINT (37.918889 -76.483056)"
"VA0020940","BIG STONE GAP REGIONAL WWTP","facility","wwtp","POINT (36.856618 -82.800341)"
"VA0020974","HAMILTON SEWAGE TREATMENT PLANT","facility","wwtp","POINT (39.136835 -77.663843)"
"VA0020982","MIDDLETOWN STP","facility","wwtp","POINT (39.035016 -78.288436)"
"VA0020991","BUENA VISTA STP","facility","wwtp","POINT (37.72405 -79.3645)"
"VA0021016","CLEVELAND STP","facility","wwtp","POINT (36.938055 -82.162222)"
"VA0021041","RICH CREEK TOWN - SEWAGE TREAT","facility","wwtp","POINT (37.3831 -80.8253)"
"VA0021067","NAVAL SUPPORT FACILITY DAHLGREN","facility","wwtp","POINT (38.32666 -77.02694)"
"VA0021083","SCOTT COUNTY SCHOOLS - HILTON ELEMENTARY","facility","wwtp","POINT (36.653889 -82.463056)"
"VA0021105","GORDONSVILLE SEWAGE TREATMENT PLANT","facility","wwtp","POINT (38.12952 -78.1934)"
"VA0021113","NARROWS TOWN - SEWAGE TREATMENT PLANT","facility","wwtp","POINT (37.33347 -80.81005)"
"VA0021130","DAMASCUS WWTP","facility","wwtp","POINT (36.650874 -81.838346)"
"VA0021148","CENTRA ROCKBRIDGE RIVERMONT SCHOOL","facility","wwtp","POINT (37.899983 -79.298718)"
"VA0021172","WARRENTON TOWN SEWAGE TREATMENT PLANT","facility","wwtp","POINT (38.71584 -77.81612)"
"VA0021199","RICHLANDS REGIONAL WWTF","facility","wwtp","POINT (37.0914 -81.8325)"
"VA0021253","ONANCOCK TOWN - WASTE WATER TREATMENT PLANT","facility","wwtp","POINT (37.717132 -75.747799)"
"VA0021261","RUTHVILLE COMMUNITY CENTER WWTP","facility","wwtp","POINT (37.37398 -77.04689)"
"VA0021288","CAPE CHARLES TOWN - WASTEWATER TREATMENT PLANT","facility","wwtp","POINT (37.2628 -76.0157)"
"VA0021318","PAGE COUNTY HIGH SCHOOL AND MIDDLE SCHOOL STP","facility","wwtp","POINT (38.562962 -78.606303)"
"VA0021326","RURAL RETREAT WASTEWATER TREATMENT PLANT","facility","wwtp","POINT (36.892518 -81.25325)"
"VA0021342","VIRGINIA MUSEUM OF THE CIVIL WAR","facility","wwtp","POINT (38.663611 -78.674444)"
"VA0021385","ORANGE TOWN SEWAGE TREATMENT PLANT","facility","wwtp","POINT (38.261 -78.15161)"
"VA0021733","ARCOLA MONTESSORI SCHOOL AND D","facility","wwtp","POINT (38.942772 -77.566582)"
"VA0021750","LUCKETTS ELEMENTARY SCHOOL","facility","wwtp","POINT (39.213 -77.5353)"
"VA0021768","MECKLENBURG CO SCHOOLS - PARKVIEW HIGH SCHOOL","facility","wwtp","POINT (36.703419 -78.182635)"
"VA0021776","MECKLENBURG CO SCHOOLS BLUESTONE HIGH SCHOOL","facility","wwtp","POINT (36.70573 -78.49531)"
"VA0021849","MECKLENBURG CO SCHLS - PARK VIEW MIDDLE SCHOOL","facility","wwtp","POINT (36.68824 -78.19766)"
"VA0021857","MECKLENBURG CO SCHOOLS BLUESTONE MIDDLE","facility","wwtp","POINT (36.70939 -78.53997)"
"VA0021989","VIRGINIA GLASS PRODUCTS CORP","facility","wwtp","POINT (36.6261 -79.8511)"
"VA0022012","NORFOLK SOUTHERN RAILWAY CO - ANDOVER YARD","facility","wwtp","POINT (36.92263 -82.79624)"
"VA0022225","BUCHANAN TOWN - SEWAGE TREATMENT PLANT","facility","wwtp","POINT (37.52836 -79.66899)"
"VA0022241","BROOKNEAL TOWN - STAUNTON RIVER LAGOON","facility","wwtp","POINT (37.03889 -78.94161)"
"VA0022250","BROOKNEAL TOWN - FALLING RIVER LAGOON","facility","wwtp","POINT (37.051667 -78.9325)"
"VA0022322","MT SIDNEY WWTP","facility","wwtp","POINT (38.247778 -78.959444)"
"VA0022349","WEYERS CAVE WWTP","facility","wwtp","POINT (38.2978 -78.8825)"
"VA0022373","USCG STATION MILFORD HAVEN SEWAGE TREATMENT PLANT","facility","wwtp","POINT (37.48558 -76.30847)"
"VA0022390","BEDFORD WASTEWATER TREATMENT PLANT","facility","wwtp","POINT (37.333611 -79.506667)"
"VA0022471","RAPPAHANNOCK COUNTY ELEMENTARY SCHOOL","facility","wwtp","POINT (38.6901 -78.17744)"
"VA0022691","SOUTH BOSTON FOURSQUARE CHURCH","facility","wwtp","POINT (36.62821 -78.913972)"
"VA0022705","CLUSTER SPRINGS EARLY LEARNING CENTER","facility","wwtp","POINT (36.624133 -78.918005)"
"VA0022721","HALIFAX COUNTY SCHOOLS MEADVILLE ELEM","facility","wwtp","POINT (36.837179 -79.042903)"
"VA0022730","HALIFAX COUNTY SCHOOLS SYDNOR JENNINGS ELEM","facility","wwtp","POINT (36.924563 -79.013496)"
"VA0022748","HALIFAX COUNTY SCHOOLS CLAYS MILL ELEMENTARY","facility","wwtp","POINT (36.831944 -78.873889)"
"VA0022772","CLIFTON FORGE TOWN WASTE WATER","facility","wwtp","POINT (37.81334 -79.81571)"
"VA0022802","BASHAM SIMMS WASTEWATER FACILITY","facility","wwtp","POINT (39.12141 -77.71092)"
"VA0022845","RAPIDAN SERVICE AUTHORITY - MADISON POTW","facility","wwtp","POINT (38.38787 -78.24016)"
"VA0022853","NEW MARKET STP","facility","wwtp","POINT (38.65426 -78.68915)"
"VA0022934","SOUTHSIDE ELEMENTARY SCHOOL","facility","wwtp","POINT (37.13067 -77.53591)"
"VA0022985","STUART TOWN - WASTE WATER TREATMENT PLANT","facility","wwtp","POINT (36.632415 -80.254756)"
"VA0022993","USDA - FOREST SERVICE - GRINDSTONE RECREATION AREA","facility","wwtp","POINT (36.811341 -81.422673)"
"VA0023027","FLATWOODS JOB CORPS CIVILIAN CONSERVATION CTR STP","facility","wwtp","POINT (36.8956 -82.460507)"
"VA0023078","VDOT - ROUTE 13 INFORMATION CE","facility","wwtp","POINT (37.989722 -75.535556)"
"VA0023108","VDOT INTERSTATE 64 GOOCHLAND REST AREA","facility","wwtp","POINT (37.704444 -77.766111)"
"VA0023141","VDOT I81 REST AREA - BOTETOURT","facility","wwtp","POINT (37.46915 -79.81208)"
"VA0023183","LOVETTSVILLE TOWN WASTEWATER TREATMENT FACILITY","facility","wwtp","POINT (39.28172 -77.64911)"
"VA0023272","TRANSMONTAIGNE OPERATING COMPANY, LP - CHESAPEAKE","facility","wwtp","POINT (36.81661 -76.28381)"
"VA0023281","MONTEREY STP","facility","wwtp","POINT (38.414977 -79.573046)"
"VA0023299","GUNSTON ELEMENTARY SCHOOL","facility","wwtp","POINT (38.68489 -77.20874)"
"VA0023329","DOC - CAROLINE CORRECTIONAL UNIT 2","facility","wwtp","POINT (37.833192 -77.331943)"
"VA0023345","DOC BASKERVILLE CORRECTIONAL UNIT","facility","wwtp","POINT (36.723334 -78.302871)"
"VA0023370","DOC - WHITE POST CORRECTIONAL UNIT 7","facility","wwtp","POINT (39.0531 -78.13846)"
"VA0023396","DOC RUSTBURG CORRECTIONAL UNIT 9","facility","wwtp","POINT (37.26768 -79.0706)"
"VA0023400","DOC - COLD SPRINGS CORRECTIONAL UNIT 10","facility","wwtp","POINT (37.991 -79.15454)"
"VA0023418","DOC - FLUVANNA CORRECTIONAL CENTER FOR WOMEN","facility","wwtp","POINT (37.984788 -78.270288)"
"VA0023426","DOC CENTRAL VIRGINIA CORRECTIONAL CENTER FOR WOMEN","facility","wwtp","POINT (37.40349 -77.5613)"
"VA0023442","DOC CHATHAM DIVERSION CENTER","facility","wwtp","POINT (36.80472 -79.42858)"
"VA0023469","HAYNESVILLE CORRECTIONAL CENTER","facility","wwtp","POINT (37.953623 -76.676169)"
"VA0023477","DOC - WISE CORRECTIONAL UNIT 18 STP","facility","wwtp","POINT (36.918333 -82.463611)"
"VA0023540","DOC DINWIDDIE FIELD UNIT 27 WW","facility","wwtp","POINT (37.171988 -77.669582)"
"VA0023558","DOC - PATRICK HENRY CORRECTIONAL UNIT 28","facility","wwtp","POINT (36.622222 -79.952222)"
"VA0023582","DOC - TAZEWELL CORRECTIONAL FIELD UNIT 31","facility","wwtp","POINT (37.23743 -81.2646)"
"VA0023817","NORTHAMPTON COUNTY FACILITIES BUILDING","facility","wwtp","POINT (37.40323 -75.91096)"
"VA0023825","SHENANDOAH STP","facility","wwtp","POINT (38.485833 -78.632222)"
"VA0023892","BREAKS INTERSTATE PARK CAMP 1 STP","facility","wwtp","POINT (37.288333 -82.298333)"
"VA0023914","HAMILTON HOLMES WASTEWATER TREATMENT PLANT","facility","wwtp","POINT (37.695833 -77.0375)"
"VA0023922","FRANKLIN CITY - WASTEWATER TREATMENT PLANT","facility","wwtp","POINT (36.673853 -76.918429)"
"VA0023965","CAMPBELL CO UTIL AND SERV AUTH - RUSTBURG","facility","wwtp","POINT (37.273056 -79.099167)"
"VA0024031","SHAWSVILLE SEWAGE TREATMENT PLANT","facility","wwtp","POINT (37.1803 -80.2438)"
"VA0024040","RINER WWTP","facility","wwtp","POINT (37.058637 -80.441416)"
"VA0024058","KEYSVILLE WWTP","facility","wwtp","POINT (37.038333 -78.492778)"
"VA0024066","CHRISTCHURCH SCHOOL","facility","wwtp","POINT (37.6119 -76.5489)"
"VA0024074","WHITE'S TRUCK STOP INC","facility","wwtp","POINT (37.954097 -79.298528)"
"VA0024101","NATURAL BRIDGE OF VIRGINIA","facility","wwtp","POINT (37.631986 -79.543484)"
"VA0024112","FOXCROFT SCHOOL","facility","wwtp","POINT (39.0097 -77.75433)"
"VA0024121","THE MADEIRA SCHOOL","facility","wwtp","POINT (38.96506 -77.23458)"
"VA0024147","FORK UNION MILITARY ACADEMY","facility","wwtp","POINT (37.76195 -78.26267)"
"VA0024163","MARY MOTHER OF THE CHURCH ABBEY STP","facility","wwtp","POINT (37.578611 -77.675833)"
"VA0024244","US NAVY - NAVAL SUPPORT ACT HAMPTON ROADS NW ANNEX","facility","wwtp","POINT (36.567814 -76.248748)"
"VA0024406","BIG MEADOWS STP","facility","wwtp","POINT (38.66105 -78.46527)"
"VA0024414","LOFT MOUNTAIN STP","facility","wwtp","POINT (38.6654 -78.4595)"
"VA0024422","SKYLAND STP","facility","wwtp","POINT (38.66105 -78.46527)"
"VA0024431","MATHEWS ARM STP","facility","wwtp","POINT (38.66105 -78.46527)"
"VA0024449","THORNTON GAP WWTP","facility","wwtp","POINT (38.66105 -78.46527)"
"VA0024457","US NASA - WALLOPS FLIGHT FACILITY - MAIN BASE","facility","wwtp","POINT (37.93581 -75.469901)"
"VA0024481","UNITED COMPANY STP","facility","wwtp","POINT (36.603994 -82.004281)"
"VA0024490","EDGEMONT CENTER INCORPORATED STP","facility","wwtp","POINT (36.94453 -81.04657)"
"VA0024678","VIRGINIA AMERICAN WATER PRINCE WILLIAM - SECTION 8","facility","wwtp","POINT (38.646133 -77.34706)"
"VA0024724","VIRGINIA AMERICAN WATER PRINCE WILLIAM - SECTION 1","facility","wwtp","POINT (38.62768 -77.31043)"
"VA0024732","MASSANUTTEN PUBLIC SERVICE CORPORATION STP","facility","wwtp","POINT (38.40488 -78.71682)"
"VA0024741","US NASA - LANGLEY RESEARCH CENTER","facility","wwtp","POINT (37.06999 -76.35861)"
"VA0024759","MOUNT WEATHER EMERGENCY OPERATIONS CENTER","facility","wwtp","POINT (39.06444 -77.88855)"
"VA0024775","MIDDLEBURG WASTEWATER TREATMENT PLANT","facility","wwtp","POINT (38.971563 -77.728198)"
"VA0024899","ASHLAND WWTP","facility","wwtp","POINT (37.77145 -77.47916)"
"VA0024945","LAKE MONTICELLO STP","facility","wwtp","POINT (37.91735 -78.29935)"
"VA0024970","LYNCHBURG REGIONAL WASTEWATER TREATMENT PLANT","facility","wwtp","POINT (37.395561 -79.113797)"
