"OutfallID"	"Year"	"VPDES.Facility.ID"	"VPDES.Name"	"Fac.Lat"	"Fac.Long"	"Outfall_Type"	"Outfall.Long"	"Outfall.Lat"	"Measured_Effluent"	"Discharges_MGD"	"Date"	"County"	"Permit_Type"	"Waterbody"	"Use.Type"	"Fuel_Type"	"Gen_Cap_MW"	"Mon_Reported"
"11"	"DC0022004001"	2010	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	136	136	2010-09-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"12"	"DC0022004001"	2010	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	1	1	2010-10-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"13"	"DC0022004001"	2011	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	33	33	2011-05-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"14"	"DC0022004001"	2011	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	94	94	2011-06-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"15"	"DC0022004001"	2011	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	160	160	2011-10-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"16"	"DC0022004001"	2011	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2011-11-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"17"	"DC0022004001"	2011	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0.042	0.042	2011-12-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"18"	"DC0022004001"	2011	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	33	33	2011-04-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"19"	"DC0022004001"	2011	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	105	105	2011-02-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"20"	"DC0022004001"	2011	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	73	73	2011-08-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"21"	"DC0022004001"	2011	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	202	202	2011-09-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"22"	"DC0022004001"	2011	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	220	220	2011-07-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"23"	"DC0022004001"	2011	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	25	25	2011-03-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"24"	"DC0022004001"	2011	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	221	221	2011-01-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"25"	"DC0022004001"	2012	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	153	153	2012-08-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"26"	"DC0022004001"	2012	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2012-11-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"27"	"DC0022004001"	2012	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2012-12-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"28"	"DC0022004001"	2012	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	241	241	2012-09-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"29"	"DC0022004001"	2012	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2012-10-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"30"	"DC0022004001"	2012	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	151	151	2012-02-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"31"	"DC0022004001"	2012	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	78	78	2012-06-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"32"	"DC0022004001"	2012	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	173	173	2012-04-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"33"	"DC0022004001"	2012	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	135	135	2012-01-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"34"	"DC0022004001"	2012	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	193	193	2012-05-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"35"	"DC0022004001"	2012	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	243	243	2012-07-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"36"	"DC0022004001"	2012	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	117	117	2012-03-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"37"	"DC0022004001"	2013	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2013-10-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"38"	"DC0022004001"	2013	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2013-07-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"39"	"DC0022004001"	2013	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2013-08-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"40"	"DC0022004001"	2013	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2013-09-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"41"	"DC0022004001"	2013	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2013-11-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"42"	"DC0022004001"	2013	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2013-12-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"43"	"DC0022004001"	2013	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2013-03-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"44"	"DC0022004001"	2013	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2013-04-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"45"	"DC0022004001"	2013	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2013-01-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"46"	"DC0022004001"	2013	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2013-02-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"47"	"DC0022004001"	2013	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2013-05-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"48"	"DC0022004001"	2013	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2013-06-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"49"	"DC0022004001"	2014	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2014-11-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"50"	"DC0022004001"	2014	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2014-09-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"51"	"DC0022004001"	2014	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2014-10-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"52"	"DC0022004001"	2014	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2014-02-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"53"	"DC0022004001"	2014	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2014-08-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"54"	"DC0022004001"	2014	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2014-01-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"55"	"DC0022004001"	2014	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2014-05-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"56"	"DC0022004001"	2014	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2014-03-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"57"	"DC0022004001"	2014	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2014-12-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"58"	"DC0022004001"	2014	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2014-04-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"59"	"DC0022004001"	2014	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2014-06-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"60"	"DC0022004001"	2014	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2014-07-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"61"	"DC0022004001"	2015	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2015-07-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"62"	"DC0022004001"	2015	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2015-08-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"63"	"DC0022004001"	2015	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2015-02-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"64"	"DC0022004001"	2015	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2015-03-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"65"	"DC0022004001"	2015	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2015-04-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"66"	"DC0022004001"	2015	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2015-05-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"67"	"DC0022004001"	2015	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2015-06-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"68"	"DC0022004001"	2015	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2015-11-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"69"	"DC0022004001"	2015	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2015-12-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"70"	"DC0022004001"	2015	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2015-09-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"71"	"DC0022004001"	2015	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2015-10-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"72"	"DC0022004001"	2015	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2015-01-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"73"	"DC0022004001"	2016	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2016-06-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"74"	"DC0022004001"	2016	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2016-01-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"75"	"DC0022004001"	2016	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2016-02-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"76"	"DC0022004001"	2016	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2016-05-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"77"	"DC0022004001"	2016	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2016-04-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"78"	"DC0022004001"	2016	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2016-10-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"79"	"DC0022004001"	2016	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2016-07-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"80"	"DC0022004001"	2016	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2016-03-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"81"	"DC0022004001"	2016	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2016-09-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"82"	"DC0022004001"	2016	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2016-11-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"83"	"DC0022004001"	2016	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2016-08-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"84"	"DC0022004001"	2016	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	0	0	2016-12-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"85"	"VA0000281001"	2010	"VA0000281"	"NANOCHEMONICS HOLDINGS LLC"	37.048018	-80.785698	"EXO"	-80.785698	37.048018	0.374	0.374	2010-01-01	"Pulaski"	"NPDES Individual Permit"	"Peak Creek"	"Industrial"	NA	NA	12
"86"	"VA0000281001"	2010	"VA0000281"	"NANOCHEMONICS HOLDINGS LLC"	37.048018	-80.785698	"EXO"	-80.785698	37.048018	0.099	0.099	2010-02-01	"Pulaski"	"NPDES Individual Permit"	"Peak Creek"	"Industrial"	NA	NA	12
"87"	"VA0000281001"	2010	"VA0000281"	"NANOCHEMONICS HOLDINGS LLC"	37.048018	-80.785698	"EXO"	-80.785698	37.048018	0.046	0.046	2010-03-01	"Pulaski"	"NPDES Individual Permit"	"Peak Creek"	"Industrial"	NA	NA	12
"88"	"VA0000281001"	2010	"VA0000281"	"NANOCHEMONICS HOLDINGS LLC"	37.048018	-80.785698	"EXO"	-80.785698	37.048018	0.158	0.158	2010-04-01	"Pulaski"	"NPDES Individual Permit"	"Peak Creek"	"Industrial"	NA	NA	12
"89"	"VA0000281001"	2010	"VA0000281"	"NANOCHEMONICS HOLDINGS LLC"	37.048018	-80.785698	"EXO"	-80.785698	37.048018	0.218	0.218	2010-05-01	"Pulaski"	"NPDES Individual Permit"	"Peak Creek"	"Industrial"	NA	NA	12
"90"	"VA0000281001"	2010	"VA0000281"	"NANOCHEMONICS HOLDINGS LLC"	37.048018	-80.785698	"EXO"	-80.785698	37.048018	0.243	0.243	2010-06-01	"Pulaski"	"NPDES Individual Permit"	"Peak Creek"	"Industrial"	NA	NA	12
"91"	"VA0000281001"	2010	"VA0000281"	"NANOCHEMONICS HOLDINGS LLC"	37.048018	-80.785698	"EXO"	-80.785698	37.048018	0.201	0.201	2010-07-01	"Pulaski"	"NPDES Individual Permit"	"Peak Creek"	"Industrial"	NA	NA	12
"92"	"VA0000281001"	2010	"VA0000281"	"NANOCHEMONICS HOLDINGS LLC"	37.048018	-80.785698	"EXO"	-80.785698	37.048018	NA	NA	2010-08-01	"Pulaski"	"NPDES Individual Permit"	"Peak Creek"	"Industrial"	NA	NA	12
"93"	"VA0000281001"	2010	"VA0000281"	"NANOCHEMONICS HOLDINGS LLC"	37.048018	-80.785698	"EXO"	-80.785698	37.048018	NA	NA	2010-09-01	"Pulaski"	"NPDES Individual Permit"	"Peak Creek"	"Industrial"	NA	NA	12
"94"	"VA0000281001"	2010	"VA0000281"	"NANOCHEMONICS HOLDINGS LLC"	37.048018	-80.785698	"EXO"	-80.785698	37.048018	NA	NA	2010-10-01	"Pulaski"	"NPDES Individual Permit"	"Peak Creek"	"Industrial"	NA	NA	12
"95"	"VA0000281001"	2010	"VA0000281"	"NANOCHEMONICS HOLDINGS LLC"	37.048018	-80.785698	"EXO"	-80.785698	37.048018	NA	NA	2010-11-01	"Pulaski"	"NPDES Individual Permit"	"Peak Creek"	"Industrial"	NA	NA	12
"96"	"VA0000281001"	2010	"VA0000281"	"NANOCHEMONICS HOLDINGS LLC"	37.048018	-80.785698	"EXO"	-80.785698	37.048018	NA	NA	2010-12-01	"Pulaski"	"NPDES Individual Permit"	"Peak Creek"	"Industrial"	NA	NA	12
"97"	"VA0000281001"	2011	"VA0000281"	"NANOCHEMONICS HOLDINGS LLC"	37.048018	-80.785698	"EXO"	-80.785698	37.048018	NA	NA	2011-01-01	"Pulaski"	"NPDES Individual Permit"	"Peak Creek"	"Industrial"	NA	NA	12
"98"	"VA0000281001"	2011	"VA0000281"	"NANOCHEMONICS HOLDINGS LLC"	37.048018	-80.785698	"EXO"	-80.785698	37.048018	NA	NA	2011-02-01	"Pulaski"	"NPDES Individual Permit"	"Peak Creek"	"Industrial"	NA	NA	12
"99"	"VA0000281001"	2011	"VA0000281"	"NANOCHEMONICS HOLDINGS LLC"	37.048018	-80.785698	"EXO"	-80.785698	37.048018	NA	NA	2011-03-01	"Pulaski"	"NPDES Individual Permit"	"Peak Creek"	"Industrial"	NA	NA	12
"100"	"VA0000281001"	2011	"VA0000281"	"NANOCHEMONICS HOLDINGS LLC"	37.048018	-80.785698	"EXO"	-80.785698	37.048018	NA	NA	2011-04-01	"Pulaski"	"NPDES Individual Permit"	"Peak Creek"	"Industrial"	NA	NA	12
"101"	"VA0000281001"	2011	"VA0000281"	"NANOCHEMONICS HOLDINGS LLC"	37.048018	-80.785698	"EXO"	-80.785698	37.048018	NA	NA	2011-05-01	"Pulaski"	"NPDES Individual Permit"	"Peak Creek"	"Industrial"	NA	NA	12
"102"	"VA0000281001"	2011	"VA0000281"	"NANOCHEMONICS HOLDINGS LLC"	37.048018	-80.785698	"EXO"	-80.785698	37.048018	0	0	2011-12-01	"Pulaski"	"NPDES Individual Permit"	"Peak Creek"	"Industrial"	NA	NA	12
"103"	"VA0000281001"	2011	"VA0000281"	"NANOCHEMONICS HOLDINGS LLC"	37.048018	-80.785698	"EXO"	-80.785698	37.048018	0	0	2011-11-01	"Pulaski"	"NPDES Individual Permit"	"Peak Creek"	"Industrial"	NA	NA	12
