"bundle","name","ftype","hydrocode","fstatus","wkt_geom"
"facility","ALEXANDRIA CITY SANITARY AUTHO","unknown","echo_VAL025160","inactive","POINT (38.7989 -77.0606)"
"facility","ALEXANDRIA COMBINED SEW SYSTM","unknown","echo_VAL087068","inactive","POINT (38.80456 -77.04303)"
"facility","ALEXANDRIA COMBINED SEWER SYSTEM","public water supply","echo_VA0087068","inactive","POINT (38.80456 -77.04303)"
"facility","ALEXANDRIA RENEW ENTERPRISES WWTP","wwtp","echo_VAN010059","inactive","POINT (38.7989 -77.0606)"
"facility","ALEXANDRIA RENEW ENTERPRISES WWTP","wwtp","echo_VA0025160","active","POINT (38.7989 -77.0606)"
"facility","ALLEGHANY CO - LOWER JACKSON RIVER REGIONAL WWTP","wwtp","echo_VA0090671","active","POINT (37.79264 -79.78361)"
"facility","ALLEGHANY CO - LOWER JACKSON RIVER REGIONAL WWTP","wwtp","echo_VAL090671","inactive","POINT (37.793175 -79.886469)"
"facility","ALLEGHANY COUNTY","municipal","echo_VAU000005","inactive","POINT (37.107212 -81.110882)"
"facility","ALLEGHANY COUNTY - AGGREGATE NUTRIENT DISCHARGE","municipal","echo_VAN040069","inactive","POINT (37.793175 -79.886469)"
"facility","ALLEGHANY COUNTY - LOW MOOR WWTP","wwtp","echo_VA0027979","active","POINT (37.107212 -81.110882)"
"facility","ALLIED CONCRETE","industrial","echo_VAG110188","inactive","POINT (37.107212 -81.110882)"
"facility","ALLIED CONCRETE CO.","industrial","echo_VAG110065","inactive","POINT (37.107212 -81.110882)"
"facility","ALLIED CONCRETE COMPANY - CHARLOTTESVILLE","commercial","echo_VAG110064","inactive","POINT (38.03966 -78.48071)"
"facility","ALLIED CONCRETE PROD.","industrial","echo_VAG114034","inactive","POINT (36.68538 -77.50651)"
"facility","ALMA PLANT","manufacturing","echo_VAN010008","inactive","POINT (38.589166 -78.5625)"
"facility","ALMA PLANT","manufacturing","echo_VA0001961","active","POINT (38.587847 -78.59135)"
"facility","ALTAVISTA TOWN - WASTEWATER TREATMENT PLANT","wwtp","echo_VA0020451","active","POINT (37.10922 -79.285)"
"facility","ALTIVISTA  STP","wwtp","echo_VAL020451","inactive","POINT (37.150833 -79.242222)"
"facility","AMELIA CH SAN DIST - AGGREGATE NUTRIENT DISCHARGE","unknown","echo_VAN040105","inactive","POINT (37.337722 -77.933833)"
"facility","AMELIA COURTHOUSE SANITARY DISTRICT STP","wwtp","echo_VAL091707","inactive","POINT (37.107212 -81.110882)"
"facility","AMELIA COURTHOUSE SANITARY DISTRICT STP - NIBBS CR","wwtp","echo_VA0086681","active","POINT (37.357225 -77.996917)"
"facility","AMELIA COURTHOUSE SANITARY DISTRICT STP-SMACKS CR","wwtp","echo_VA0091707","active","POINT (37.337722 -77.933833)"
"facility","AMELIA LUMBER CO., INC","industrial","echo_VAR140069","inactive","POINT (37.33557 -77.991602)"
"facility","AMELIA LUMBER COMPANY INCORPORATED","commercial","echo_VA0091979","inactive","POINT (37.3356 -77.99244)"
"facility","AMERICAN ELECTRIC POWER","fossilpower","echo_VAU001613","inactive","POINT (37.369 -79.16726)"
"facility","AMERICAN ELECTRIC POWER - CLINCH RIVER PLANT","fossilpower","echo_VA0001015","active","POINT (36.990541 -82.145269)"
"facility","AMERICAN ELECTRIC POWER - LEESVILLE HYDRO PLANT","fossilpower","echo_VA0087106","active","POINT (37.092222 -79.4025)"
"facility","AMERICAN ELECTRIC POWER - NIAGARA HYDRO PLANT","fossilpower","echo_VA0087092","active","POINT (37.25519 -79.87234)"
"facility","AMERICAN ELECTRIC POWER-SMITH MOUNTAIN HYDRO PLANT","fossilpower","echo_VA0088765","inactive","POINT (37.03629 -79.52985)"
"facility","AMERICAN STONE","unknown","echo_VAU001600","inactive","POINT (37.107212 -81.110882)"
"facility","AMERICAN WOODMARK","industrial","echo_VAR130015","inactive","POINT (38.25164 -78.11126)"
"facility","AMHERST CO SERVICE AUTH-IVANHOE FOREST SUB","unknown","echo_VA0063657","active","POINT (37.47933 -79.13256)"
"facility","AMHERST CO SERVICE AUTHORITY WESTBRIAR SUBDIVISION","municipal","echo_VA0082546","active","POINT (37.48593 -79.13189)"
"facility","AMHERST COUNTY LANDFILL PERMIT NUMBER 181","municipal","echo_VA0088684","active","POINT (37.578056 -78.974444)"
"facility","AMHERST MOTORS","industrial","echo_VAU001658","inactive","POINT (37.107212 -81.110882)"
"facility","AMPRO SHIPYARD","unknown","echo_VA0089303","inactive","POINT (37.660836 -76.440628)"
"facility","ANCHOR SALES, INC.","commercial","echo_VAU001687","inactive","POINT (37.107212 -81.110882)"
"facility","ANDERSON LAWN & GARDEN","unknown","echo_VAU001671","inactive","POINT (37.07532 -79.91165)"
"facility","ANDERSON LUMBER, INC","industrial","echo_VAR050577","inactive","POINT (37.334 -77.98876)"
"facility","ANDROS FOODS NORTH AMERICA","unknown","echo_VA0083054","active","POINT (38.76659 -78.6205)"
"facility","ANDY GUEST SHENANDOAH RIVER STATE PARK STP","wwtp","echo_VA0092070","active","POINT (38.843419 -78.300977)"
"facility","APAC","unknown","echo_VAR150067","inactive","POINT (38.75019 -77.53914)"
"facility","APAC MANASSAS","unknown","echo_VAR050901","inactive","POINT (38.75019 -77.53914)"
"facility","APCO - GLEN LYN","unknown","echo_VA0000370","active","POINT (37.37039 -80.8616)"
"facility","APEX OIL COMPANY - CHESAPEAKE TERMINAL DIVISION","commercial","echo_VA0053473","active","POINT (36.80443 -76.28709)"
"facility","APPALACHIA ELEMENTARY SCHOOL STP","wwtp","echo_VA0060798","active","POINT (36.924156 -82.746412)"
"facility","APPALACHIA WTP","wwtp","echo_VA0052337","inactive","POINT (36.901667 -82.753611)"
"facility","APPAREL AND ADVANCED TEXTILES LLC - WAYNESBORO","commercial","echo_VA0002160","active","POINT (38.061111 -78.883333)"
"facility","APPAREL AND ADVANCED TEXTILES LLC - WAYNESBORO","commercial","echo_VAN010050","inactive","POINT (38.061111 -78.883333)"
"facility","APPAREL FABRICS PROPERTIES INC - HURT PLANT","commercial","echo_VA0001678","inactive","POINT (37.09389 -79.30821)"
"facility","APPLE MOUNTAIN EXXON STP","wwtp","echo_VA0089958","active","POINT (38.91313 -78.0996)"
"facility","APPLEBEE'S RESTURANT","unknown","echo_VAU001634","inactive","POINT (37.107212 -81.110882)"
"facility","APPOMATTOX COUNTY LANDFILL 86","municipal","echo_VA0089486","active","POINT (37.379035 -78.808175)"
"facility","APPOMATTOX RIVER WATER AUTHORITY","municipal","echo_VA0005819","active","POINT (37.225555 -77.519165)"
"facility","APPOMATTOX TRICKLING FILTER PLANT","manufacturing","echo_VA0020249","active","POINT (37.3445 -78.83366)"
"facility","APPOMATTOX WATER RECLAMATION FACILITY","wwtp","echo_VA0020257","active","POINT (37.353927 -78.816076)"
"facility","AQUIA WASTEWATER TREATMENT PLANT","wwtp","echo_VA0060968","active","POINT (38.44636 -77.39547)"
"facility","AQUIA WASTEWATER TREATMENT PLANT","wwtp","echo_VAN010023","inactive","POINT (38.44636 -77.39547)"
"facility","AQUIA WWTP","wwtp","echo_VAL060968","inactive","POINT (38.44636 -77.39547)"
"facility","ARBOR TECH FOREST PRODUCTS","industrial","echo_VAR050690","inactive","POINT (37.070866 -77.943305)"
"facility","ARC TERMINALS HOLDINGS LLC","commercial","echo_VA0058572","active","POINT (36.821448 -76.279362)"
"facility","ARCOLA MONTESSORI SCHOOL AND D","municipal","echo_VA0021733","inactive","POINT (38.942772 -77.566582)"
"facility","AREVA INC","unknown","echo_VA0004774","active","POINT (37.410554 -79.050029)"
"facility","ARKERS AUTO SALVAGE","unknown","echo_VAU001584","inactive","POINT (37.107212 -81.110882)"
"facility","ARLINGTON COUNTY MS4","municipal","echo_VA0088579","inactive","POINT (38.8439 -77.05692)"
"facility","ARLINGTON COUNTY WATER POLL.","municipal","echo_VAL025143","inactive","POINT (38.84377 -77.0567)"
"facility","ARLINGTON COUNTY WATER POLLUTION CONTROL FACILITY","wwtp","echo_VAN010021","inactive","POINT (38.8439 -77.05692)"
"facility","ARLINGTON COUNTY WATER POLLUTION CONTROL FACILITY","wwtp","echo_VA0025143","active","POINT (38.8439 -77.05692)"
"facility","ARLINGTON NATIONAL CEMETERY","unknown","echo_VAU001754","inactive","POINT (38.883559 -77.065945)"
"facility","ASAL TIE & LUMBER CO., INC","industrial","echo_VAU001579","inactive","POINT (36.794995 -78.788562)"
"facility","ASHBROOK VILLAGE","municipal","echo_VAR101072","inactive","POINT (39.05897 -77.47209)"
"facility","ASHBY SUBDIVISION WATER SUPPLY","unknown","echo_VA0088692","inactive","POINT (36.93214 -76.52956)"
"facility","ASHBY WATER TREATMENT PLANT","wwtp","echo_VA0092631","inactive","POINT (38.21171 -79.19406)"
"facility","ASHLAND WWTP","wwtp","echo_VA0024899","active","POINT (37.77145 -77.47916)"
"facility","ASHLAND WWTP","wwtp","echo_VAL024899","inactive","POINT (37.77145 -77.47916)"
"facility","ASPHALT EMULSION, INC","unknown","echo_VAU001551","inactive","POINT (37.555166 -77.428926)"
"facility","ATLANTIC EQUIPMENT","unknown","echo_VAU001555","inactive","POINT (38.86157 -78.51636)"
"facility","ATLANTIC METROCAST INC","unknown","echo_VA0004189","inactive","POINT (36.807316 -76.299629)"
"facility","ATLANTIC POLE VIRGINIA LLC DBA ATLANTIC POLE & PIL","commercial","echo_VA0059056","inactive","POINT (36.62212 -77.1421)"
"facility","ATLANTIC RESEARCH CORPORATION","commercial","echo_VA0087700","inactive","POINT (38.78827 -77.58546)"
"facility","ATLANTIC WASTE DISPOSAL INC","unknown","echo_VA0092797","inactive","POINT (37.061279 -77.177106)"
"facility","ATTKISSON TRUCK & EQUIPMENT","unknown","echo_VAU001621","inactive","POINT (37.107212 -81.110882)"
"facility","AUGUSTA CNTY SVC AUTH AGGREGATE NUTRIENT DISCHARGE","unknown","echo_VAN010092","inactive","POINT (38.18894 -78.97262)"
"facility","AUGUSTA CO SER AUTH-STAUNTON","unknown","echo_VAL022306","inactive","POINT (37.107212 -81.110882)"
"facility","AUGUSTA CO SERVICE AUTH,WYERS","unknown","echo_VAL022349","inactive","POINT (38.297777 -78.8825)"
"facility","AUGUSTA CO.SERVICE AUTH.MT.SID","unknown","echo_VAL022322","inactive","POINT (38.247778 -78.959444)"
"facility","AUGUSTA COUNTY SERVICE AUTH.-NEW HOPE","municipal","echo_VAL062481","inactive","POINT (38.21492 -78.90942)"
"facility","AUGUSTA LUMBER - NORTH GARDEN","industrial","echo_VAU001858","inactive","POINT (37.94174 -78.636308)"
"facility","AUGUSTA LUMBER CO","industrial","echo_VAR160060","inactive","POINT (38.10871 -79.07332)"
"facility","AUGUSTA LUMBER DIVISION - WEST POINT","industrial","echo_VA0090433","active","POINT (37.57555 -76.84222)"
"facility","AUGUSTA SPRINGS WTP","wwtp","echo_VA0090395","inactive","POINT (38.105 -79.320833)"
"facility","AUSTINVILLE LIMESTONE COMPANY INCORPORATED","commercial","echo_VA0058424","active","POINT (36.848675 -80.917276)"
"facility","AUSTINVILLE WATER TREATMENT PL","wwtp","echo_VA0091855","inactive","POINT (36.852338 -80.909683)"
"facility","AUTO SALVAGE COMPANY","commercial","echo_VAU000028","inactive","POINT (37.107212 -81.110882)"
"facility","B & B AUTO SALVAGE","unknown","echo_VAU000036","inactive","POINT (37.107212 -81.110882)"
"facility","BAE SYSTEMS NORFOLK SHIP REPAIR INC","unknown","echo_VA0004383","active","POINT (36.827032 -76.285764)"
"facility","BASF CORPORATION - PORTSMOUTH","commercial","echo_VA0003387","inactive","POINT (36.86673 -76.347997)"
"facility","BASF CORPORATION - SUFFOLK","commercial","echo_VA0058254","active","POINT (36.77736 -76.54321)"
"facility","BASF CORPORATION - WILLIAMSBURG","commercial","echo_VA0003654","inactive","POINT (37.191687 -76.617362)"
"facility","BASHAM SIMMS WASTEWATER FACILITY","wwtp","echo_VAN010016","inactive","POINT (39.12141 -77.71092)"
"facility","BASHAM SIMMS WASTEWATER FACILITY","wwtp","echo_VA0022802","active","POINT (39.12141 -77.71092)"
"facility","BASSETT MIRROR COMPANY INC -  PHILPOTT PLANT","commercial","echo_VA0086665","active","POINT (36.78999 -80.0045)"
"facility","BASTIAN WWTP","wwtp","echo_VA0089583","active","POINT (37.1925 -81.138611)"
"facility","BAY MARINE LTD SEWAGE TREATMENT PLANT","wwtp","echo_VA0087173","active","POINT (37.559722 -76.317222)"
"facility","BEACON HILL WATER TREATMENT PLANT","wwtp","echo_VA0090573","inactive","POINT (37.107212 -81.110882)"
"facility","BEAR ISLAND PAPER COMPANY","commercial","echo_VAN030133","inactive","POINT (37.8181 -77.4375)"
"facility","BEAR ISLAND PAPER COMPANY","commercial","echo_VA0077763","inactive","POINT (37.8181 -77.4375)"
"facility","BEAUMONT JUVENILE CORRECTION CENTER","municipal","echo_VA0020656","active","POINT (37.680833 -77.906944)"
"facility","BEAZER HOMES USA-COLONIAL FORGE SECTION 2","municipal","echo_VAR106141","inactive","POINT (38.43711 -77.45395)"
"facility","BEAZER HOMES USA-GROVES AT WILLOWSFORD","municipal","echo_VAR10C662","inactive","POINT (38.92619 -77.5846)"
"facility","BEAZER HOMES USA-SPRINGS AT LENAH","municipal","echo_VAR10C640","inactive","POINT (38.94057 -77.60452)"
"facility","BEAZER HOMES USA-SUMMERFIELD II","municipal","echo_VAR10D417","inactive","POINT (38.27314 -77.49562)"
"facility","BEDFORD AGRICULTURE SERVICES","unknown","echo_VAU001676","inactive","POINT (37.30078 -79.35447)"
"facility","BEDFORD COUNTY SCHOOLS - BODY","municipal","echo_VA0020818","inactive","POINT (37.2251 -79.51758)"
"facility","BEDFORD COUNTY SCHOOLS - NEW L","municipal","echo_VA0020826","inactive","POINT (37.305992 -79.30561)"
"facility","BEDFORD COUNTY SCHOOLS - OTTER RIVER ELEM SCHOOL","municipal","echo_VA0020851","active","POINT (37.36521 -79.4343)"
"facility","BEDFORD COUNTY SCHOOLS - STAUNTON RIVER HS","municipal","echo_VA0063738","active","POINT (37.240551 -79.621565)"
"facility","BEDFORD COUNTY SCHOOLS - STEWARTSVILLE ELEMENTARY","municipal","echo_VA0020842","active","POINT (37.271159 -79.790263)"
"facility","BEDFORD COUNTY SCHOOLS - THAXT","municipal","echo_VA0020869","inactive","POINT (37.353507 -79.607177)"
"facility","BEDFORD STP.","wwtp","echo_VAL022390","inactive","POINT (37.333611 -79.506667)"
"facility","BEDFORD WASTEWATER TREATMENT PLANT","wwtp","echo_VA0022390","active","POINT (37.333611 -79.506667)"
"facility","BEECH FORK MINE","mining","echo_WV0021687","inactive","POINT (37.107212 -81.110882)"
"facility","BEELINE TRAILER PARK  STP","wwtp","echo_VA0064009","active","POINT (36.69231 -82.84537)"
"facility","BELLAMY MANUFACTURING AND REPAIR COMPANY","commercial","echo_VA0029084","active","POINT (36.65472 -82.46608)"
"facility","BELMONT COUNTRY CLUB","unknown","echo_VAR100767","inactive","POINT (39.051266 -77.490028)"
"facility","BELVEDERE SECTION II","unknown","echo_VAR10C817","inactive","POINT (38.074166 -78.457247)"
"facility","BELVEDERE TOWN CENTER","municipal","echo_VAR100895","inactive","POINT (38.074166 -78.449421)"
"facility","BENNIES MOBILE HOME PARK SEWAGE TREATMENT PLANT","wwtp","echo_VA0061042","active","POINT (37.359376 -79.110052)"
"facility","BERKELEY ELEMENTARY SCHOOL","municipal","echo_VA0061301","active","POINT (38.12132 -77.61785)"
"facility","BERRY IRON AND STEEL COMPANY","commercial","echo_VAU000031","inactive","POINT (37.107212 -81.110882)"
"facility","BERRYVILLE WTP","wwtp","echo_VA0058599","inactive","POINT (39.1025 -77.984167)"
"facility","BERRYVILLE WWTP","wwtp","echo_VAN010040","inactive","POINT (39.13672 -77.95567)"
"facility","BERRYVILLE WWTP","wwtp","echo_VA0020532","active","POINT (39.13672 -77.95567)"
"facility","BFI INDUSTRIES","industrial","echo_VAR050974","inactive","POINT (37.99099 -78.50408)"
"facility","BFI OLD DOMINION LANDFILL","unknown","echo_VA0091499","inactive","POINT (37.511107 -77.371012)"
"facility","BIG FOUR SURFACE MINE NO. 2","mining","echo_WV0090972","inactive","POINT (37.107212 -81.110882)"
"facility","BIG MEADOWS LEWIS SPRING CALCI","unknown","echo_VA0092347","inactive","POINT (38.523056 -78.458611)"
"facility","BIG MEADOWS STP","wwtp","echo_VA0024406","active","POINT (38.66105 -78.46527)"
"facility","BIG STONE GAP REGIONAL WWTP","wwtp","echo_VA0020940","active","POINT (36.856618 -82.800341)"
"facility","BIG STONE GAP,TOWN OF,STP","wwtp","echo_VAL020940","inactive","POINT (36.856618 -82.800341)"
"facility","BIG WALKER MOUNTAIN TUNNEL","municipal","echo_VA0092894","active","POINT (37.107212 -81.110882)"
"facility","BIO-CAT, INC.","commercial","echo_VAU001587","inactive","POINT (37.96537 -78.2036)"
"facility","BIRCHWOOD POWER FACILITY","fossilpower","echo_VA0087645","inactive","POINT (38.26772 -77.31706)"
"facility","BKEP MATERIALS LLC - NEWPORT N","commercial","echo_VA0055832","inactive","POINT (36.9698 -76.41731)"
"facility","BLACK ROCK MHC WWTP","wwtp","echo_VA0088986","active","POINT (38.251118 -78.812782)"
"facility","BLACK SWAMP REGIONAL WWTP","wwtp","echo_VA0088978","active","POINT (37.056737 -77.142397)"
"facility","BLACKSBURG COUNTRY CLUB WWTP","wwtp","echo_VA0027481","active","POINT (37.21461 -80.35882)"
"facility","BLACKSBURG VPI SANITATION AUTH - LOWER STROUBLES","unknown","echo_VA0060844","active","POINT (37.191389 -80.519444)"
"facility","BLACKSTONE WTP","wwtp","echo_VA0005827","inactive","POINT (37.042778 -77.948333)"
"facility","BLACKSTONE WWTP","wwtp","echo_VA0025194","active","POINT (37.07953 -77.99797)"
"facility","BLACKSTONE WWTP","wwtp","echo_VAL025194","inactive","POINT (37.0795 -77.998)"
"facility","BLAND COUNTY SCHOOL BOARD - BLAND SCHOOLS K - 12","municipal","echo_VA0067661","inactive","POINT (37.15689 -81.14719)"
"facility","BLAND COUNTY WATER AUTHORITY -","municipal","echo_VA0052302","inactive","POINT (37.090556 -81.111111)"
"facility","BLAND WWTP","wwtp","echo_VA0092665","inactive","POINT (37.092778 -81.103333)"
"facility","BLUE RIDGE FIBERBOARD, INC.","commercial","echo_NCG210111","inactive","POINT (36.578037 -79.485599)"
"facility","BLUE RIDGE LUMBER CO.","industrial","echo_VAU001677","inactive","POINT (38.09944 -78.98115)"
"facility","BLUE RIDGE MHC WWTP","wwtp","echo_VA0088943","active","POINT (38.15989 -78.84711)"
"facility","BLUE RIDGE SCHOOL STP","wwtp","echo_VA0029556","active","POINT (38.26603 -78.55587)"
"facility","BLUE RIDGE WOOD PRESERVING INC","industrial","echo_VA0089052","inactive","POINT (37.16095 -79.63396)"
"facility","BLUEFIELD IRON & METALS,LLC","commercial","echo_VAU001588","inactive","POINT (37.25059 -81.27958)"
"facility","BLUEFIELD STP","wwtp","echo_VAL025054","inactive","POINT (37.261 -81.2818)"
"facility","BLUEFIELD WESTSIDE WWTP","wwtp","echo_VA0025054","active","POINT (37.261 -81.2818)"
"facility","BOLAR MOUNTAIN","unknown","echo_VA0032123","active","POINT (37.980278 -79.981667)"
"facility","BONTEX INC","unknown","echo_VA0004791","active","POINT (37.74116 -79.35858)"
"facility","BOONE NORTH NO. 1 SURFACE MINE","mining","echo_WV1020609","inactive","POINT (37.040439 -82.599387)"
"facility","BOONSBORO COUNTRY CLUB","unknown","echo_VA0091162","active","POINT (37.45443 -79.26163)"
"facility","BOSHER FARMS SITE","agriculture","echo_VAU001539","inactive","POINT (37.107212 -81.110882)"
"facility","BOSTON WATER AND SEWER COMPANY STP - OLD FACILITY","wwtp","echo_VA0065358","active","POINT (38.525278 -78.137306)"
"facility","BOSTON WATER AND SEWER STP - NEW FACILITY","wwtp","echo_VAN020111","inactive","POINT (38.524444 -78.138889)"
"facility","BOSTON WATER AND SEWER STP - NEW FACILITY","wwtp","echo_VA0088749","inactive","POINT (38.524444 -78.138889)"
"facility","BOWLING GREEN WASTEWATER TREATMENT PLANT","wwtp","echo_VA0020737","active","POINT (38.04871 -77.35875)"
"facility","BOYCE STP","wwtp","echo_VAN010107","inactive","POINT (39.09051 -78.05713)"
"facility","BOYCE STP","wwtp","echo_VA0085171","active","POINT (39.09051 -78.05713)"
"facility","BOYDS WRECKING YARD","unknown","echo_VAU001562","inactive","POINT (37.107212 -81.110882)"
"facility","BOYDTON WWTP","wwtp","echo_VA0026247","active","POINT (36.66933 -78.37457)"
"facility","BOYKINS TOWN - WASTE WATER TREATMENT PLANT","wwtp","echo_VA0026417","inactive","POINT (36.5742 -77.1883)"
"facility","BOYKINS, TOWN OF","municipal","echo_VAL026417","inactive","POINT (36.715428 -77.066466)"
"facility","BP SHORT ASPHALT","unknown","echo_VAU001729","inactive","POINT (37.197133 -78.201991)"
"facility","BREAKS INTERSTATE PARK CAMP 1 STP","wwtp","echo_VA0023892","active","POINT (37.286111 -82.296666)"
"facility","BREAKS INTERSTATE PARK CAMP NO 3 STP","wwtp","echo_VA0060275","active","POINT (37.286111 -82.296666)"
"facility","BREWERS CREEK SUBDIVISION WATE","unknown","echo_VA0089184","inactive","POINT (36.91949 -76.52715)"
"facility","BRIARWOOD","industrial","echo_VAR100798","inactive","POINT (38.15912 -78.41787)"
"facility","BRIARWOOD VILLAGE MOBILE HOME PARK STP","wwtp","echo_VA0031194","active","POINT (37.289605 -79.172528)"
"facility","BRIDGEWATER WTP","wwtp","echo_VA0051420","inactive","POINT (38.38775 -78.98302)"
"facility","BROAD RUN WATER RECLAMATION","wwtp","echo_VAN010017","inactive","POINT (39.03177 -77.44522)"
"facility","BROAD RUN WATER RECLAMATION","wwtp","echo_VAL091383","inactive","POINT (39.03503 -77.44757)"
"facility","BROAD RUN WATER RECLAMATION","wwtp","echo_VA0091383","active","POINT (39.03503 -77.44757)"
"facility","BROADWAY, TOWN OF REGIONAL WWTF","wwtp","echo_VALX90263","inactive","POINT (37.107212 -81.110882)"
"facility","BROOKNEAL TOWN - FALLING RIVER LAGOON","municipal","echo_VA0022250","active","POINT (37.051111 -78.933611)"
"facility","BROOKNEAL TOWN - STAUNTON RIVER LAGOON","municipal","echo_VA0022241","active","POINT (37.03889 -78.94161)"
"facility","BROOKNEAL TOWN WATER TREATMENT PLANT","wwtp","echo_VA0084034","inactive","POINT (37.06483 -78.953617)"
"facility","BROWN'S FOREST PRODUCTS, INC","industrial","echo_VAU001720","inactive","POINT (36.903221 -78.534512)"
"facility","BRUCE AUTO PARTS","unknown","echo_VAU000033","inactive","POINT (37.59626 -77.38172)"
"facility","BRUNSWICK COUNTY - STURGEON ELEMENTARY SCHOOL","municipal","echo_VA0027014","active","POINT (36.810657 -77.773729)"
"facility","BRYANT'S GARAGE & TRUCK SALES","unknown","echo_VAU001567","inactive","POINT (37.22724 -79.18846)"
"facility","BUCHANAN CNTY PSA - CONAWAY WWTP","wwtp","echo_VA0090531","active","POINT (37.177061 -82.138221)"
"facility","BUCHANAN CNTY PSA - COUNCIL INDUSTRIAL PARK STP","wwtp","echo_VA0087254","active","POINT (37.07898 -82.069087)"
"facility","BUCHANAN CNTY PSA - DESKINS STP","wwtp","echo_VA0090239","active","POINT (37.173333 -82.071389)"
"facility","BUCHANAN CNTY PUBLIC SCHOOLS - COUNCIL ELEM & HS","municipal","echo_VA0064751","active","POINT (37.081944 -82.081667)"
"facility","BUCHANAN CNTY PUBLIC SCHOOLS - HURLEY HIGH SCHOOL","municipal","echo_VA0026972","active","POINT (37.413333 -82.011389)"
"facility","BUCHANAN CNTY PUBLIC SCHOOLS - J M BEVINS ELEM","municipal","echo_VA0026999","active","POINT (37.312778 -81.978889)"
"facility","BUCHANAN CNTY PUBLIC SCHOOLS - TWIN VALLEY H S STP","wwtp","echo_VA0068438","active","POINT (37.242222 -81.915278)"
"facility","BUCHANAN CNTY PUBLIC SCHOOLS-HURLEY MIDDLE SCHOOL","municipal","echo_VA0067521","active","POINT (37.385278 -82.000833)"
"facility","BUCHANAN COUNTY PSA BIG ROCK CONAWAY WWTP","wwtp","echo_VA0092916","inactive","POINT (37.107212 -81.110882)"
"facility","BUCHANAN TOWN - SEWAGE TREATMENT PLANT","wwtp","echo_VA0022225","active","POINT (37.52836 -79.66899)"
"facility","BUCKEYE NO. 1 & BUCKEYE NO. 2","unknown","echo_WV1008978","inactive","POINT (37.107212 -81.110882)"
"facility","BUCKEYE TERMINALS LLC - CHESAPEAKE TERMINAL","commercial","echo_VA0053082","active","POINT (36.78362 -76.29806)"
"facility","BUCKEYE TERMINALS LLC - MONTVALE TERMINAL","commercial","echo_VA0054577","active","POINT (37.383467 -79.733185)"
"facility","BUCKINGHAM BRANCH RAILROAD","unknown","echo_VAU001609","inactive","POINT (37.560093 -78.435624)"
"facility","BUCKINGHAM CO WATER SYSTEM/DILLWYN STP","wwtp","echo_VA0027294","active","POINT (37.538908 -78.462027)"
"facility","BUCKINGHAM COUNTY MIDDLE SCH","municipal","echo_VAR101294","inactive","POINT (37.107212 -81.110882)"
"facility","BUCKINGHAM COUNTY WATER SYSTEM","municipal","echo_VA0092690","active","POINT (37.572119 -78.526544)"
